ano;codmunres;nascidos_vivos_peso_menor_1500;nascidos_vivos_peso_2000_a_2499;nascidos_vivos_peso_1500_a_1999;nascidos_vivos_menos_de_28_semanas;nascidos_vivos_28_a_32_semanas;nascidos_vivos_33_a_34_semanas;nascidos_vivos_35_a_36_semanas;total_de_nascidos_vivos;nascidos_vivos_com_baixo_peso;nascidos_vivos_prematuros;nascidos_vivos_termo_precoce
2012;150125;0;0;1;0;0;0;2;42;1;2;17
2012;150130;16;25;140;13;57;70;165;2053;181;305;540
2012;150140;332;371;1354;147;506;721;1916;21371;2057;3292;8312
2012;150145;0;4;12;0;6;7;12;243;16;28;56
2012;150150;8;17;59;6;21;40;102;1082;84;170;364
2012;150157;3;2;9;4;1;9;8;229;14;22;64
2012;150160;5;1;8;2;4;6;12;217;14;28;56
2012;150170;24;25;118;6;29;47;146;2148;167;243;349
2012;150172;1;2;13;1;0;1;4;279;16;11;4
2012;150175;1;0;3;0;0;1;6;97;4;7;18
2012;150178;5;12;47;3;15;22;65;799;64;105;204
2012;150180;28;36;160;18;36;68;142;2383;224;264;768
2012;150190;4;5;25;3;4;15;41;508;34;65;98
2012;150195;7;2;16;1;7;15;46;356;25;81;67
2012;150200;3;2;17;2;5;5;17;236;22;29;39
2012;150210;30;42;152;10;41;55;128;2478;224;234;653
2012;150215;11;12;35;1;17;21;62;875;58;101;221
2012;150220;22;9;47;7;15;16;73;1087;78;123;296
2012;150230;5;6;38;3;18;25;68;827;49;114;195
2012;150240;37;39;146;16;44;78;239;3169;222;378;1108
2012;150250;1;4;18;0;6;4;8;283;23;19;49
2012;150260;2;0;11;0;2;2;6;151;13;11;31
2012;150270;10;10;37;4;9;26;50;756;57;89;166
2012;150275;8;4;16;4;12;10;41;498;28;68;99
2012;150276;1;1;10;1;5;3;5;147;12;14;38
2012;150277;3;6;16;0;5;23;30;443;25;58;103
2012;150280;3;5;38;4;10;14;36;631;46;64;111
2012;150285;0;1;7;0;1;6;15;208;8;22;35
2012;150290;3;5;26;3;13;11;37;498;34;73;107
2012;150293;8;6;26;4;12;17;57;700;40;90;178
2012;150295;10;6;20;8;8;9;37;513;36;62;132
2012;150300;1;3;6;1;1;4;9;147;10;15;30
2012;150304;4;1;13;3;1;14;19;298;18;37;59
2012;150307;3;7;20;4;17;20;25;431;30;67;76
2012;150309;4;7;41;0;7;11;36;721;52;54;223
2012;150310;5;7;27;0;5;14;36;647;39;55;112
2012;150320;8;9;30;2;10;22;35;586;47;69;142
2012;150330;5;17;61;5;26;39;92;1156;83;162;330
2012;150340;4;4;9;0;2;9;12;167;17;23;53
2012;150345;0;4;34;4;14;17;41;569;38;76;138
2012;150350;3;6;26;2;1;12;35;480;35;56;127
2012;150360;26;22;73;13;47;63;153;2095;121;284;576
2012;150370;8;9;36;1;20;27;55;898;53;103;215
2012;150375;3;5;38;3;14;18;35;521;46;70;82
2012;150380;9;9;22;5;15;20;49;904;40;89;159
2012;150390;10;12;55;5;19;36;75;966;77;136;232
2012;150400;2;7;26;1;16;18;49;494;35;84;123
2012;150405;7;8;25;3;19;24;44;625;40;90;154
2012;150410;0;2;5;0;5;5;9;127;7;21;40
2012;150420;69;68;275;22;65;111;257;4812;412;456;1142
2012;150430;5;4;21;5;8;9;30;392;30;56;75
2012;150440;5;6;18;3;7;13;29;333;29;56;79
2012;150442;18;17;107;10;25;50;169;1665;142;254;570
2012;150445;5;3;21;2;3;3;24;459;29;37;71
2012;150450;5;7;25;0;9;6;57;586;37;72;62
2012;150460;6;4;19;1;10;12;46;469;29;69;101
2012;150470;11;11;74;7;22;40;101;1174;96;171;281
2012;150475;0;0;0;0;0;0;0;0;0;0;0
2012;150480;5;13;44;3;16;23;87;1044;62;130;244
2012;150490;5;10;19;3;8;15;32;525;34;58;109
2012;150495;1;2;21;1;9;11;45;408;24;66;75
2012;150497;1;4;13;1;1;5;15;194;18;22;36
2012;150500;0;2;4;0;1;5;16;142;6;25;39
2012;150503;3;5;13;3;10;13;46;481;21;72;125
2012;150506;12;6;41;4;25;35;99;1259;59;163;272
2012;150510;8;9;37;1;14;22;39;1001;54;83;206
2012;150520;6;9;34;3;18;29;58;716;49;108;156
2012;150530;14;12;72;13;38;48;106;1283;98;205;296
2012;150540;5;1;5;1;2;10;15;251;11;28;47
2012;150543;7;7;17;3;7;6;18;596;31;34;75
2012;150548;7;5;26;3;4;8;19;681;38;44;53
2012;150549;0;1;4;2;4;2;9;116;5;17;21
2012;150550;33;43;110;13;40;61;152;2093;186;266;485
2012;150553;52;66;251;20;78;161;388;4513;369;647;1582
2012;150555;1;0;4;0;1;7;10;127;5;18;37
2012;150560;0;2;4;0;1;5;2;109;6;9;28
2012;150563;2;3;11;1;4;6;10;174;16;22;39
2012;150565;2;2;6;1;5;2;18;246;10;26;42
2012;150570;7;3;23;4;3;12;32;295;33;67;77
2012;150580;11;6;58;1;7;23;61;1170;75;92;230
2012;150590;5;8;38;0;7;12;24;670;51;94;72
2012;150600;7;7;40;4;6;13;29;734;54;52;129
2012;150610;4;0;7;0;1;8;8;176;11;17;36
2012;150611;3;0;5;1;2;6;7;185;8;24;44
2012;150613;17;12;82;5;20;39;134;1609;111;198;452
2012;150616;1;4;15;3;5;7;24;327;20;39;101
2012;150618;3;2;21;2;13;27;44;752;26;86;180
2012;150619;5;3;11;0;4;8;25;390;19;38;94
2012;150620;9;5;29;2;10;16;50;665;43;80;169
2012;150630;7;2;16;0;6;10;33;366;25;49;65
2012;150635;2;9;17;0;9;9;27;306;28;46;103
2012;150640;0;1;3;0;2;0;2;66;4;4;10
2012;150650;11;12;42;5;17;19;45;961;65;86;240
2012;150655;5;5;17;1;7;9;22;375;27;44;77
2012;150658;2;3;9;0;4;2;10;182;14;16;46
2012;150660;2;4;17;1;3;19;23;376;23;46;123
2012;150670;2;1;11;0;5;13;32;587;14;50;142
2012;150680;60;70;255;49;119;182;405;6489;385;763;1343
2012;150690;0;0;3;0;0;3;10;102;3;14;24
2012;150700;5;7;18;3;7;22;28;494;30;61;105
2012;150710;5;4;14;1;4;8;28;251;23;48;42
2012;150715;1;4;11;2;7;8;26;371;16;43;72
2012;150720;8;7;29;3;9;23;52;643;44;96;160
2012;150730;8;12;38;3;17;33;62;993;58;117;259
2012;150740;1;3;7;2;3;4;19;209;11;28;71
2012;150745;2;4;26;1;1;13;42;515;32;57;97
2012;150746;1;0;6;1;1;2;9;81;7;13;21
2012;150747;4;5;14;2;4;9;24;345;23;40;75
2012;150750;0;1;7;1;3;7;5;198;8;16;57
2012;150760;9;17;40;7;19;28;87;980;66;141;293
2012;150770;3;9;30;0;8;9;41;465;42;60;86
2012;150775;0;0;3;0;3;0;8;70;3;11;20
2012;150780;4;1;13;0;3;3;12;323;18;35;37
2012;150790;6;2;34;1;9;12;30;460;42;53;105
2012;150795;10;10;61;9;28;49;110;1440;81;196;336
2012;150796;2;3;13;0;3;4;16;196;18;23;70
2012;150797;4;2;9;2;10;10;16;255;15;38;61
2012;150800;13;11;58;6;20;28;74;1375;82;145;226
2012;150803;14;12;31;1;15;17;45;602;57;80;101
2012;150805;2;2;6;1;2;5;17;209;10;25;59
2012;150808;5;7;22;2;18;30;54;745;34;104;173
2012;150810;13;22;113;6;18;46;150;2047;148;220;473
2012;150812;2;4;22;3;3;3;14;469;28;23;52
2012;150815;8;7;39;1;6;4;13;859;54;51;42
2012;150820;2;15;41;1;9;19;42;716;58;76;155
2012;150830;11;9;41;2;17;34;78;1215;61;139;162
2012;150835;4;2;16;1;5;2;8;229;22;26;17
2012;150840;4;6;37;2;6;10;21;770;47;39;298
2012;160005;2;1;6;1;4;3;4;77;9;12;11
2012;160010;0;3;7;1;4;2;8;148;10;16;17
2012;160015;6;5;21;2;7;12;12;279;32;40;39
2012;160020;0;2;12;0;6;7;9;180;14;23;36
2012;160021;2;1;4;1;2;2;5;68;7;10;15
2012;160023;3;3;3;0;4;8;10;168;9;23;41
2012;160025;0;3;4;0;3;3;4;102;7;10;20
2012;160027;6;12;57;1;15;38;77;893;75;143;233
2012;160030;143;167;497;66;180;261;680;8993;807;1218;2017
2012;160040;5;5;17;2;5;8;34;404;27;49;78
2012;160050;11;4;17;5;11;14;41;484;32;76;80
2012;160053;2;4;22;0;9;11;19;305;28;39;68
2012;160055;0;1;3;0;1;0;4;76;4;5;8
2012;160060;25;35;124;13;31;29;146;2186;184;219;510
2012;160070;2;1;14;1;4;6;18;288;17;29;56
2012;160080;3;3;10;2;3;5;21;243;16;31;53
2012;170025;0;0;1;0;0;1;1;27;1;2;6
2012;170030;1;1;5;0;1;1;7;84;7;9;20
2012;170035;0;4;7;0;4;3;6;87;11;13;18
2012;170040;0;0;8;1;1;5;12;135;8;19;31
2012;170070;0;4;7;0;2;1;13;114;11;17;26
2012;170100;2;0;9;1;0;2;18;157;11;21;43
2012;170105;1;1;1;1;1;0;5;47;3;7;14
2012;170110;0;1;5;1;1;4;5;81;6;11;20
2012;170130;0;2;0;0;2;2;8;89;2;12;27
2012;170190;0;0;5;0;0;2;6;103;5;8;29
2012;170200;0;1;3;0;0;3;6;100;4;9;29
2012;170210;39;48;140;11;63;88;252;3122;227;414;885
2012;170215;0;3;3;0;5;2;6;92;6;13;20
2012;170220;7;4;31;2;7;15;34;558;42;58;140
2012;170230;0;1;3;0;0;2;1;75;4;3;20
2012;170240;0;2;15;0;3;5;18;179;17;26;43
2012;170255;4;6;16;1;8;12;17;357;26;38;91
2012;170270;2;0;0;0;0;0;2;43;2;2;15
2012;170290;3;6;13;1;2;6;17;213;22;26;57
2012;170300;1;2;8;0;0;6;12;145;11;18;36
2012;170305;1;0;2;1;0;2;2;46;3;5;13
2012;170307;0;1;1;0;0;3;8;59;2;11;14
2012;170310;0;0;3;0;0;2;7;84;3;9;23
2012;170320;1;1;2;0;0;4;5;60;4;9;16
2012;170330;1;2;6;0;2;7;8;83;9;17;19
2012;170360;0;0;3;1;0;0;4;38;3;5;9
2012;170370;0;1;5;1;2;3;9;87;6;15;19
2012;170380;2;2;8;1;2;6;14;166;12;23;31
2012;170382;0;0;0;0;1;0;5;27;0;6;8
2012;170384;0;1;5;0;3;3;9;163;6;25;27
2012;170386;0;1;5;0;1;2;5;52;6;8;6
2012;170388;0;0;1;0;0;0;0;32;1;0;8
2012;170389;0;1;3;0;3;3;2;76;4;8;12
2012;170390;0;0;3;0;1;0;5;82;3;6;25
2012;170410;0;0;0;0;1;0;2;23;0;3;5
2012;170460;0;0;1;0;1;1;2;21;1;4;6
2012;170510;0;1;2;0;0;2;2;43;3;4;11
2012;170550;8;3;28;4;8;14;39;542;39;65;146
2012;170555;1;1;3;0;0;4;4;65;5;8;11
2012;170560;1;2;2;1;3;4;5;62;5;13;13
2012;170600;0;1;7;0;1;4;5;81;8;10;11
2012;170610;2;3;7;1;1;4;10;95;12;16;20
2012;170625;0;0;1;0;0;0;0;25;1;0;5
2012;170650;0;2;3;0;4;0;10;93;5;14;23
2012;170700;4;7;15;2;4;10;26;300;26;42;71
2012;170710;3;0;7;1;4;1;7;110;10;13;35
2012;170720;0;1;4;0;1;2;6;59;5;9;17
2012;170730;0;0;2;0;4;2;7;73;2;13;11
2012;170740;2;3;7;0;1;7;13;176;12;21;52
2012;170755;1;1;1;0;1;3;4;54;3;8;13
2012;170765;3;1;4;1;1;0;4;55;8;6;14
2012;170770;2;2;8;0;5;5;8;135;12;20;26
2012;170820;4;1;10;1;4;12;26;287;15;43;52
2012;170825;0;0;0;0;0;0;5;46;0;5;16
2012;170830;1;1;1;0;1;2;1;50;3;4;15
2012;170900;6;3;12;2;13;15;33;265;21;66;47
2012;170930;3;6;16;0;9;7;21;370;25;37;115
2012;170950;16;9;56;3;19;34;83;1321;81;139;318
2012;170980;0;1;1;0;0;1;2;21;2;3;6
2012;171050;5;0;8;0;6;5;9;128;13;20;31
2012;171070;0;1;6;0;0;2;8;86;7;10;16
2012;171090;0;0;4;0;1;1;4;44;4;6;9
2012;171110;0;0;1;0;1;0;0;33;1;1;11
2012;171150;0;0;1;0;1;1;2;31;1;4;7
2012;171180;0;1;2;0;2;1;8;35;3;11;7
2012;171190;2;3;10;2;4;6;13;194;15;25;43
2012;171195;1;0;1;0;1;2;3;64;2;6;16
2012;171200;0;1;4;0;2;2;4;58;5;8;14
2012;171215;0;0;2;0;0;0;3;25;2;3;7
2012;171240;1;1;2;2;0;1;1;39;4;4;9
2012;171245;0;0;2;0;0;2;3;38;2;5;7
2012;171250;2;1;0;0;3;2;5;57;3;10;12
2012;171270;0;0;3;0;3;0;5;40;3;8;13
2012;171280;0;0;2;1;0;1;4;50;2;6;10
2012;171320;2;5;17;3;5;17;19;312;24;44;88
2012;171330;1;0;7;2;2;6;13;206;8;23;35
2012;171360;1;3;11;1;5;6;11;125;15;24;28
2012;171370;1;0;0;0;1;0;0;24;1;1;6
2012;171380;1;1;3;0;0;4;6;92;5;10;24
2012;171395;1;0;3;0;0;2;5;61;4;7;12
2012;171420;3;5;9;2;5;3;14;132;17;24;39
2012;171430;1;1;4;2;0;1;3;64;6;6;13
2012;171488;2;2;14;2;5;7;15;185;18;29;41
2012;171500;0;0;1;0;0;0;1;51;1;1;13
2012;171510;0;0;4;1;1;5;6;76;4;13;8
2012;171515;0;0;1;0;0;1;1;20;1;2;5
2012;171525;0;0;2;0;0;1;0;31;2;1;12
2012;171550;0;0;4;0;0;3;1;15;4;4;2
2012;171570;2;1;7;0;2;3;5;68;10;10;17
2012;171575;0;2;9;0;1;3;7;89;11;11;16
2012;171610;9;8;40;7;11;25;62;844;57;105;244
2012;171620;2;3;3;0;4;2;8;161;8;14;28
2012;171630;0;0;2;0;0;5;7;74;2;12;19
2012;171650;6;5;16;4;4;6;16;254;27;30;73
2012;171660;2;4;3;0;3;5;10;115;9;18;21
2012;171665;0;0;2;0;1;1;6;69;2;8;18
2012;171670;0;3;3;0;2;4;10;123;6;16;40
2012;171700;0;0;1;0;2;3;4;71;1;9;14
2012;171720;1;1;1;0;0;2;3;40;3;5;10
2012;171750;3;1;4;2;1;3;12;103;8;18;28
2012;171780;2;3;2;0;3;5;5;66;7;14;18
2012;171790;1;3;4;1;4;6;4;126;8;15;30
2012;171800;0;0;2;0;1;0;1;44;2;2;10
2012;171820;9;9;42;7;12;26;74;932;60;119;266
2012;171830;1;0;9;1;2;8;3;142;10;14;37
2012;171840;1;0;1;0;0;0;2;47;2;3;12
2012;171845;0;1;1;0;1;0;1;40;2;2;9
2012;171850;1;0;1;0;2;1;7;79;2;10;20
