"","codmunres","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
"516",130010,2012,2,0,1,0,1
"517",130010,2013,1,0,0,0,1
"518",130010,2014,3,0,1,0,2
"519",130010,2015,3,0,0,1,2
"520",130010,2016,3,1,0,0,2
"521",130010,2017,3,1,0,1,1
"522",130010,2018,3,0,0,1,2
"523",130010,2020,2,0,1,0,1
"524",130014,2012,1,0,0,1,0
"525",130014,2013,3,0,1,1,1
"526",130014,2014,2,0,0,0,2
"527",130014,2015,2,1,0,0,1
"528",130014,2016,2,1,0,0,1
"529",130014,2017,4,0,0,1,3
"530",130014,2018,1,1,0,0,0
"531",130014,2019,2,0,0,0,2
"532",130014,2020,4,0,1,0,3
"533",130020,2012,5,0,2,0,3
"534",130020,2013,5,0,0,0,5
"535",130020,2014,7,0,1,0,4
"536",130020,2015,4,2,0,0,2
"537",130020,2016,6,0,0,0,4
"538",130020,2017,2,0,0,0,1
"539",130020,2018,7,3,1,0,3
"540",130020,2019,5,0,0,1,3
"541",130020,2020,8,2,2,0,4
"542",130030,2012,8,2,2,1,3
"543",130030,2013,10,3,0,3,4
"544",130030,2014,2,1,0,1,0
"545",130030,2015,10,0,1,2,5
"546",130030,2016,6,1,2,0,3
"547",130030,2017,14,2,3,4,4
"548",130030,2018,7,2,2,2,1
"549",130030,2019,7,1,2,0,4
"550",130030,2020,9,1,2,2,4
"551",130040,2012,5,0,0,1,4
"552",130040,2014,2,1,0,0,1
"553",130040,2015,3,1,0,0,2
"554",130040,2016,4,0,1,2,0
"555",130040,2017,6,1,1,0,3
"556",130040,2018,6,1,0,2,2
"557",130040,2019,2,0,1,0,1
"558",130040,2020,2,0,0,2,0
"559",130050,2012,10,1,2,1,6
"560",130050,2013,11,4,1,1,5
"561",130050,2014,5,1,0,0,4
"562",130050,2015,8,2,1,2,3
"563",130050,2016,7,1,1,1,4
"564",130050,2017,17,3,2,4,8
"565",130050,2018,12,1,4,3,4
"566",130050,2019,15,4,1,5,5
"567",130050,2020,8,2,2,2,2
"568",130060,2012,9,2,1,1,5
"569",130060,2013,10,2,1,1,6
"570",130060,2014,10,3,1,1,3
"571",130060,2015,13,2,1,2,4
"572",130060,2016,8,1,0,1,5
"573",130060,2017,10,2,2,2,4
"574",130060,2018,5,2,0,0,3
"575",130060,2019,6,1,2,1,2
"576",130060,2020,11,6,0,2,3
"577",130063,2012,4,2,0,0,2
"578",130063,2013,4,0,1,2,1
"579",130063,2014,3,0,1,0,2
"580",130063,2015,4,0,0,1,3
"581",130063,2016,3,0,1,0,2
"582",130063,2017,5,0,0,1,4
"583",130063,2018,8,0,1,1,6
"584",130063,2019,4,1,0,1,2
"585",130063,2020,9,2,2,1,3
"586",130068,2012,1,0,1,0,0
"587",130068,2014,2,2,0,0,0
"588",130068,2015,2,1,0,0,1
"589",130068,2016,2,0,1,0,1
"590",130068,2017,3,1,1,0,1
"591",130068,2019,5,2,0,1,2
"592",130068,2020,8,2,3,1,2
"593",130070,2012,7,1,1,0,5
"594",130070,2013,7,0,1,3,3
"595",130070,2014,3,0,1,1,0
"596",130070,2015,3,0,0,1,2
"597",130070,2016,5,2,0,0,2
"598",130070,2017,3,1,0,0,2
"599",130070,2018,7,1,2,2,2
"600",130070,2019,7,0,1,2,4
"601",130070,2020,6,2,1,2,1
"602",130080,2012,4,0,1,0,2
"603",130080,2013,6,2,0,2,2
"604",130080,2014,5,3,0,2,0
"605",130080,2015,7,2,1,2,2
"606",130080,2016,5,2,0,0,3
"607",130080,2017,7,2,0,1,4
"608",130080,2018,4,0,0,2,2
