"codmunres","municipio","uf","regiao","ano","nascidos","obitos_fetais_totais","obitos_fetais_mais_22sem"
"110015","Ouro Preto do Oeste","RO","Norte",2015,"767",6,5
"110015","Ouro Preto do Oeste","RO","Norte",2016,"582",6,5
"110015","Ouro Preto do Oeste","RO","Norte",2017,"578",6,6
"110015","Ouro Preto do Oeste","RO","Norte",2018,"614",9,6
"110015","Ouro Preto do Oeste","RO","Norte",2019,"631",8,6
"110015","Ouro Preto do Oeste","RO","Norte",2020,"600",8,7
"110018","Pimenta Bueno","RO","Norte",2012,"553",5,4
"110018","Pimenta Bueno","RO","Norte",2013,"581",2,2
"110018","Pimenta Bueno","RO","Norte",2014,"597",4,3
"110018","Pimenta Bueno","RO","Norte",2015,"594",5,5
"110018","Pimenta Bueno","RO","Norte",2016,"601",8,7
"110018","Pimenta Bueno","RO","Norte",2017,"615",4,3
"110018","Pimenta Bueno","RO","Norte",2018,"651",6,6
"110018","Pimenta Bueno","RO","Norte",2019,"616",2,0
"110018","Pimenta Bueno","RO","Norte",2020,"579",5,4
"110020","Porto Velho","RO","Norte",2012,"8941",95,69
"110020","Porto Velho","RO","Norte",2013,"8927",55,45
"110020","Porto Velho","RO","Norte",2014,"9130",85,67
"110020","Porto Velho","RO","Norte",2015,"9093",89,77
"110020","Porto Velho","RO","Norte",2016,"8611",76,64
"110020","Porto Velho","RO","Norte",2017,"8800",69,63
"110020","Porto Velho","RO","Norte",2018,"8752",87,82
"110020","Porto Velho","RO","Norte",2019,"8437",86,82
"110020","Porto Velho","RO","Norte",2020,"7893",74,71
"110025","Presidente Médici","RO","Norte",2012,"243",2,1
"110025","Presidente Médici","RO","Norte",2013,"258",2,1
"110025","Presidente Médici","RO","Norte",2014,"289",3,3
"110025","Presidente Médici","RO","Norte",2015,"262",2,2
"110025","Presidente Médici","RO","Norte",2016,"276",0,0
"110025","Presidente Médici","RO","Norte",2017,"289",3,3
"110025","Presidente Médici","RO","Norte",2018,"294",1,1
"110025","Presidente Médici","RO","Norte",2019,"304",0,0
"110025","Presidente Médici","RO","Norte",2020,"259",1,1
"110026","Rio Crespo","RO","Norte",2012,"41",0,0
"110026","Rio Crespo","RO","Norte",2013,"38",1,0
"110026","Rio Crespo","RO","Norte",2014,"36",0,0
"110026","Rio Crespo","RO","Norte",2015,"36",0,0
"110026","Rio Crespo","RO","Norte",2016,"35",0,0
"110026","Rio Crespo","RO","Norte",2017,"49",0,0
"110026","Rio Crespo","RO","Norte",2018,"46",0,0
"110026","Rio Crespo","RO","Norte",2019,"50",0,0
"110026","Rio Crespo","RO","Norte",2020,"48",1,1
"110028","Rolim de Moura","RO","Norte",2012,"927",7,5
"110028","Rolim de Moura","RO","Norte",2013,"879",14,10
"110028","Rolim de Moura","RO","Norte",2014,"947",5,5
"110028","Rolim de Moura","RO","Norte",2015,"936",7,6
"110028","Rolim de Moura","RO","Norte",2016,"855",12,11
"110028","Rolim de Moura","RO","Norte",2017,"963",9,7
"110028","Rolim de Moura","RO","Norte",2018,"900",11,8
"110028","Rolim de Moura","RO","Norte",2019,"927",10,8
"110028","Rolim de Moura","RO","Norte",2020,"877",7,7
"110029","Santa Luzia D'Oeste","RO","Norte",2012,"118",0,0
"110029","Santa Luzia D'Oeste","RO","Norte",2013,"98",0,0
"110029","Santa Luzia D'Oeste","RO","Norte",2014,"103",0,0
"110029","Santa Luzia D'Oeste","RO","Norte",2015,"109",2,2
"110029","Santa Luzia D'Oeste","RO","Norte",2016,"114",0,0
"110029","Santa Luzia D'Oeste","RO","Norte",2017,"112",0,0
"110029","Santa Luzia D'Oeste","RO","Norte",2018,"103",0,0
"110029","Santa Luzia D'Oeste","RO","Norte",2019,"99",0,0
"110029","Santa Luzia D'Oeste","RO","Norte",2020,"99",0,0
"110030","Vilhena","RO","Norte",2012,"1269",7,5
"110030","Vilhena","RO","Norte",2013,"1388",7,7
"110030","Vilhena","RO","Norte",2014,"1418",16,15
"110030","Vilhena","RO","Norte",2015,"1535",25,24
"110030","Vilhena","RO","Norte",2016,"1427",8,8
"110030","Vilhena","RO","Norte",2017,"1465",22,19
"110030","Vilhena","RO","Norte",2018,"1557",15,15
"110030","Vilhena","RO","Norte",2019,"1590",15,12
"110030","Vilhena","RO","Norte",2020,"1553",15,14
"110032","São Miguel do Guaporé","RO","Norte",2012,"313",2,2
"110032","São Miguel do Guaporé","RO","Norte",2013,"355",2,2
"110032","São Miguel do Guaporé","RO","Norte",2014,"364",5,2
"110032","São Miguel do Guaporé","RO","Norte",2015,"311",6,6
"110032","São Miguel do Guaporé","RO","Norte",2016,"337",4,4
"110032","São Miguel do Guaporé","RO","Norte",2017,"372",3,2
"110032","São Miguel do Guaporé","RO","Norte",2018,"391",4,1
"110032","São Miguel do Guaporé","RO","Norte",2019,"353",1,1
"110032","São Miguel do Guaporé","RO","Norte",2020,"363",0,0
"110033","Nova Mamoré","RO","Norte",2012,"383",5,2
"110033","Nova Mamoré","RO","Norte",2013,"416",2,2
"110033","Nova Mamoré","RO","Norte",2014,"425",2,2
"110033","Nova Mamoré","RO","Norte",2015,"404",3,3
"110033","Nova Mamoré","RO","Norte",2016,"411",4,2
"110033","Nova Mamoré","RO","Norte",2017,"487",5,5
"110033","Nova Mamoré","RO","Norte",2018,"482",4,4
"110033","Nova Mamoré","RO","Norte",2019,"432",6,5
"110033","Nova Mamoré","RO","Norte",2020,"423",6,5
"110034","Alvorada D'Oeste","RO","Norte",2012,"189",0,0
"110034","Alvorada D'Oeste","RO","Norte",2013,"220",0,0
"110034","Alvorada D'Oeste","RO","Norte",2014,"184",0,0
"110034","Alvorada D'Oeste","RO","Norte",2015,"200",0,0
"110034","Alvorada D'Oeste","RO","Norte",2016,"166",5,5
"110034","Alvorada D'Oeste","RO","Norte",2017,"178",3,2
"110034","Alvorada D'Oeste","RO","Norte",2018,"162",2,2
"110034","Alvorada D'Oeste","RO","Norte",2019,"205",3,3
"110034","Alvorada D'Oeste","RO","Norte",2020,"210",4,3
"110037","Alto Alegre dos Parecis","RO","Norte",2012,"189",0,0
"110037","Alto Alegre dos Parecis","RO","Norte",2013,"163",0,0
"110037","Alto Alegre dos Parecis","RO","Norte",2014,"172",0,0
"110037","Alto Alegre dos Parecis","RO","Norte",2015,"149",1,1
"110037","Alto Alegre dos Parecis","RO","Norte",2016,"168",3,2
"110037","Alto Alegre dos Parecis","RO","Norte",2017,"172",1,1
"110037","Alto Alegre dos Parecis","RO","Norte",2018,"160",0,0
"110037","Alto Alegre dos Parecis","RO","Norte",2019,"154",2,2
"110037","Alto Alegre dos Parecis","RO","Norte",2020,"146",0,0
"110040","Alto Paraíso","RO","Norte",2012,"194",1,1
"110040","Alto Paraíso","RO","Norte",2013,"211",2,2
"110040","Alto Paraíso","RO","Norte",2014,"254",8,8
"110040","Alto Paraíso","RO","Norte",2015,"247",1,1
"110040","Alto Paraíso","RO","Norte",2016,"220",2,1
"110040","Alto Paraíso","RO","Norte",2017,"242",4,4
"110040","Alto Paraíso","RO","Norte",2018,"219",0,0
"110040","Alto Paraíso","RO","Norte",2019,"226",4,2
"110040","Alto Paraíso","RO","Norte",2020,"218",1,1
"110045","Buritis","RO","Norte",2012,"555",7,4
"110045","Buritis","RO","Norte",2013,"598",10,7
"110045","Buritis","RO","Norte",2014,"620",5,5
"110045","Buritis","RO","Norte",2015,"608",4,3
"110045","Buritis","RO","Norte",2016,"624",5,4
"110045","Buritis","RO","Norte",2017,"632",3,1
"110045","Buritis","RO","Norte",2018,"617",3,2
"110045","Buritis","RO","Norte",2019,"583",4,3
"110045","Buritis","RO","Norte",2020,"508",2,1
"110050","Novo Horizonte do Oeste","RO","Norte",2012,"125",0,0
"110050","Novo Horizonte do Oeste","RO","Norte",2013,"122",3,1
"110050","Novo Horizonte do Oeste","RO","Norte",2014,"93",0,0
"110050","Novo Horizonte do Oeste","RO","Norte",2015,"109",1,1
"110050","Novo Horizonte do Oeste","RO","Norte",2016,"95",1,1
"110050","Novo Horizonte do Oeste","RO","Norte",2017,"91",1,1
"110050","Novo Horizonte do Oeste","RO","Norte",2018,"111",0,0
"110050","Novo Horizonte do Oeste","RO","Norte",2019,"98",0,0
"110050","Novo Horizonte do Oeste","RO","Norte",2020,"78",1,1
"110060","Cacaulândia","RO","Norte",2012,"61",0,0
"110060","Cacaulândia","RO","Norte",2013,"63",0,0
"110060","Cacaulândia","RO","Norte",2014,"58",1,1
"110060","Cacaulândia","RO","Norte",2015,"72",1,1
"110060","Cacaulândia","RO","Norte",2016,"67",0,0
"110060","Cacaulândia","RO","Norte",2017,"71",0,0
"110060","Cacaulândia","RO","Norte",2018,"80",1,1
"110060","Cacaulândia","RO","Norte",2019,"75",0,0
"110060","Cacaulândia","RO","Norte",2020,"70",0,0
"110070","Campo Novo de Rondônia","RO","Norte",2012,"164",0,0
"110070","Campo Novo de Rondônia","RO","Norte",2013,"183",6,4
"110070","Campo Novo de Rondônia","RO","Norte",2014,"181",0,0
"110070","Campo Novo de Rondônia","RO","Norte",2015,"156",1,1
"110070","Campo Novo de Rondônia","RO","Norte",2016,"162",1,1
"110070","Campo Novo de Rondônia","RO","Norte",2017,"174",1,0
"110070","Campo Novo de Rondônia","RO","Norte",2018,"195",1,1
"110070","Campo Novo de Rondônia","RO","Norte",2019,"166",4,4
"110070","Campo Novo de Rondônia","RO","Norte",2020,"173",1,1
"110080","Candeias do Jamari","RO","Norte",2012,"430",3,2
"110080","Candeias do Jamari","RO","Norte",2013,"405",5,4
"110080","Candeias do Jamari","RO","Norte",2014,"296",6,5
"110080","Candeias do Jamari","RO","Norte",2015,"323",8,8
"110080","Candeias do Jamari","RO","Norte",2016,"372",1,1
"110080","Candeias do Jamari","RO","Norte",2017,"397",5,5
"110080","Candeias do Jamari","RO","Norte",2018,"421",1,1
"110080","Candeias do Jamari","RO","Norte",2019,"337",5,5
"110080","Candeias do Jamari","RO","Norte",2020,"344",5,4
"110090","Castanheiras","RO","Norte",2012,"53",1,0
"110090","Castanheiras","RO","Norte",2013,"36",0,0
"110090","Castanheiras","RO","Norte",2014,"46",1,1
"110090","Castanheiras","RO","Norte",2015,"52",0,0
"110090","Castanheiras","RO","Norte",2016,"55",1,1
"110090","Castanheiras","RO","Norte",2017,"39",1,0
"110090","Castanheiras","RO","Norte",2018,"56",0,0
"110090","Castanheiras","RO","Norte",2019,"32",0,0
"110090","Castanheiras","RO","Norte",2020,"37",0,0
"110092","Chupinguaia","RO","Norte",2012,"118",1,0
"110092","Chupinguaia","RO","Norte",2013,"158",0,0
"110092","Chupinguaia","RO","Norte",2014,"158",1,1
"110092","Chupinguaia","RO","Norte",2015,"154",1,1
"110092","Chupinguaia","RO","Norte",2016,"153",3,3
"110092","Chupinguaia","RO","Norte",2017,"169",3,3
"110092","Chupinguaia","RO","Norte",2018,"181",4,4
"110092","Chupinguaia","RO","Norte",2019,"162",3,3
"110092","Chupinguaia","RO","Norte",2020,"162",3,3
"110094","Cujubim","RO","Norte",2012,"161",2,2
"110094","Cujubim","RO","Norte",2013,"203",6,4
"110094","Cujubim","RO","Norte",2014,"240",3,2
"110094","Cujubim","RO","Norte",2015,"274",5,3
"110094","Cujubim","RO","Norte",2016,"241",6,5
"110094","Cujubim","RO","Norte",2017,"209",8,6
"110094","Cujubim","RO","Norte",2018,"229",0,0
"110094","Cujubim","RO","Norte",2019,"205",2,1
"110094","Cujubim","RO","Norte",2020,"246",1,1
"110100","Governador Jorge Teixeira","RO","Norte",2012,"133",0,0
"110100","Governador Jorge Teixeira","RO","Norte",2013,"116",0,0
"110100","Governador Jorge Teixeira","RO","Norte",2014,"124",2,1
"110100","Governador Jorge Teixeira","RO","Norte",2015,"132",3,2
"110100","Governador Jorge Teixeira","RO","Norte",2016,"112",2,1
"110100","Governador Jorge Teixeira","RO","Norte",2017,"109",0,0
"110100","Governador Jorge Teixeira","RO","Norte",2018,"133",0,0
"110100","Governador Jorge Teixeira","RO","Norte",2019,"112",1,1
"110100","Governador Jorge Teixeira","RO","Norte",2020,"86",1,0
"110110","Itapuã do Oeste","RO","Norte",2012,"114",1,0
"110110","Itapuã do Oeste","RO","Norte",2013,"123",4,2
"110110","Itapuã do Oeste","RO","Norte",2014,"97",2,2
"110110","Itapuã do Oeste","RO","Norte",2015,"112",0,0
"110110","Itapuã do Oeste","RO","Norte",2016,"129",0,0
"110110","Itapuã do Oeste","RO","Norte",2017,"95",2,1
"110110","Itapuã do Oeste","RO","Norte",2018,"92",0,0
"110110","Itapuã do Oeste","RO","Norte",2019,"109",1,1
"110110","Itapuã do Oeste","RO","Norte",2020,"119",1,1
"110120","Ministro Andreazza","RO","Norte",2012,"100",1,1
"110120","Ministro Andreazza","RO","Norte",2013,"104",0,0
"110120","Ministro Andreazza","RO","Norte",2014,"107",1,1
"110120","Ministro Andreazza","RO","Norte",2015,"93",1,1
"110120","Ministro Andreazza","RO","Norte",2016,"93",1,1
"110120","Ministro Andreazza","RO","Norte",2017,"100",0,0
"110120","Ministro Andreazza","RO","Norte",2018,"92",2,2
"110120","Ministro Andreazza","RO","Norte",2019,"84",3,3
"110120","Ministro Andreazza","RO","Norte",2020,"74",3,3
"110130","Mirante da Serra","RO","Norte",2012,"148",5,5
"110130","Mirante da Serra","RO","Norte",2013,"122",3,3
"110130","Mirante da Serra","RO","Norte",2014,"137",3,3
"110130","Mirante da Serra","RO","Norte",2015,"179",1,0
"110130","Mirante da Serra","RO","Norte",2016,"148",0,0
"110130","Mirante da Serra","RO","Norte",2017,"156",3,2
"110130","Mirante da Serra","RO","Norte",2018,"160",0,0
"110130","Mirante da Serra","RO","Norte",2019,"164",1,0
"110130","Mirante da Serra","RO","Norte",2020,"168",0,0
"110140","Monte Negro","RO","Norte",2012,"170",4,2
"110140","Monte Negro","RO","Norte",2013,"223",2,0
"110140","Monte Negro","RO","Norte",2014,"204",0,0
"110140","Monte Negro","RO","Norte",2015,"240",0,0
"110140","Monte Negro","RO","Norte",2016,"173",1,1
"110140","Monte Negro","RO","Norte",2017,"200",2,2
"110140","Monte Negro","RO","Norte",2018,"220",3,3
"110140","Monte Negro","RO","Norte",2019,"199",4,2
"110140","Monte Negro","RO","Norte",2020,"167",1,0
"110143","Nova União","RO","Norte",2012,"99",0,0
"110143","Nova União","RO","Norte",2013,"82",1,1
"110143","Nova União","RO","Norte",2014,"110",0,0
"110143","Nova União","RO","Norte",2015,"73",1,0
"110143","Nova União","RO","Norte",2016,"90",1,1
"110143","Nova União","RO","Norte",2017,"94",1,1
"110143","Nova União","RO","Norte",2018,"87",0,0
"110143","Nova União","RO","Norte",2019,"104",1,1
"110143","Nova União","RO","Norte",2020,"87",1,1
"110145","Parecis","RO","Norte",2012,"63",0,0
"110145","Parecis","RO","Norte",2013,"55",1,0
"110145","Parecis","RO","Norte",2014,"49",1,1
"110145","Parecis","RO","Norte",2015,"54",0,0
"110145","Parecis","RO","Norte",2016,"50",1,1
"110145","Parecis","RO","Norte",2017,"51",0,0
"110145","Parecis","RO","Norte",2018,"53",0,0
"110145","Parecis","RO","Norte",2019,"44",2,2
"110145","Parecis","RO","Norte",2020,"59",0,0
"110146","Pimenteiras do Oeste","RO","Norte",2012,"51",0,0
"110146","Pimenteiras do Oeste","RO","Norte",2013,"42",2,1
"110146","Pimenteiras do Oeste","RO","Norte",2014,"37",0,0
