"codmunres";"ano";"nascidos_vivos_asfixia1";"total_de_nascidos_vivos"
110020;2021;25;3010
110025;2012;0;188
110025;2013;1;208
110025;2014;0;245
110025;2015;2;220
110025;2016;3;205
110025;2017;1;230
110025;2018;2;240
110025;2019;1;241
110025;2020;3;228
110025;2021;1;216
110026;2012;0;37
110026;2013;0;34
110026;2014;1;33
110026;2015;0;31
110026;2016;0;34
110026;2017;0;43
110026;2018;0;42
110026;2019;0;43
110026;2020;0;44
110026;2021;0;45
110028;2012;3;427
110028;2013;0;464
110028;2014;1;485
110028;2015;4;523
110028;2016;0;514
110028;2017;2;557
110028;2018;1;563
110028;2019;2;580
110028;2020;2;588
110028;2021;0;550
110029;2012;0;105
110029;2013;0;82
110029;2014;1;89
110029;2015;0;85
110029;2016;1;96
110029;2017;0;92
110029;2018;0;95
110029;2019;0;84
110029;2020;0;89
110029;2021;0;70
110030;2012;3;558
110030;2013;0;550
110030;2014;5;637
110030;2015;3;707
110030;2016;3;683
110030;2017;4;687
110030;2018;0;755
110030;2019;4;820
110030;2020;0;797
110030;2021;7;870
110032;2012;0;194
110032;2013;0;191
110032;2014;1;215
110032;2015;3;197
110032;2016;3;188
110032;2017;0;271
110032;2018;2;270
110032;2019;1;285
110032;2020;1;253
110032;2021;1;290
110033;2012;2;224
110033;2013;2;209
110033;2014;2;251
110033;2015;4;262
110033;2016;2;277
110033;2017;1;342
110033;2018;2;375
110033;2019;2;347
110033;2020;3;335
110033;2021;1;366
110034;2012;1;158
110034;2013;1;173
110034;2014;0;146
110034;2015;0;163
110034;2016;0;144
110034;2017;1;153
110034;2018;0;142
110034;2019;2;180
110034;2020;0;170
110034;2021;0;162
110037;2012;0;146
110037;2013;0;136
110037;2014;2;139
110037;2015;0;119
110037;2016;1;135
110037;2017;0;135
110037;2018;0;135
110037;2019;1;136
110037;2020;0;132
110037;2021;0;122
110040;2012;0;152
110040;2013;1;157
110040;2014;0;196
110040;2015;0;205
110040;2016;0;188
110040;2017;1;207
110040;2018;2;189
110040;2019;1;202
110040;2020;0;190
110040;2021;2;200
110045;2012;0;314
110045;2013;2;319
110045;2014;0;381
110045;2015;3;373
110045;2016;5;372
110045;2017;1;443
110045;2018;1;440
110045;2019;1;427
110045;2020;3;383
110045;2021;0;371
110050;2012;0;98
110050;2013;0;100
110050;2014;1;78
110050;2015;0;88
110050;2016;1;80
110050;2017;1;77
110050;2018;0;99
110050;2019;0;88
110050;2020;1;66
110050;2021;1;75
110060;2012;0;54
110060;2013;0;60
110060;2014;0;46
110060;2015;0;67
110060;2016;0;62
110060;2017;1;63
110060;2018;0;69
110060;2019;1;69
110060;2020;0;63
110060;2021;0;57
110070;2012;3;136
110070;2013;1;152
110070;2014;1;143
110070;2015;0;135
110070;2016;0;139
110070;2017;0;145
110070;2018;0;167
110070;2019;0;144
110070;2020;2;152
110070;2021;0;116
110080;2012;1;332
110080;2013;0;328
110080;2014;0;254
110080;2015;0;258
110080;2016;0;302
110080;2017;1;286
110080;2018;0;301
110080;2019;0;274
110080;2020;2;267
110080;2021;2;291
110090;2012;0;44
110090;2013;0;33
110090;2014;0;43
110090;2015;0;47
110090;2016;0;50
110090;2017;0;36
110090;2018;0;51
110090;2019;1;30
110090;2020;0;37
110090;2021;0;34
110092;2012;1;79
110092;2013;0;115
110092;2014;1;135
110092;2015;2;137
110092;2016;0;133
110092;2017;0;149
110092;2018;0;151
110092;2019;1;143
110092;2020;0;143
110092;2021;0;133
110094;2012;2;119
110094;2013;1;160
110094;2014;0;194
110094;2015;0;224
110094;2016;1;211
110094;2017;0;179
110094;2018;2;197
110094;2019;3;189
110094;2020;3;216
110094;2021;3;220
110100;2012;1;116
110100;2013;1;96
110100;2014;0;94
110100;2015;0;118
110100;2016;0;100
110100;2017;0;98
110100;2018;1;123
110100;2019;1;101
110100;2020;0;81
110100;2021;0;90
110110;2012;1;103
110110;2013;0;99
110110;2014;0;83
110110;2015;0;95
110110;2016;0;111
110110;2017;0;76
110110;2018;0;73
110110;2019;1;98
110110;2020;0;101
110110;2021;0;110
110120;2012;2;90
110120;2013;0;89
110120;2014;0;101
110120;2015;0;82
110120;2016;0;81
110120;2017;0;86
110120;2018;0;85
110120;2019;0;76
110120;2020;0;63
110120;2021;0;58
110130;2012;1;127
110130;2013;0;105
110130;2014;0;112
110130;2015;1;150
110130;2016;0;118
110130;2017;0;140
110130;2018;0;135
110130;2019;1;147
110130;2020;0;149
110130;2021;2;138
110140;2012;1;127
110140;2013;0;165
110140;2014;0;167
110140;2015;4;172
110140;2016;4;143
110140;2017;0;162
110140;2018;2;180
110140;2019;3;171
110140;2020;2;155
110140;2021;0;157
110143;2012;1;76
110143;2013;1;73
110143;2014;0;95
110143;2015;0;65
110143;2016;0;81
110143;2017;1;84
110143;2018;1;79
110143;2019;0;93
110143;2020;1;73
110143;2021;0;81
110145;2012;0;52
110145;2013;0;50
110145;2014;0;46
110145;2015;0;50
110145;2016;0;45
110145;2017;0;47
110145;2018;0;46
110145;2019;0;38
110145;2020;0;54
110145;2021;0;39
110146;2012;0;38
110146;2013;1;32
110146;2014;0;34
110146;2015;0;48
110146;2016;0;31
110146;2017;0;44
110146;2018;1;49
110146;2019;0;38
110146;2020;0;36
110146;2021;1;40
110147;2012;1;37
110147;2013;0;38
110147;2014;0;45
110147;2015;0;35
110147;2016;0;51
110147;2017;0;55
110147;2018;0;34
110147;2019;0;38
110147;2020;0;36
110147;2021;0;38
110148;2012;0;57
110148;2013;0;53
110148;2014;0;53
110148;2015;0;62
110148;2016;0;50
110148;2017;0;70
110148;2018;0;53
110148;2019;0;49
110148;2020;0;61
110148;2021;0;43
110149;2012;1;182
110149;2013;2;211
110149;2014;4;229
110149;2015;0;241
110149;2016;6;252
110149;2017;2;271
110149;2018;8;257
110149;2019;3;253
110149;2020;3;225
110149;2021;3;224
110150;2012;4;136
110150;2013;0;126
110150;2014;3;119
110150;2015;1;157
110150;2016;4;154
110150;2017;0;148
110150;2018;0;137
110150;2019;1;129
110150;2020;0;139
110150;2021;1;142
110155;2012;1;48
