"ano","codmunres","locnasc_incompletos","locnasc_totais","tpnascassi_incompletos","tpnascassi_totais"
2013,"170110",0,37,0,37
2013,"170130",0,40,0,40
2013,"170190",0,73,0,73
2013,"170200",0,28,0,28
2013,"170210",0,1450,1,1450
2013,"170215",0,66,0,66
2013,"170220",0,315,5,315
2013,"170230",0,57,0,57
2013,"170240",0,112,0,112
2013,"170255",0,197,2,197
2013,"170270",0,18,0,18
2013,"170290",0,109,1,109
2013,"170300",0,71,0,71
2013,"170305",0,28,0,28
2013,"170307",0,46,3,46
2013,"170310",0,39,0,39
2013,"170320",0,29,0,29
2013,"170330",0,27,0,27
2013,"170360",0,9,0,9
2013,"170370",0,47,1,47
2013,"170380",0,86,0,86
2013,"170382",0,18,0,18
2013,"170384",0,110,10,110
2013,"170386",0,22,0,22
2013,"170388",0,27,0,27
2013,"170389",0,51,1,51
2013,"170390",0,45,1,45
2013,"170410",0,8,0,8
2013,"170460",0,12,0,12
2013,"170510",0,28,0,28
2013,"170550",0,242,0,242
2013,"170555",0,34,0,34
2013,"170560",0,48,0,48
2013,"170600",0,44,2,44
2013,"170610",0,56,2,56
2013,"170625",0,17,0,17
2013,"170650",0,63,3,63
2013,"170700",0,159,1,159
2013,"170710",0,67,1,67
2013,"170720",0,38,4,38
2013,"170730",0,25,2,25
2013,"170740",0,87,0,87
2013,"170755",0,24,0,24
2013,"170765",0,29,0,29
2013,"170770",0,77,3,77
2013,"170820",0,124,0,124
2013,"170825",0,17,0,17
2013,"170830",0,16,0,16
2013,"170900",0,198,2,198
2013,"170930",0,121,0,121
2013,"170950",0,441,2,441
2013,"170980",0,10,0,10
2013,"171050",0,95,0,95
2013,"171070",0,48,1,48
2013,"171090",0,16,2,16
2013,"171110",0,14,0,14
2013,"171150",0,13,2,13
2013,"171180",0,20,1,20
2013,"171190",0,134,1,134
2013,"171195",0,50,0,50
2013,"171200",0,23,0,23
2013,"171215",0,9,1,9
2013,"171240",0,22,3,22
2013,"171245",0,32,0,32
2013,"171250",0,29,0,29
2013,"171270",0,27,0,27
2013,"171280",0,22,1,22
2013,"171320",0,194,0,194
2013,"171330",0,86,0,86
2013,"171360",0,71,1,71
2013,"171370",0,12,0,12
2013,"171380",0,45,0,45
2013,"171395",0,30,0,30
2013,"171420",0,103,1,103
2013,"171430",0,29,1,29
2013,"171488",0,96,0,96
2013,"171500",0,35,0,35
2013,"171510",0,57,0,57
2013,"171515",0,12,0,12
2013,"171525",0,23,0,23
2013,"171550",0,14,0,14
2013,"171570",0,36,0,36
2013,"171575",0,26,7,26
2013,"171610",0,408,0,408
2013,"171620",0,79,3,79
2013,"171630",0,27,0,27
2013,"171650",0,75,0,75
2013,"171660",0,64,0,64
2013,"171665",0,17,0,17
2013,"171670",0,39,0,39
2013,"171700",0,31,0,31
2013,"171720",0,26,0,26
2013,"171750",0,47,2,47
2013,"171780",0,33,7,33
2013,"171790",0,66,1,66
2013,"171800",0,24,1,24
2013,"171820",0,451,1,451
2013,"171830",0,69,1,69
2013,"171840",0,24,1,24
2013,"171845",0,17,0,17
2013,"171850",0,27,0,27
2013,"171855",0,32,0,32
2013,"171865",0,15,0,15
2013,"171870",0,19,0,19
2013,"171875",0,38,1,38
2013,"171880",0,38,1,38
2013,"171884",0,14,0,14
2013,"171886",0,80,2,80
2013,"171888",0,19,1,19
2013,"171889",0,12,0,12
2013,"171890",0,43,3,43
2013,"171900",0,41,0,41
2013,"172000",0,23,0,23
2013,"172010",0,66,1,66
2013,"172015",0,11,0,11
2013,"172020",0,99,1,99
2013,"172025",0,12,1,12
2013,"172030",0,51,0,51
2013,"172049",0,38,3,38
