"codmunres","ano","faixa_de_peso","evitaveis_neonatal_outros","evitaveis_neonatal_recem_nascido","evitaveis_neonatal_mulher_gestacao","evitaveis_neonatal_parto","evitaveis_neonatal_tratamento","evitaveis_neonatal_saude","evitaveis_neonatal_mal_definidas","evitaveis_neonatal_imunoprevencao","obitos_neonatais_totais"
"130070",2023,"outros",0,3,0,0,0,0,1,0,4
"130070",2023,"> 1000 g",2,1,0,0,0,0,0,0,3
"130080",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"130080",2022,"outros",0,0,2,0,0,0,0,0,2
"130080",2022,"> 1500 g",1,2,0,2,0,0,0,0,5
"130080",2023,"> 1500 g",0,0,2,1,0,0,1,0,4
"130080",2023,"outros",0,0,4,1,0,0,0,0,5
"130080",2023,"> 1000 g",1,0,0,0,0,0,0,0,1
"130083",2022,"outros",0,0,1,0,0,0,0,0,1
"130083",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"130090",2022,"> 1000 g",0,2,0,0,0,0,0,0,2
"130090",2023,"> 1500 g",0,0,0,0,0,1,0,0,1
"130100",2022,"> 1000 g",0,0,2,0,0,0,0,0,2
"130100",2022,"> 1500 g",1,0,1,1,0,0,0,0,3
"130100",2022,"outros",0,1,1,0,0,0,0,0,2
"130100",2023,"outros",0,1,1,0,0,0,1,0,3
"130100",2023,"> 1500 g",1,0,1,0,0,0,0,0,2
"130100",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"130110",2022,"> 1500 g",1,1,2,0,0,0,0,0,4
"130110",2022,"outros",1,0,0,0,0,0,0,0,1
"130110",2023,"> 1500 g",1,0,1,1,0,0,0,0,3
"130115",2023,"> 1500 g",1,0,0,1,0,0,0,0,2
"130115",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"130120",2022,"> 1000 g",0,0,2,0,0,0,0,0,2
"130120",2022,"> 1500 g",2,0,7,3,1,0,0,0,13
"130120",2022,"outros",0,1,3,0,0,0,0,0,4
"130120",2023,"> 1000 g",0,1,2,0,0,0,0,0,3
"130120",2023,"> 1500 g",2,5,3,1,0,0,0,0,11
"130120",2023,"outros",0,1,1,0,0,0,0,0,2
"130130",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"130130",2022,"outros",0,0,2,0,0,0,0,0,2
"130130",2022,"> 1500 g",2,1,0,1,0,0,0,0,4
"130130",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"130140",2022,"> 1000 g",0,0,1,1,0,0,0,0,2
"130140",2022,"> 1500 g",1,4,2,7,0,0,0,0,14
"130140",2022,"outros",1,0,4,0,0,0,0,0,5
"130140",2023,"> 1500 g",0,1,1,3,0,0,1,0,6
"130150",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"130150",2022,"> 1500 g",0,3,2,1,0,0,0,0,6
"130150",2022,"outros",0,0,0,1,0,0,0,0,1
"130150",2023,"> 1500 g",1,1,0,2,0,0,0,0,4
"130150",2023,"> 1000 g",0,0,0,1,0,0,0,0,1
"130160",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"130160",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"130160",2023,"> 1500 g",1,0,0,1,0,1,0,0,3
"130160",2023,"outros",0,1,0,1,0,0,0,0,2
"130165",2022,"outros",0,0,1,0,0,0,0,0,1
"130165",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"130170",2022,"> 1500 g",1,3,2,1,0,0,0,0,7
"130170",2022,"outros",0,1,2,0,0,0,0,0,3
"130170",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"130170",2023,"> 1500 g",1,0,0,1,0,0,0,0,2
"130170",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"130180",2022,"outros",0,0,0,2,0,0,0,0,2
"130180",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"130180",2023,"> 1500 g",1,2,0,2,0,0,0,0,5
