"codmunres","municipio","uf","regiao","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
"110020","Porto Velho","RO","Norte","2021",91,0,0,0,0
"110025","Presidente Médici","RO","Norte","2012",1,0,0,0,1
"110025","Presidente Médici","RO","Norte","2013",1,0,0,0,0
"110025","Presidente Médici","RO","Norte","2014",3,0,0,0,0
"110025","Presidente Médici","RO","Norte","2015",2,0,0,0,2
"110025","Presidente Médici","RO","Norte","2017",3,0,0,3,0
"110025","Presidente Médici","RO","Norte","2018",1,0,0,1,0
"110025","Presidente Médici","RO","Norte","2020",1,0,0,0,1
"110025","Presidente Médici","RO","Norte","2021",1,0,0,0,0
"110026","Rio Crespo","RO","Norte","2013",1,1,0,0,0
"110026","Rio Crespo","RO","Norte","2020",1,0,0,0,1
"110028","Rolim de Moura","RO","Norte","2012",7,1,3,1,2
"110028","Rolim de Moura","RO","Norte","2013",14,5,3,2,4
"110028","Rolim de Moura","RO","Norte","2014",5,1,0,1,3
"110028","Rolim de Moura","RO","Norte","2015",7,2,2,0,3
"110028","Rolim de Moura","RO","Norte","2016",12,0,0,0,0
"110028","Rolim de Moura","RO","Norte","2017",9,1,1,2,5
"110028","Rolim de Moura","RO","Norte","2018",9,1,1,1,6
"110028","Rolim de Moura","RO","Norte","2019",10,0,4,0,6
"110028","Rolim de Moura","RO","Norte","2020",7,0,1,1,5
"110028","Rolim de Moura","RO","Norte","2021",5,1,0,1,3
"110029","Santa Luzia D'Oeste","RO","Norte","2015",2,0,0,2,0
"110029","Santa Luzia D'Oeste","RO","Norte","2021",1,0,0,0,1
"110030","Vilhena","RO","Norte","2012",6,1,2,0,3
"110030","Vilhena","RO","Norte","2013",7,2,1,3,1
"110030","Vilhena","RO","Norte","2014",16,4,2,1,9
"110030","Vilhena","RO","Norte","2015",23,0,0,0,0
"110030","Vilhena","RO","Norte","2016",8,2,1,0,5
"110030","Vilhena","RO","Norte","2017",21,3,0,3,15
"110030","Vilhena","RO","Norte","2018",15,1,1,1,12
"110030","Vilhena","RO","Norte","2019",15,2,2,3,8
"110030","Vilhena","RO","Norte","2020",15,0,0,0,0
"110030","Vilhena","RO","Norte","2021",13,0,0,0,0
"110032","São Miguel do Guaporé","RO","Norte","2012",2,0,0,0,2
"110032","São Miguel do Guaporé","RO","Norte","2013",2,0,0,0,0
"110032","São Miguel do Guaporé","RO","Norte","2014",4,0,0,0,0
"110032","São Miguel do Guaporé","RO","Norte","2015",6,1,0,1,4
"110032","São Miguel do Guaporé","RO","Norte","2016",4,2,1,0,1
"110032","São Miguel do Guaporé","RO","Norte","2017",3,0,3,0,0
"110032","São Miguel do Guaporé","RO","Norte","2018",4,0,1,0,3
"110032","São Miguel do Guaporé","RO","Norte","2019",1,1,0,0,0
"110032","São Miguel do Guaporé","RO","Norte","2021",3,2,0,1,0
"110033","Nova Mamoré","RO","Norte","2012",3,0,0,0,3
"110033","Nova Mamoré","RO","Norte","2013",2,0,0,0,0
"110033","Nova Mamoré","RO","Norte","2014",2,0,0,0,0
"110033","Nova Mamoré","RO","Norte","2015",3,1,1,0,1
"110033","Nova Mamoré","RO","Norte","2016",3,0,2,0,1
"110033","Nova Mamoré","RO","Norte","2017",5,2,1,1,1
"110033","Nova Mamoré","RO","Norte","2018",4,0,0,0,0
"110033","Nova Mamoré","RO","Norte","2019",6,0,0,1,5
"110033","Nova Mamoré","RO","Norte","2020",5,0,0,0,0
"110033","Nova Mamoré","RO","Norte","2021",4,1,0,2,1
"110034","Alvorada D'Oeste","RO","Norte","2016",5,0,0,0,0
"110034","Alvorada D'Oeste","RO","Norte","2017",1,0,1,0,0
"110034","Alvorada D'Oeste","RO","Norte","2018",2,1,0,0,1
"110034","Alvorada D'Oeste","RO","Norte","2019",3,0,0,0,0
"110034","Alvorada D'Oeste","RO","Norte","2020",4,1,1,0,2
"110037","Alto Alegre dos Parecis","RO","Norte","2015",1,1,0,0,0
"110037","Alto Alegre dos Parecis","RO","Norte","2016",3,0,1,0,2
"110037","Alto Alegre dos Parecis","RO","Norte","2017",1,0,0,0,1
"110037","Alto Alegre dos Parecis","RO","Norte","2019",2,0,0,0,2
"110037","Alto Alegre dos Parecis","RO","Norte","2021",2,0,1,0,1
"110040","Alto Paraíso","RO","Norte","2012",1,0,1,0,0
"110040","Alto Paraíso","RO","Norte","2013",2,0,1,1,0
"110040","Alto Paraíso","RO","Norte","2014",8,4,0,3,1
"110040","Alto Paraíso","RO","Norte","2015",1,0,0,0,1
"110040","Alto Paraíso","RO","Norte","2016",2,0,0,1,1
"110040","Alto Paraíso","RO","Norte","2017",4,0,0,0,4
"110040","Alto Paraíso","RO","Norte","2019",3,0,0,0,3
"110040","Alto Paraíso","RO","Norte","2020",1,0,0,0,1
"110040","Alto Paraíso","RO","Norte","2021",1,0,1,0,0
"110045","Buritis","RO","Norte","2012",7,0,0,1,6
"110045","Buritis","RO","Norte","2013",9,0,0,0,0
"110045","Buritis","RO","Norte","2014",5,0,0,0,0
"110045","Buritis","RO","Norte","2015",4,0,0,0,0
"110045","Buritis","RO","Norte","2016",5,1,0,0,4
"110045","Buritis","RO","Norte","2017",2,0,1,0,1
"110045","Buritis","RO","Norte","2018",3,2,0,0,1
"110045","Buritis","RO","Norte","2019",4,1,1,1,1
"110045","Buritis","RO","Norte","2020",2,0,0,0,2
"110045","Buritis","RO","Norte","2021",5,2,1,1,1
"110050","Novo Horizonte do Oeste","RO","Norte","2013",3,1,0,0,2
"110050","Novo Horizonte do Oeste","RO","Norte","2015",1,0,1,0,0
"110050","Novo Horizonte do Oeste","RO","Norte","2016",1,0,0,0,1
"110050","Novo Horizonte do Oeste","RO","Norte","2017",1,0,0,0,1
"110050","Novo Horizonte do Oeste","RO","Norte","2020",1,0,0,0,0
"110050","Novo Horizonte do Oeste","RO","Norte","2021",2,0,0,0,2
"110060","Cacaulândia","RO","Norte","2014",1,1,0,0,0
"110060","Cacaulândia","RO","Norte","2015",1,0,0,0,1
"110060","Cacaulândia","RO","Norte","2018",1,0,0,0,1
"110070","Campo Novo de Rondônia","RO","Norte","2013",5,1,1,1,2
"110070","Campo Novo de Rondônia","RO","Norte","2015",1,0,0,0,0
"110070","Campo Novo de Rondônia","RO","Norte","2016",1,0,0,0,1
"110070","Campo Novo de Rondônia","RO","Norte","2017",1,0,1,0,0
"110070","Campo Novo de Rondônia","RO","Norte","2018",1,0,1,0,0
"110070","Campo Novo de Rondônia","RO","Norte","2019",4,0,1,1,2
"110070","Campo Novo de Rondônia","RO","Norte","2020",1,1,0,0,0
"110070","Campo Novo de Rondônia","RO","Norte","2021",1,0,0,0,1
"110080","Candeias do Jamari","RO","Norte","2012",2,2,0,0,0
"110080","Candeias do Jamari","RO","Norte","2013",5,1,0,0,4
"110080","Candeias do Jamari","RO","Norte","2014",5,2,1,1,1
"110080","Candeias do Jamari","RO","Norte","2015",8,0,1,1,6
"110080","Candeias do Jamari","RO","Norte","2016",1,0,0,0,1
"110080","Candeias do Jamari","RO","Norte","2017",5,0,1,1,3
"110080","Candeias do Jamari","RO","Norte","2018",1,0,0,0,1
"110080","Candeias do Jamari","RO","Norte","2019",5,2,0,0,3
"110080","Candeias do Jamari","RO","Norte","2020",5,2,0,1,2
"110080","Candeias do Jamari","RO","Norte","2021",3,0,0,0,3
"110090","Castanheiras","RO","Norte","2012",1,0,0,0,1
"110090","Castanheiras","RO","Norte","2014",1,0,0,0,1
"110090","Castanheiras","RO","Norte","2016",1,0,0,0,1
"110090","Castanheiras","RO","Norte","2017",1,0,0,0,1
"110092","Chupinguaia","RO","Norte","2014",1,0,0,0,0
"110092","Chupinguaia","RO","Norte","2015",1,0,0,0,1
"110092","Chupinguaia","RO","Norte","2016",3,0,0,1,2
"110092","Chupinguaia","RO","Norte","2017",3,0,0,1,2
"110092","Chupinguaia","RO","Norte","2018",4,1,1,0,2
"110092","Chupinguaia","RO","Norte","2019",3,0,2,0,1
"110092","Chupinguaia","RO","Norte","2020",3,0,0,1,2
"110092","Chupinguaia","RO","Norte","2021",2,0,0,0,0
"110094","Cujubim","RO","Norte","2012",2,0,0,0,2
"110094","Cujubim","RO","Norte","2013",6,0,0,0,0
"110094","Cujubim","RO","Norte","2014",3,2,0,0,1
"110094","Cujubim","RO","Norte","2015",5,0,0,0,0
"110094","Cujubim","RO","Norte","2016",6,0,0,1,5
"110094","Cujubim","RO","Norte","2017",8,2,0,2,4
"110094","Cujubim","RO","Norte","2019",2,0,0,0,2
"110094","Cujubim","RO","Norte","2020",1,0,0,0,1
"110094","Cujubim","RO","Norte","2021",3,0,2,1,0
"110100","Governador Jorge Teixeira","RO","Norte","2014",2,0,1,0,1
"110100","Governador Jorge Teixeira","RO","Norte","2015",2,0,0,0,2
"110100","Governador Jorge Teixeira","RO","Norte","2016",2,0,0,0,2
"110100","Governador Jorge Teixeira","RO","Norte","2019",1,0,0,0,1
"110100","Governador Jorge Teixeira","RO","Norte","2021",1,0,0,1,0
"110110","Itapuã do Oeste","RO","Norte","2012",1,0,0,0,1
"110110","Itapuã do Oeste","RO","Norte","2013",4,3,0,0,1
"110110","Itapuã do Oeste","RO","Norte","2014",2,1,0,0,1
"110110","Itapuã do Oeste","RO","Norte","2017",2,1,0,0,1
"110110","Itapuã do Oeste","RO","Norte","2019",1,0,0,0,1
"110110","Itapuã do Oeste","RO","Norte","2020",1,0,0,0,1
"110110","Itapuã do Oeste","RO","Norte","2021",3,0,0,1,2
"110120","Ministro Andreazza","RO","Norte","2012",1,0,1,0,0
"110120","Ministro Andreazza","RO","Norte","2014",1,0,0,0,1
"110120","Ministro Andreazza","RO","Norte","2015",1,0,0,0,1
"110120","Ministro Andreazza","RO","Norte","2016",1,0,0,0,1
"110120","Ministro Andreazza","RO","Norte","2018",2,0,1,0,1
"110120","Ministro Andreazza","RO","Norte","2019",3,0,0,0,0
"110120","Ministro Andreazza","RO","Norte","2020",3,0,1,1,1
"110120","Ministro Andreazza","RO","Norte","2021",1,0,0,0,1
"110130","Mirante da Serra","RO","Norte","2012",5,1,1,1,2
"110130","Mirante da Serra","RO","Norte","2013",3,1,0,1,1
"110130","Mirante da Serra","RO","Norte","2014",3,0,1,0,2
"110130","Mirante da Serra","RO","Norte","2017",3,0,0,2,1
"110130","Mirante da Serra","RO","Norte","2019",1,0,1,0,0
"110130","Mirante da Serra","RO","Norte","2021",2,0,0,1,1
"110140","Monte Negro","RO","Norte","2012",4,2,0,0,2
"110140","Monte Negro","RO","Norte","2013",2,0,0,0,2
"110140","Monte Negro","RO","Norte","2016",1,0,0,0,1
"110140","Monte Negro","RO","Norte","2017",2,0,1,0,1
"110140","Monte Negro","RO","Norte","2018",3,0,1,0,2
"110140","Monte Negro","RO","Norte","2019",3,1,0,0,2
"110140","Monte Negro","RO","Norte","2020",1,1,0,0,0
"110140","Monte Negro","RO","Norte","2021",1,0,0,1,0
"110143","Nova União","RO","Norte","2013",1,0,0,0,1
"110143","Nova União","RO","Norte","2015",1,0,0,0,1
"110143","Nova União","RO","Norte","2016",1,1,0,0,0
"110143","Nova União","RO","Norte","2017",1,0,0,0,1
"110143","Nova União","RO","Norte","2019",1,0,0,0,1
"110143","Nova União","RO","Norte","2020",1,1,0,0,0
"110143","Nova União","RO","Norte","2021",3,0,0,0,3
"110145","Parecis","RO","Norte","2014",1,0,0,0,1
"110145","Parecis","RO","Norte","2016",1,0,0,0,1
"110145","Parecis","RO","Norte","2019",2,0,0,0,0
"110146","Pimenteiras do Oeste","RO","Norte","2013",2,1,0,0,1
"110146","Pimenteiras do Oeste","RO","Norte","2015",1,0,0,0,1
"110146","Pimenteiras do Oeste","RO","Norte","2017",1,0,0,0,1
"110147","Primavera de Rondônia","RO","Norte","2015",1,0,0,0,1
"110147","Primavera de Rondônia","RO","Norte","2020",2,0,0,2,0
"110147","Primavera de Rondônia","RO","Norte","2021",2,0,2,0,0
"110148","São Felipe D'Oeste","RO","Norte","2014",1,0,0,0,1
"110148","São Felipe D'Oeste","RO","Norte","2015",1,0,0,0,1
"110148","São Felipe D'Oeste","RO","Norte","2018",1,0,0,1,0
"110148","São Felipe D'Oeste","RO","Norte","2019",2,1,1,0,0
"110148","São Felipe D'Oeste","RO","Norte","2021",1,0,0,1,0
"110149","São Francisco do Guaporé","RO","Norte","2012",4,0,1,1,2
"110149","São Francisco do Guaporé","RO","Norte","2013",4,0,1,1,2
"110149","São Francisco do Guaporé","RO","Norte","2014",2,0,0,0,0
"110149","São Francisco do Guaporé","RO","Norte","2016",2,0,1,0,1
"110149","São Francisco do Guaporé","RO","Norte","2017",3,0,1,0,2
"110149","São Francisco do Guaporé","RO","Norte","2018",3,0,0,0,0
"110149","São Francisco do Guaporé","RO","Norte","2019",3,1,0,0,2
"110149","São Francisco do Guaporé","RO","Norte","2020",2,0,1,0,1
"110149","São Francisco do Guaporé","RO","Norte","2021",1,0,0,0,1
"110150","Seringueiras","RO","Norte","2012",1,0,0,1,0
"110150","Seringueiras","RO","Norte","2013",1,1,0,0,0
"110150","Seringueiras","RO","Norte","2014",1,0,0,0,1
"110150","Seringueiras","RO","Norte","2015",1,0,0,1,0
"110150","Seringueiras","RO","Norte","2018",1,0,0,0,1
"110150","Seringueiras","RO","Norte","2019",1,0,1,0,0
