"codmunres","ano","garbage_materno_o95","garbage_materno_o94","garbage_materno_f53","garbage_materno_d39","garbage_materno_o08","obitos_maternos_totais","garbage_fetal_p90_p96","garbage_fetal_q80_q89","garbage_fetal_q90_q99","garbage_fetal_q35_q37","garbage_fetal_q10_q18","obitos_fetais_totais"
"110020",2018,0,0,0,0,0,4,21,3,1,0,0,86
"110020",2019,2,0,0,0,0,6,11,2,0,0,0,84
"110020",2020,0,0,0,0,0,5,8,3,1,0,0,74
"110020",2021,0,0,0,0,0,14,13,0,2,0,0,89
"110020",2022,0,0,0,0,0,3,8,7,0,0,0,71
"110025",2012,0,0,0,0,0,0,1,0,0,0,0,1
"110025",2013,0,0,0,0,0,0,1,0,0,0,0,1
"110025",2014,0,0,0,0,0,1,2,0,0,0,0,3
"110025",2015,0,0,0,0,0,0,1,0,1,0,0,2
"110025",2016,0,0,0,0,0,0,0,0,0,0,0,0
"110025",2017,0,0,0,0,0,0,2,0,0,0,0,3
"110025",2018,0,0,0,0,0,0,1,0,0,0,0,1
"110025",2019,0,0,0,0,0,0,0,0,0,0,0,0
"110025",2020,0,0,0,0,0,0,1,0,0,0,0,1
"110025",2021,0,0,0,0,0,2,0,0,0,0,0,2
"110025",2022,0,0,0,0,0,1,1,0,0,0,0,2
"110026",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2013,0,0,0,0,0,0,1,0,0,0,0,1
"110026",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2015,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2016,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2017,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2019,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2020,0,0,0,0,0,0,0,0,0,0,0,1
"110026",2021,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2022,0,0,0,0,0,0,0,0,0,0,0,0
"110028",2012,0,0,0,0,0,1,3,1,0,0,0,7
"110028",2013,0,0,0,0,0,0,7,0,0,0,0,13
"110028",2014,0,0,0,0,0,0,4,0,0,0,0,5
"110028",2015,0,0,0,0,0,1,2,0,0,0,0,7
"110028",2016,0,0,0,0,0,1,3,0,0,0,0,12
"110028",2017,0,0,0,0,0,0,4,0,1,0,0,9
"110028",2018,0,0,0,0,0,0,3,0,1,0,0,9
"110028",2019,0,0,0,0,0,0,2,0,0,0,0,10
"110028",2020,0,0,0,0,0,0,4,1,0,0,0,7
"110028",2021,0,0,0,0,0,4,2,0,0,0,0,5
"110028",2022,0,0,0,0,0,0,1,0,0,0,0,5
"110029",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2015,0,0,0,0,0,0,0,0,0,0,0,2
"110029",2016,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2017,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2019,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2020,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2021,0,0,0,0,0,0,1,0,0,0,0,1
"110029",2022,0,0,0,0,0,0,1,0,0,0,0,1
"110030",2012,0,0,0,0,0,2,2,0,0,0,0,6
"110030",2013,0,0,0,0,0,3,4,0,0,0,0,7
"110030",2014,0,0,0,0,0,3,6,0,0,0,0,16
"110030",2015,0,0,0,0,0,1,8,0,0,0,0,25
"110030",2016,0,0,0,0,0,0,3,0,0,0,0,8
"110030",2017,0,0,0,0,0,0,7,0,0,0,0,21
"110030",2018,0,0,0,0,0,1,5,1,0,0,0,15
"110030",2019,0,0,0,0,0,0,5,1,0,0,0,12
"110030",2020,1,0,0,0,0,2,7,1,0,0,0,15
"110030",2021,0,0,0,0,0,5,8,1,0,0,0,13
"110030",2022,0,0,0,0,0,0,8,0,0,0,0,14
"110032",2012,0,0,0,0,0,0,1,0,0,0,0,2
"110032",2013,0,0,0,0,0,0,1,0,0,0,0,2
"110032",2014,0,0,0,0,0,0,4,0,0,0,0,5
"110032",2015,0,0,0,0,0,0,3,1,0,0,0,6
"110032",2016,0,0,0,0,0,1,1,0,0,0,0,4
