"codmunres","ano","obitos_fetais_mais_22sem","fetal_peso_menos_1000","fetal_peso_1000_1499","fetal_peso_1500_2499","fetal_peso_mais_2500","fetal_antes","fetal_durante","fetal_depois","fetal_antes_peso_menos_1000","fetal_antes_peso_1000_1499","fetal_antes_peso_1500_2499","fetal_antes_peso_mais_2500","fetal_durante_peso_menos_1000","fetal_durante_peso_1000_1499","fetal_durante_peso_1500_2499","fetal_durante_peso_mais_2500","fetal_depois_peso_menos_1000","fetal_depois_peso_1000_1499","fetal_depois_peso_1500_2499","fetal_depois_peso_mais_2500"
"110018",2013,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"110018",2014,4,1,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"110018",2015,5,2,0,0,2,4,1,0,2,0,0,1,0,0,0,1,0,0,0,0
"110018",2016,8,2,2,2,1,7,1,0,2,2,2,0,0,0,0,1,0,0,0,0
"110018",2017,3,2,0,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"110018",2018,6,3,0,3,0,6,0,0,3,0,3,0,0,0,0,0,0,0,0,0
"110018",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110020",2012,87,25,11,18,29,83,2,0,24,11,18,27,0,0,0,2,0,0,0,0
"110020",2013,53,10,8,16,15,52,1,0,10,8,16,14,0,0,0,1,0,0,0,0
"110020",2014,82,18,17,22,18,77,2,0,14,17,22,18,2,0,0,0,0,0,0,0
"110020",2015,88,25,16,20,22,84,3,0,25,15,19,21,0,0,1,1,0,0,0,0
"110020",2016,74,24,21,11,18,72,1,0,23,20,11,18,0,1,0,0,0,0,0,0
"110020",2017,68,13,15,20,18,64,2,0,13,15,18,16,0,0,0,2,0,0,0,0
"110020",2018,86,29,14,23,20,83,3,0,27,14,23,19,2,0,0,1,0,0,0,0
"110020",2019,84,18,18,25,21,82,2,0,18,17,24,21,0,1,1,0,0,0,0,0
"110025",2012,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"110025",2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110025",2014,3,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"110025",2015,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"110025",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110025",2017,3,0,0,3,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0
"110025",2018,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110025",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2013,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"110026",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110026",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110028",2012,7,0,1,4,2,7,0,0,0,1,4,2,0,0,0,0,0,0,0,0
"110028",2013,13,1,4,5,3,13,0,0,1,4,5,3,0,0,0,0,0,0,0,0
"110028",2014,5,1,1,1,2,5,0,0,1,1,1,2,0,0,0,0,0,0,0,0
"110028",2015,7,1,2,2,2,7,0,0,1,2,2,2,0,0,0,0,0,0,0,0
"110028",2016,12,2,2,4,3,12,0,0,2,2,4,3,0,0,0,0,0,0,0,0
"110028",2017,9,1,1,3,4,8,1,0,1,1,3,3,0,0,0,1,0,0,0,0
"110028",2018,9,3,1,2,3,9,0,0,3,1,2,3,0,0,0,0,0,0,0,0
"110028",2019,10,4,0,4,2,10,0,0,4,0,4,2,0,0,0,0,0,0,0,0
"110029",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2015,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"110029",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110029",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110030",2012,6,2,1,2,1,6,0,0,2,1,2,1,0,0,0,0,0,0,0,0
"110030",2013,7,0,2,4,1,6,1,0,0,2,3,1,0,0,1,0,0,0,0,0
"110030",2014,16,6,4,3,3,15,1,0,5,4,3,3,1,0,0,0,0,0,0,0
"110030",2015,25,4,4,6,8,24,1,0,3,4,6,8,1,0,0,0,0,0,0,0
"110030",2016,8,3,2,1,2,6,2,0,2,1,1,2,1,1,0,0,0,0,0,0
"110030",2017,21,11,3,3,4,20,0,0,10,3,3,4,0,0,0,0,0,0,0,0
"110030",2018,15,7,1,2,5,15,0,0,7,1,2,5,0,0,0,0,0,0,0,0
"110030",2019,12,5,2,4,1,11,1,0,5,2,3,1,0,0,1,0,0,0,0,0
"110032",2012,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"110032",2013,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110032",2014,5,2,0,0,1,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"110032",2015,6,3,1,1,1,5,1,0,3,1,1,0,0,0,0,1,0,0,0,0
"110032",2016,4,1,2,1,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0
"110032",2017,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"110032",2018,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"110032",2019,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"110033",2012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110033",2013,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"110033",2014,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110033",2015,3,1,1,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"110033",2016,3,0,0,2,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"110033",2017,5,1,2,2,0,3,2,0,0,2,1,0,1,0,1,0,0,0,0,0
"110033",2018,4,0,1,0,2,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"110033",2019,6,2,0,1,3,6,0,0,2,0,1,3,0,0,0,0,0,0,0,0
"110034",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110034",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110034",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110034",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110034",2016,5,1,1,1,1,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"110034",2017,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110034",2018,2,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"110034",2019,3,0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"110037",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110037",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110037",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110037",2015,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"110037",2016,3,1,0,1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"110037",2017,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110037",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110037",2019,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"110040",2012,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110040",2013,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"110040",2014,8,0,4,3,1,7,1,0,0,4,2,1,0,0,1,0,0,0,0,0
