"ano","codmunres","total_de_nascidos_vivos","nvm_menor_que_20","pop_feminina_10_a_19","mulheres_com_mais_de_tres_partos_anteriores","pop_fem_10_49","abortos_sus_30_a_39","abortos_sus_40_a_49","abortos_sus_menor_30","abortos_ans_30_a_39","abortos_ans_40_a_49","abortos_ans_menor_30","pop_fem_ans_10_49","pop_fem_sus_10_49","total_de_nascidos_vivos_ans","total_de_nascidos_vivos_sus"
2020,291185,132,20,870,4,3964,0,1,4,0,0,0,55,3909,2,130
2021,291185,123,12,833,8,3914,1,0,0,0,0,0,55,3859,2,121
2022,291185,127,26,NA,2,NA,4,0,3,0,0,0,NA,NA,NA,NA
2012,291190,356,100,2633,33,7960,0,0,0,0,0,0,111,7849,5,351
2013,291190,358,94,2522,38,7890,0,0,0,0,0,0,103,7787,5,353
2014,291190,417,105,2415,40,7828,0,0,0,0,0,0,94,7734,5,412
2015,291190,410,100,2298,34,7747,0,0,0,0,0,0,108,7639,6,404
2016,291190,400,120,2193,32,7662,0,1,1,0,0,0,92,7570,5,395
2017,291190,417,126,2082,25,7566,2,1,6,1,0,0,76,7490,4,413
2018,291190,435,93,1971,27,7468,1,0,2,0,0,0,90,7378,5,430
2019,291190,374,85,1860,22,7359,5,0,6,0,0,1,81,7278,4,370
2020,291190,334,77,1750,19,7262,3,0,2,1,0,0,80,7182,4,330
2021,291190,342,67,1696,17,7163,2,1,1,0,0,0,100,7063,5,337
2022,291190,318,51,NA,18,NA,0,1,1,0,0,0,NA,NA,NA,NA
2012,291200,112,12,827,3,3180,0,0,0,0,0,0,22,3158,1,111
2013,291200,107,17,801,2,3112,0,0,0,0,0,0,16,3096,1,106
2014,291200,99,7,776,5,3044,0,0,0,0,0,0,18,3026,1,98
2015,291200,123,13,747,3,2980,3,0,2,0,0,0,12,2968,0,123
2016,291200,95,9,718,1,2903,0,1,0,0,0,0,9,2894,0,95
2017,291200,103,10,688,4,2821,0,3,3,0,0,0,8,2813,0,103
2018,291200,107,14,658,2,2729,2,2,4,0,0,0,16,2713,1,106
2019,291200,81,5,627,3,2645,1,1,4,0,0,0,19,2626,1,80
2020,291200,98,7,597,1,2565,5,2,3,1,0,0,18,2547,1,97
2021,291200,100,7,566,5,2500,7,2,3,0,0,0,18,2482,1,99
2022,291200,102,9,NA,3,NA,3,1,0,0,0,0,NA,NA,NA,NA
2012,291210,388,96,2157,41,7227,0,0,0,0,0,0,267,6960,14,374
2013,291210,337,81,2088,28,7137,0,0,0,0,0,0,285,6852,13,324
2014,291210,304,78,2012,19,7038,0,0,0,0,0,0,274,6764,12,292
2015,291210,302,62,1948,19,6942,4,0,9,1,0,0,278,6664,12,290
2016,291210,261,71,1868,22,6815,1,0,7,1,0,1,273,6542,10,251
2017,291210,283,70,1780,14,6676,3,2,6,0,0,0,294,6382,12,271
2018,291210,259,43,1684,17,6517,6,1,12,0,0,1,261,6256,10,249
2019,291210,248,46,1595,10,6370,5,3,6,2,0,0,261,6109,10,238
2020,291210,229,40,1506,20,6233,2,0,1,0,0,0,237,5996,9,220
2021,291210,225,50,1430,14,6104,0,0,3,0,0,1,250,5854,9,216
2022,291210,224,40,NA,10,NA,2,1,1,1,0,0,NA,NA,NA,NA
2012,291220,351,69,1857,16,5991,0,0,0,0,0,0,42,5949,2,349
2013,291220,345,76,1889,24,6104,0,0,0,0,0,0,49,6055,3,342
2014,291220,290,63,1921,15,6197,0,0,0,0,0,0,43,6154,2,288
2015,291220,315,84,1950,15,6293,5,2,27,0,0,0,44,6249,2,313
2016,291220,310,73,1981,8,6393,9,0,27,0,0,0,38,6355,2,308
2017,291220,346,67,2007,17,6487,12,2,20,0,0,0,39,6448,2,344
2018,291220,352,66,2031,2,6577,13,3,23,0,0,0,39,6538,2,350
2019,291220,273,50,2057,10,6663,18,1,15,0,0,0,40,6623,2,271
2020,291220,322,62,2083,11,6744,11,4,16,1,0,0,40,6704,2,320
2021,291220,287,42,2076,7,6811,8,1,19,0,0,0,48,6763,2,285
2022,291220,316,54,NA,13,NA,12,2,13,0,0,0,NA,NA,NA,NA
2012,291230,190,53,1388,13,4747,0,0,0,0,0,0,66,4681,3,187
2013,291230,159,45,1357,11,4776,0,0,0,0,0,0,67,4709,2,157
2014,291230,164,45,1324,10,4799,0,0,0,0,0,0,77,4722,3,161
2015,291230,154,38,1288,9,4817,0,0,4,0,0,0,72,4745,2,152
2016,291230,155,36,1261,10,4816,0,0,1,0,0,0,72,4744,2,153
2017,291230,152,41,1232,8,4811,1,0,1,0,0,0,67,4744,2,150
2018,291230,129,27,1201,7,4800,1,0,3,0,0,0,67,4733,2,127
2019,291230,142,36,1172,2,4791,0,0,1,0,0,0,62,4729,2,140
2020,291230,151,34,1143,7,4777,1,0,2,0,0,0,62,4715,2,149
2021,291230,124,24,1108,8,4766,1,0,0,0,0,1,57,4709,1,123
2022,291230,108,21,NA,9,NA,0,0,0,1,0,0,NA,NA,NA,NA
2012,291240,234,64,1524,9,5198,0,0,0,0,0,0,21,5177,1,233
2013,291240,198,54,1514,10,5241,0,0,0,0,0,0,21,5220,1,197
2014,291240,207,51,1504,10,5281,0,0,0,0,0,0,21,5260,1,206
2015,291240,234,59,1491,5,5316,1,0,1,0,0,0,21,5295,1,233
2016,291240,213,49,1467,9,5315,0,0,2,0,0,0,21,5294,1,212
2017,291240,193,46,1441,6,5313,2,0,4,1,0,0,16,5297,1,192
2018,291240,184,25,1413,15,5304,4,0,4,0,0,0,16,5288,1,183
2019,291240,206,47,1387,9,5295,2,2,3,0,0,0,16,5279,1,205
2020,291240,197,38,1360,7,5282,1,0,3,0,0,0,11,5271,0,197
2021,291240,205,37,1322,12,5261,0,3,3,0,0,0,16,5245,1,204
2022,291240,171,28,NA,4,NA,1,0,3,0,0,0,NA,NA,NA,NA
2012,291250,176,29,1356,7,4519,0,0,0,0,0,0,5,4514,0,176
2013,291250,150,30,1329,7,4545,0,0,0,0,0,0,5,4540,0,150
2014,291250,174,26,1300,2,4570,0,0,0,0,0,0,5,4565,0,174
2015,291250,147,27,1269,7,4588,0,0,0,0,0,0,5,4583,0,147
2016,291250,162,26,1235,2,4576,1,0,0,0,0,0,5,4571,0,162
2017,291250,147,27,1197,3,4559,0,1,2,0,0,0,5,4554,0,147
2018,291250,145,28,1160,2,4541,3,1,3,0,0,0,5,4536,0,145
2019,291250,153,27,1123,1,4519,3,0,3,0,0,0,5,4514,0,153
2020,291250,140,15,1086,3,4495,0,0,1,0,0,0,4,4491,0,140
2021,291250,135,18,1049,4,4480,0,0,0,0,0,0,4,4476,0,135
2022,291250,113,19,NA,3,NA,0,0,1,0,0,0,NA,NA,NA,NA
2012,291260,49,13,375,3,1150,0,0,0,0,0,0,6,1144,0,49
2013,291260,49,10,363,7,1150,0,0,0,0,0,0,7,1143,0,49
2014,291260,53,11,349,5,1146,0,0,0,0,0,0,6,1140,0,53
2015,291260,60,17,335,8,1142,0,0,0,0,0,0,6,1136,0,60
2016,291260,63,21,321,6,1133,0,0,1,0,0,0,6,1127,0,63
2017,291260,45,11,305,3,1122,0,0,0,0,0,0,6,1116,0,45
2018,291260,52,20,289,1,1110,0,0,1,0,0,0,6,1104,0,52
2019,291260,44,10,273,2,1098,1,0,1,0,0,0,7,1091,0,44
2020,291260,57,13,258,1,1087,0,0,0,0,0,0,8,1079,0,57
2021,291260,51,16,251,1,1079,0,0,0,0,0,0,6,1073,0,51
2022,291260,41,12,NA,4,NA,0,0,0,0,0,0,NA,NA,NA,NA
2012,291270,444,157,2462,69,6967,0,0,0,0,0,0,111,6856,7,437
2013,291270,369,125,2414,36,6997,0,0,0,0,0,0,112,6885,6,363
2014,291270,354,108,2357,35,7017,0,0,0,0,0,0,119,6898,6,348
2015,291270,389,134,2296,43,7028,7,0,12,0,0,0,98,6930,5,384
2016,291270,390,126,2223,48,7022,7,1,4,0,0,0,105,6917,6,384
2017,291270,362,103,2147,41,7009,4,1,6,0,0,0,126,6883,7,355
2018,291270,303,77,2066,35,6990,3,1,7,0,0,0,126,6864,5,298
2019,291270,340,114,1988,36,6968,2,0,4,0,0,0,118,6850,6,334
2020,291270,331,88,1910,19,6942,3,1,3,0,0,0,104,6838,5,326
2021,291270,305,75,1868,22,6941,2,0,3,0,0,0,97,6844,4,301
2022,291270,295,72,NA,33,NA,2,0,4,0,0,0,NA,NA,NA,NA
2012,291280,120,35,716,2,2441,0,0,0,0,0,0,129,2312,6,114
2013,291280,100,28,710,3,2460,0,0,0,0,0,0,130,2330,5,95
2014,291280,106,20,704,3,2478,0,0,0,0,0,0,131,2347,6,100
2015,291280,116,27,697,10,2495,0,0,0,1,0,0,132,2363,6,110
2016,291280,131,26,691,7,2509,0,0,0,2,0,0,130,2379,7,124
2017,291280,123,19,684,4,2523,0,0,0,0,0,0,141,2382,7,116
2018,291280,121,16,677,4,2533,0,0,0,2,0,0,134,2399,6,115
2019,291280,115,20,670,6,2542,0,0,0,0,0,1,132,2410,6,109
2020,291280,126,21,663,4,2549,0,0,0,1,0,1,140,2409,7,119
2021,291280,109,19,650,8,2556,1,0,0,0,0,0,135,2421,6,103
2022,291280,124,23,NA,11,NA,1,0,1,2,0,0,NA,NA,NA,NA
2012,291290,299,78,1555,14,5579,0,0,0,0,0,0,89,5490,5,294
2013,291290,284,73,1473,18,5408,0,0,0,0,0,0,87,5321,5,279
2014,291290,284,71,1393,17,5239,0,0,0,0,0,0,94,5145,5,279
2015,291290,316,83,1306,19,5052,2,1,5,0,0,1,66,4986,4,312
2016,291290,315,81,1250,16,4894,4,0,12,0,0,0,69,4825,4,311
2017,291290,317,85,1191,19,4729,5,1,10,0,0,0,61,4668,4,313
2018,291290,303,62,1130,15,4557,7,0,9,0,0,0,55,4502,4,299
2019,291290,278,53,1071,24,4391,3,0,13,0,0,0,57,4334,4,274
2020,291290,233,48,1015,14,4222,1,1,6,0,0,0,51,4171,3,230
2021,291290,307,52,966,20,4078,3,2,4,0,0,0,53,4025,4,303
2022,291290,268,50,NA,14,NA,3,0,1,0,0,0,NA,NA,NA,NA
2012,291300,157,29,1477,10,4775,0,0,0,0,0,0,19,4756,1,156
2013,291300,176,30,1423,15,4794,0,0,0,0,0,0,19,4775,1,175
2014,291300,184,38,1363,10,4805,0,0,0,0,0,0,19,4786,1,183
2015,291300,186,37,1306,10,4814,1,0,2,0,0,0,19,4795,1,185
2016,291300,176,34,1263,6,4815,2,0,1,0,0,0,19,4796,1,175
2017,291300,167,35,1216,4,4802,0,0,2,0,0,0,19,4783,1,166
2018,291300,151,29,1169,8,4793,0,0,0,0,0,0,19,4774,1,150
2019,291300,141,24,1123,5,4776,0,1,0,0,0,0,19,4757,1,140
2020,291300,136,21,1077,3,4757,2,1,2,0,0,0,19,4738,1,135
2021,291300,144,19,1048,3,4750,1,1,3,0,0,0,19,4731,1,143
2022,291300,126,15,NA,3,NA,2,3,4,0,0,0,NA,NA,NA,NA
2012,291310,252,67,1530,11,5195,0,0,0,0,0,0,31,5164,2,250
2013,291310,252,52,1494,12,5185,0,0,0,0,0,0,31,5154,2,250
2014,291310,243,47,1455,13,5169,0,0,0,0,0,0,31,5138,1,242
2015,291310,219,65,1415,16,5150,2,0,6,0,0,0,31,5119,1,218
2016,291310,234,66,1374,11,5100,2,0,3,0,0,0,31,5069,1,233
2017,291310,211,54,1330,12,5046,5,0,3,0,0,0,30,5016,1,210
2018,291310,223,41,1285,13,4989,1,0,7,0,0,0,30,4959,1,222
2019,291310,195,58,1241,18,4929,3,0,3,0,0,0,30,4899,1,194
2020,291310,215,36,1197,11,4869,2,1,3,0,1,0,29,4840,1,214
2021,291310,212,46,1158,9,4822,1,1,2,0,0,0,29,4793,1,211
2022,291310,178,34,NA,14,NA,4,2,1,0,0,0,NA,NA,NA,NA
2012,291320,441,121,2564,30,8360,0,0,0,0,0,0,150,8210,8,433
2013,291320,402,98,2506,34,8414,0,0,0,0,0,0,160,8254,8,394
2014,291320,409,95,2447,25,8460,0,0,0,0,0,0,169,8291,8,401
2015,291320,465,127,2382,29,8501,20,1,52,0,0,0,162,8339,9,456
2016,291320,425,97,2328,34,8517,27,3,43,0,0,0,162,8355,8,417
2017,291320,409,91,2270,22,8525,15,0,26,0,0,0,153,8372,7,402
2018,291320,406,82,2210,25,8522,11,2,36,0,0,0,145,8377,7,399
2019,291320,405,83,2152,26,8525,21,4,36,0,0,1,136,8389,6,399
2020,291320,404,72,2093,19,8515,17,7,23,0,0,0,136,8379,6,398
2021,291320,381,64,2054,16,8509,26,11,40,0,0,0,145,8364,6,375
2022,291320,398,54,NA,28,NA,16,3,24,0,0,0,NA,NA,NA,NA
2012,291330,73,18,503,2,1870,0,0,0,0,0,0,17,1853,1,72
2013,291330,83,13,488,2,1870,0,0,0,0,0,0,19,1851,1,82
2014,291330,58,14,473,4,1869,0,0,0,0,0,0,21,1848,1,57
2015,291330,70,13,457,1,1865,1,0,0,0,0,0,30,1835,1,69
2016,291330,40,7,452,2,1857,0,0,0,0,0,0,28,1829,1,39
2017,291330,31,6,448,2,1849,0,0,3,0,0,0,26,1823,0,31
2018,291330,48,8,442,3,1838,1,0,2,0,0,0,26,1812,1,47
2019,291330,36,7,437,1,1828,0,0,2,0,0,0,26,1802,1,35
2020,291330,39,4,431,0,1814,0,0,0,0,0,0,20,1794,0,39
2021,291330,54,10,423,2,1804,0,0,0,0,0,0,18,1786,1,53
2022,291330,56,8,NA,1,NA,1,0,1,0,0,0,NA,NA,NA,NA
2012,291340,204,34,1358,8,4844,0,0,0,0,0,0,24,4820,1,203
2013,291340,189,40,1318,9,4840,0,0,0,0,0,0,24,4816,1,188
2014,291340,173,42,1274,6,4830,0,0,0,0,0,0,24,4806,1,172
2015,291340,213,29,1229,5,4815,0,0,3,0,0,0,24,4791,1,212
2016,291340,175,34,1204,5,4796,2,0,3,0,0,0,24,4772,1,174
2017,291340,171,38,1177,1,4775,1,0,0,0,0,0,24,4751,1,170
2018,291340,163,19,1149,6,4745,0,0,0,0,0,0,24,4721,1,162
2019,291340,177,19,1121,1,4714,0,0,0,0,0,0,24,4690,1,176
2020,291340,134,27,1093,2,4687,1,0,0,0,0,0,23,4664,1,133
2021,291340,136,18,1064,4,4660,0,1,2,0,0,0,23,4637,1,135
2022,291340,159,18,NA,5,NA,0,1,1,0,0,0,NA,NA,NA,NA
2012,291345,197,56,1530,27,4287,0,0,0,0,0,0,107,4180,5,192
2013,291345,188,48,1489,20,4244,0,0,0,0,0,0,110,4134,5,183
2014,291345,166,57,1447,18,4203,0,0,0,0,0,0,118,4085,5,161
2015,291345,209,56,1401,18,4151,1,0,4,0,0,0,108,4043,5,204
2016,291345,208,56,1336,18,4100,5,1,6,0,0,0,90,4010,5,203
2017,291345,184,52,1267,20,4045,5,0,8,0,0,0,77,3968,3,181
2018,291345,206,49,1198,26,3989,1,0,6,0,0,0,68,3921,4,202
2019,291345,193,44,1131,18,3932,0,0,4,0,0,0,75,3857,4,189
2020,291345,180,39,1062,18,3870,3,3,4,0,0,0,81,3789,4,176
2021,291345,162,40,1026,6,3808,3,0,7,0,0,0,95,3713,4,158
2022,291345,148,30,NA,4,NA,0,0,2,0,0,0,NA,NA,NA,NA
2012,291350,323,77,2410,21,7789,0,0,0,0,0,0,62,7727,3,320
2013,291350,300,78,2375,27,7819,0,0,0,0,0,0,70,7749,3,297
2014,291350,318,81,2336,25,7844,0,0,0,0,0,0,78,7766,3,315
2015,291350,332,91,2294,28,7861,1,1,1,0,0,0,79,7782,3,329
2016,291350,322,89,2247,17,7855,0,0,1,0,0,0,63,7792,3,319
2017,291350,372,88,2194,21,7838,2,0,0,0,0,1,63,7775,3,369
2018,291350,374,66,2141,16,7819,0,0,1,0,0,0,70,7749,3,371
2019,291350,430,89,2088,20,7796,0,0,1,0,0,0,62,7734,3,427
2020,291350,364,74,2036,17,7769,0,0,0,0,0,0,62,7707,3,361
2021,291350,326,57,1981,19,7729,0,0,0,0,0,0,62,7667,3,323
2022,291350,283,51,NA,10,NA,1,0,1,0,0,0,NA,NA,NA,NA
2012,291360,2640,647,15924,153,59139,0,0,0,0,0,0,8753,50386,391,2249
2013,291360,2517,683,15440,136,58061,0,0,0,0,0,0,8593,49468,373,2144
2014,291360,2540,634,14944,112,56977,0,0,0,0,0,0,7863,49114,351,2189
2015,291360,2513,557,14417,133,55798,19,5,36,8,2,3,8370,47428,377,2136
2016,291360,2391,568,13886,169,54693,19,3,26,9,1,6,8149,46544,356,2035
2017,291360,2560,575,13317,147,53517,15,3,34,15,1,6,7974,45543,381,2179
2018,291360,2472,536,12737,137,52280,23,3,63,8,1,8,7737,44543,366,2106
2019,291360,2415,505,12173,149,51057,81,11,125,17,1,7,7199,43858,341,2074
2020,291360,2281,451,11620,121,49849,54,9,94,14,1,7,7079,42770,324,1957
2021,291360,2142,350,11180,112,48737,67,16,120,13,4,5,7213,41524,317,1825
2022,291360,2030,302,NA,102,NA,43,9,89,8,2,6,NA,NA,NA,NA
2012,291370,495,115,3861,65,11775,0,0,0,0,0,0,271,11504,11,484
2013,291370,454,112,3862,48,11992,0,0,0,0,0,0,276,11716,10,444
2014,291370,398,104,3852,38,12188,0,0,0,0,0,0,244,11944,8,390
2015,291370,427,94,3836,43,12378,7,3,20,0,0,0,260,12118,9,418
2016,291370,452,107,3745,41,12496,3,0,19,0,0,1,287,12209,10,442
2017,291370,447,117,3645,35,12604,11,1,19,1,0,0,277,12327,10,437
2018,291370,429,90,3547,40,12708,9,1,8,0,0,0,292,12416,10,419
2019,291370,426,103,3447,48,12802,11,6,7,2,0,1,320,12482,11,415
2020,291370,405,61,3346,37,12879,4,1,8,0,0,1,322,12557,10,395
2021,291370,419,71,3284,28,12951,2,1,5,0,0,0,311,12640,10,409
2022,291370,406,52,NA,23,NA,4,1,11,0,0,0,NA,NA,NA,NA
2012,291380,214,29,1496,7,4795,0,0,0,0,0,0,67,4728,3,211
2013,291380,179,40,1435,10,4755,0,0,0,0,0,0,38,4717,1,178
2014,291380,166,26,1374,12,4716,0,0,0,0,0,0,47,4669,2,164
2015,291380,147,19,1309,10,4665,3,0,1,0,0,0,79,4586,2,145
2016,291380,168,38,1244,5,4596,1,0,4,0,0,0,87,4509,3,165
2017,291380,148,25,1175,11,4523,7,0,6,0,0,0,68,4455,2,146
2018,291380,136,22,1107,11,4447,2,1,0,1,0,0,53,4394,2,134
2019,291380,156,23,1039,8,4358,3,3,1,0,0,0,57,4301,2,154
2020,291380,123,18,971,7,4287,0,1,2,0,0,0,56,4231,2,121
2021,291380,128,23,928,7,4216,1,0,1,0,0,0,63,4153,2,126
2022,291380,132,14,NA,2,NA,1,0,4,0,0,0,NA,NA,NA,NA
2012,291390,703,183,4004,41,14323,0,0,0,0,0,0,831,13492,41,662
2013,291390,614,147,3925,17,14307,0,0,0,0,0,0,873,13434,37,577
2014,291390,643,162,3841,33,14283,0,0,0,0,0,0,943,13340,42,601
2015,291390,722,190,3750,20,14237,11,0,21,2,0,1,840,13397,43,679
2016,291390,654,161,3667,23,14212,12,0,16,2,2,2,824,13388,38,616
2017,291390,666,133,3576,27,14174,17,4,22,0,0,0,709,13465,33,633
2018,291390,673,119,3483,36,14121,20,6,23,2,1,0,763,13358,36,637
2019,291390,623,126,3392,20,14062,11,3,19,1,0,0,830,13232,37,586
2020,291390,602,111,3301,30,13993,13,4,16,0,1,2,882,13111,38,564
2021,291390,615,108,3232,17,13946,13,2,16,1,0,1,920,13026,41,574
2022,291390,576,91,NA,17,NA,12,4,22,0,0,0,NA,NA,NA,NA
2012,291400,887,209,5824,73,18787,0,0,0,0,0,0,545,18242,26,861
2013,291400,760,161,5627,57,18763,0,0,0,0,0,0,544,18219,22,738
2014,291400,856,175,5421,52,18725,0,0,0,0,0,0,543,18182,25,831
2015,291400,807,187,5205,56,18663,16,3,39,1,1,1,541,18122,23,784
2016,291400,777,170,5028,61,18519,24,3,38,0,2,1,537,17982,23,754
2017,291400,827,175,4840,34,18366,6,0,9,0,0,0,533,17833,24,803
2018,291400,808,163,4648,36,18189,3,1,3,0,0,0,527,17662,23,785
2019,291400,781,161,4460,2,18000,1,0,2,0,0,0,522,17478,23,758
2020,291400,695,121,4272,21,17819,6,0,5,0,0,0,517,17302,20,675
2021,291400,650,111,4127,11,17638,14,8,14,0,0,0,512,17126,19,631
2022,291400,657,99,NA,28,NA,18,11,28,0,0,0,NA,NA,NA,NA
2012,291410,107,20,796,6,2713,0,0,0,0,0,0,16,2697,1,106
2013,291410,118,20,779,4,2731,0,0,0,0,0,0,16,2715,1,117
2014,291410,102,14,760,2,2746,0,0,0,0,0,0,16,2730,1,101
2015,291410,106,17,741,3,2758,0,0,2,0,0,0,17,2741,1,105
2016,291410,88,16,721,2,2761,1,0,0,0,0,0,11,2750,0,88
2017,291410,107,16,699,3,2757,0,1,1,0,0,0,8,2749,0,107
2018,291410,115,17,677,4,2754,0,0,2,0,0,0,8,2746,0,115
2019,291410,107,19,656,2,2749,0,0,0,0,0,0,11,2738,0,107
2020,291410,92,17,634,4,2744,0,0,0,0,0,0,11,2733,0,92
2021,291410,91,12,620,3,2743,1,0,1,0,0,0,11,2732,0,91
2022,291410,48,6,NA,2,NA,1,0,1,0,0,0,NA,NA,NA,NA
2012,291420,96,21,673,6,2124,0,0,0,0,0,0,2,2122,0,96
2013,291420,91,24,678,12,2150,0,0,0,0,0,0,2,2148,0,91
2014,291420,84,29,680,8,2172,0,0,0,0,0,0,2,2170,0,84
2015,291420,95,17,681,6,2192,0,0,4,0,0,0,2,2190,0,95
2016,291420,82,20,668,4,2205,0,1,6,0,0,0,2,2203,0,82
2017,291420,59,11,654,6,2215,2,1,6,0,0,0,2,2213,0,59
2018,291420,86,23,638,6,2226,0,0,3,0,0,0,2,2224,0,86
2019,291420,81,22,624,7,2228,1,0,1,0,0,0,2,2226,0,81
2020,291420,65,12,609,7,2238,0,0,1,0,0,0,2,2236,0,65
2021,291420,65,12,588,2,2234,1,1,2,0,0,0,2,2232,0,65
2022,291420,60,8,NA,3,NA,1,0,0,0,0,0,NA,NA,NA,NA
2012,291430,118,32,1099,10,3303,0,0,0,0,0,0,33,3270,1,117
2013,291430,122,37,1035,12,3174,0,0,0,0,0,0,22,3152,1,121
2014,291430,118,26,969,17,3049,0,0,0,0,0,0,30,3019,1,117
2015,291430,117,30,902,13,2913,1,0,5,0,0,0,29,2884,1,116
2016,291430,93,19,846,5,2796,4,0,2,0,0,0,22,2774,1,92
2017,291430,110,31,787,8,2673,3,0,4,0,0,0,19,2654,1,109
2018,291430,105,25,726,4,2544,5,0,5,0,0,0,18,2526,1,104
2019,291430,83,6,667,0,2419,3,0,1,0,0,0,17,2402,1,82
2020,291430,105,19,610,4,2300,0,0,3,0,0,0,14,2286,1,104
2021,291430,93,18,575,3,2194,1,0,1,0,0,0,15,2179,1,92
2022,291430,103,18,NA,3,NA,1,0,6,0,0,0,NA,NA,NA,NA
2012,291440,345,93,2428,19,7217,0,0,0,0,0,0,65,7152,3,342
2013,291440,350,85,2402,19,7333,0,0,0,0,0,0,59,7274,3,347
2014,291440,353,99,2380,23,7445,0,0,0,0,0,0,60,7385,3,350
2015,291440,371,96,2345,17,7545,0,0,1,0,0,0,68,7477,3,368
2016,291440,373,100,2294,21,7612,2,0,0,0,0,0,69,7543,3,370
2017,291440,373,77,2229,21,7661,0,0,1,0,0,0,77,7584,4,369
2018,291440,388,76,2167,13,7716,13,2,37,0,0,0,77,7639,4,384
2019,291440,387,84,2104,13,7759,13,2,25,0,0,0,78,7681,4,383
2020,291440,367,68,2043,9,7799,17,6,24,0,0,0,62,7737,3,364
2021,291440,385,72,2000,22,7842,10,2,20,0,0,0,63,7779,3,382
2022,291440,352,55,NA,5,NA,10,1,10,0,0,0,NA,NA,NA,NA
2012,291450,392,66,2715,22,9006,0,0,0,0,0,0,369,8637,16,376
2013,291450,345,70,2630,23,9089,0,0,0,0,0,0,400,8689,15,330
2014,291450,350,65,2530,20,9153,0,0,0,0,0,0,421,8732,16,334
2015,291450,347,68,2428,19,9209,8,2,12,0,1,0,359,8850,14,333
2016,291450,360,57,2362,20,9237,6,3,6,0,0,0,369,8868,14,346
2017,291450,331,62,2291,27,9249,8,3,13,0,0,1,361,8888,13,318
2018,291450,330,47,2218,17,9264,1,1,8,0,0,0,371,8893,13,317
2019,291450,260,42,2147,12,9265,3,0,4,0,0,1,352,8913,10,250
2020,291450,296,53,2076,16,9258,2,3,5,0,1,0,333,8925,11,285
2021,291450,252,32,2035,10,9255,8,2,6,1,0,1,324,8931,9,243
2022,291450,244,32,NA,9,NA,5,1,6,0,1,0,NA,NA,NA,NA
2012,291460,1195,256,6538,50,23596,0,0,0,0,0,0,1251,22345,63,1132
2013,291460,1173,210,6527,46,23752,0,0,0,0,0,0,1283,22469,63,1110
2014,291460,1187,237,6507,32,23876,0,0,0,0,0,0,1289,22587,64,1123
2015,291460,1255,271,6478,47,23989,45,9,61,3,2,4,1247,22742,65,1190
2016,291460,1277,230,6444,63,24094,38,8,52,3,3,2,1181,22913,63,1214
2017,291460,1313,233,6396,45,24165,54,5,81,2,0,1,1136,23029,62,1251
2018,291460,1361,217,6352,57,24241,46,14,73,5,0,1,1188,23053,67,1294
2019,291460,1190,206,6309,43,24291,41,15,48,6,3,0,1215,23076,60,1130
2020,291460,1259,176,6251,36,24317,32,5,49,1,1,0,1264,23053,65,1194
2021,291460,1336,153,6168,41,24305,33,8,40,3,1,0,1312,22993,72,1264
2022,291460,1103,151,NA,27,NA,27,7,43,3,0,0,NA,NA,NA,NA
2012,291465,512,152,2983,65,9166,0,0,0,0,0,0,357,8809,20,492
2013,291465,521,160,2963,73,9239,0,0,0,0,0,0,370,8869,21,500
2014,291465,541,170,2940,55,9306,0,0,0,0,0,0,400,8906,23,518
2015,291465,494,139,2912,50,9361,3,1,13,0,0,0,393,8968,21,473
2016,291465,490,151,2857,52,9406,2,0,7,0,0,0,423,8983,22,468
2017,291465,510,148,2795,46,9444,3,0,5,0,0,1,453,8991,24,486
2018,291465,494,144,2732,47,9473,3,3,10,0,0,1,464,9009,24,470
2019,291465,518,131,2671,57,9501,4,2,9,1,0,1,447,9054,24,494
2020,291465,512,124,2609,38,9518,3,0,5,2,0,0,447,9071,24,488
2021,291465,519,144,2562,41,9527,1,0,8,0,0,0,457,9070,25,494
2022,291465,483,114,NA,37,NA,3,1,9,1,0,1,NA,NA,NA,NA
2012,291470,928,238,5839,63,20482,0,0,0,0,0,0,922,19560,42,886
2013,291470,981,198,5792,72,20558,0,0,0,0,0,0,946,19612,45,936
2014,291470,921,191,5736,56,20603,0,0,0,0,0,0,886,19717,40,881
2015,291470,966,194,5670,49,20628,0,0,1,2,0,1,949,19679,44,922
2016,291470,914,209,5569,45,20616,1,0,2,0,0,0,907,19709,40,874
2017,291470,871,159,5457,46,20579,2,0,2,1,0,0,844,19735,36,835
2018,291470,960,199,5339,42,20527,0,1,2,1,0,2,883,19644,41,919
2019,291470,971,166,5225,37,20466,0,0,1,1,0,0,901,19565,43,928
2020,291470,848,147,5111,40,20394,1,0,3,1,0,1,836,19558,35,813
2021,291470,844,154,4979,24,20305,1,0,2,0,0,0,853,19452,35,809
2022,291470,776,118,NA,26,NA,0,0,1,4,0,0,NA,NA,NA,NA
2012,291480,3212,664,17490,145,70355,0,0,0,0,0,0,11116,59239,507,2705
2013,291480,3233,652,17344,150,70274,0,0,0,0,0,0,11806,58468,543,2690
2014,291480,3145,620,17181,118,70141,0,0,0,0,0,0,13818,56323,620,2525
2015,291480,3126,586,16986,115,69929,62,10,157,10,2,5,13986,55943,625,2501
2016,291480,2846,538,16799,104,69782,54,16,161,10,5,8,13747,56035,561,2285
2017,291480,2940,545,16572,100,69585,56,15,140,25,4,13,14682,54903,620,2320
