CODMUNRES,ANO,Obito_Materno_investigado_com_Ficha_Sintese,Obito_Materno_investigado_sem_Ficha_Sintese,TOTAL_OBITOS_MATERNOS
130120,2015,2,0,2
130120,2016,1,0,1
130120,2017,3,0,3
130120,2018,3,0,3
130120,2019,3,0,3
130130,2016,2,0,2
130130,2017,2,0,2
130130,2019,1,0,1
130140,2013,3,0,3
130140,2017,2,0,2
130140,2020,1,0,1
130150,2013,1,0,1
130150,2014,1,0,1
130150,2017,1,0,1
130160,2015,1,0,1
130160,2017,3,0,3
130160,2018,1,0,1
130160,2019,1,0,1
130160,2020,1,0,1
130165,2018,1,0,1
130170,2014,1,0,1
130170,2017,1,0,1
130180,2012,0,0,1
130180,2019,0,0,1
130185,2012,1,0,1
130185,2013,1,0,1
130185,2014,1,0,1
130185,2015,1,0,1
130185,2018,1,0,1
130190,2014,1,0,1
130190,2015,4,0,4
130190,2016,1,0,1
130190,2017,2,0,2
130190,2019,2,0,2
130190,2020,1,0,1
130195,2014,1,0,1
130195,2017,1,0,1
130195,2019,1,0,1
130200,2014,1,0,1
130210,2012,1,0,1
130230,2014,1,0,1
130230,2016,1,0,1
130230,2017,1,0,1
130240,2014,2,0,2
130240,2015,2,0,2
130250,2012,2,0,2
130250,2015,2,0,2
130250,2016,3,0,3
130250,2017,2,0,2
130250,2018,3,0,3
130250,2019,1,0,1
130250,2020,4,0,4
130255,2013,1,0,1
130255,2020,0,1,1
130260,2012,22,0,22
130260,2013,28,0,28
130260,2014,42,0,42
130260,2015,20,0,20
130260,2016,27,0,27
130260,2017,12,0,12
130260,2018,37,0,37
130260,2019,26,0,26
130260,2020,41,0,41
130270,2012,1,0,1
130270,2015,1,0,2
130270,2016,2,0,2
130270,2017,1,0,1
130280,2020,1,0,1
130290,2012,2,0,2
130290,2014,1,0,1
130290,2016,1,0,1
130290,2017,5,0,5
130290,2018,4,0,4
130290,2019,1,0,1
130290,2020,2,0,2
130300,2015,2,0,2
130300,2017,1,0,1
130300,2019,1,0,1
130310,2016,2,0,2
130310,2018,1,0,1
130310,2020,0,0,1
130320,2014,0,1,1
130320,2020,1,0,1
130330,2016,2,0,2
130330,2018,4,0,4
130340,2012,1,0,1
130340,2013,1,0,1
130340,2014,1,0,1
130340,2017,3,0,3
130340,2018,2,0,2
130340,2019,2,0,2
130350,2012,1,0,1
130350,2018,1,0,1
130350,2019,1,0,1
130353,2013,1,0,1
130353,2014,1,0,1
130353,2016,1,0,1
130356,2015,1,0,1
130356,2019,1,0,1
130356,2020,1,0,1
130360,2013,1,0,1
130360,2015,0,0,1
130360,2020,0,0,1
130370,2014,1,0,1
130370,2016,1,0,1
130370,2017,1,0,1
130370,2020,2,0,2
130380,2012,1,0,1
130380,2013,3,0,3
130380,2014,1,0,1
130380,2015,2,0,2
130380,2017,3,0,3
130380,2018,3,0,3
130380,2019,2,0,2
130380,2020,1,1,2
130390,2013,1,0,1
130390,2014,1,0,1
130390,2015,1,0,1
130390,2016,1,0,1
130390,2018,1,0,1
130390,2019,0,0,1
130390,2020,2,0,2
130395,2014,1,0,1
130400,2014,1,0,1
130406,2012,1,0,1
130406,2013,1,0,1
130406,2014,1,0,1
130406,2016,2,0,2
130406,2017,2,0,2
130406,2018,2,0,2
130406,2019,3,0,3
130410,2012,1,0,2
130410,2014,3,0,4
130410,2015,1,0,1
130410,2016,1,0,1
130410,2017,1,0,1
130410,2020,0,0,1
130420,2012,1,0,1
130420,2014,2,0,2
130420,2015,2,0,2
130420,2016,1,0,1
130420,2017,1,0,1
130420,2019,3,0,3
130423,2012,0,0,1
130423,2015,0,0,1
130423,2020,1,0,1
130426,2013,1,0,1
130426,2020,1,0,3
130430,2012,1,0,1
130430,2016,1,0,1
130440,2012,0,1,1
140002,2012,0,1,1
140002,2013,1,0,1
140002,2016,1,0,1
140002,2019,1,0,1
140002,2020,1,0,2
140005,2012,1,0,1
140005,2013,0,0,1
140005,2014,1,0,1
140005,2016,1,0,1
140005,2017,1,0,1
140005,2018,1,0,1
140010,2012,1,0,1
140010,2013,2,0,2
140010,2014,1,0,1
140010,2015,5,0,5
140010,2016,2,0,2
140010,2017,2,0,2
140010,2018,6,0,6
140010,2019,5,0,5
140010,2020,9,1,10
140015,2014,1,0,1
140015,2019,1,0,1
140015,2020,2,0,2
140017,2012,1,0,1
140017,2015,3,0,3
140017,2017,1,0,1
140017,2020,2,0,2
140020,2013,1,0,1
140020,2016,1,0,1
140020,2019,1,0,1
140023,2015,1,0,1
140023,2020,1,0,1
140028,2020,1,0,1
140030,2016,1,0,1
140030,2019,1,0,1
140040,2015,1,0,1
140040,2018,2,0,2
140040,2019,1,0,1
140045,2014,1,0,1
140045,2020,1,0,1
140047,2015,1,0,1
140047,2017,1,0,1
140047,2018,1,0,1
140047,2019,0,0,1
140047,2020,1,0,1
140070,2013,0,0,1
140070,2014,1,0,1
140070,2017,1,0,1
150010,2012,0,0,1
150010,2013,1,0,1
150010,2014,1,0,1
150010,2015,2,0,2
150010,2016,1,0,1
150010,2017,1,0,1
150010,2018,3,0,4
150010,2019,1,0,1
150010,2020,2,0,2
150013,2017,1,0,1
150013,2019,1,0,1
150020,2012,1,0,1
150020,2013,1,0,1
150020,2015,1,0,1
150020,2016,3,0,3
150020,2017,2,0,2
150020,2018,1,0,1
150020,2020,2,0,2
150030,2013,0,0,1
150030,2014,1,0,1
150030,2018,1,0,1
150030,2019,1,0,1
150034,2016,1,0,1
150034,2020,1,0,1
150040,2012,1,0,1
150040,2014,1,0,1
150040,2015,1,0,1
150040,2016,1,0,1
150040,2018,1,0,1
150040,2020,2,0,2
150050,2012,1,0,1
150060,2013,1,0,1
150060,2014,1,0,1
150060,2015,3,0,3
150060,2016,1,0,1
150060,2017,3,0,3
150060,2020,4,0,4
150070,2012,2,0,3
150070,2017,1,0,1
150070,2019,2,0,2
150070,2020,1,0,1
150080,2012,8,0,10
150080,2013,4,1,5
150080,2014,4,0,5
150080,2015,7,0,7
150080,2016,3,0,3
150080,2017,5,0,5
150080,2018,5,0,6
150080,2019,3,0,3
150080,2020,12,0,12
150085,2012,0,0,2
150085,2013,1,1,2
150085,2016,1,0,1
150085,2017,1,0,1
150085,2019,1,0,1
150090,2012,2,0,2
150090,2014,1,0,1
150090,2015,1,0,1
150090,2016,1,0,1
150090,2019,3,0,3
150095,2012,0,0,1
150095,2013,1,0,1
150095,2014,2,0,2
150095,2017,1,0,1
150095,2018,1,0,1
150100,2017,1,0,1
150110,2012,0,0,2
150110,2013,1,0,1
150110,2015,1,0,1
150110,2016,1,0,1
150110,2018,1,0,1
150110,2020,2,0,2
150120,2014,1,0,1
150120,2015,1,0,1
150120,2016,1,0,1
150120,2018,1,0,1
150120,2020,1,0,1
150130,2014,4,0,4
150130,2015,1,0,1
150130,2016,1,0,1
150130,2017,0,0,1
150130,2018,3,0,3
150130,2020,1,0,1
150140,2012,11,0,14
150140,2013,27,0,27
150140,2014,17,0,17
150140,2015,16,0,16
150140,2016,13,0,13
150140,2017,18,1,19
150140,2018,15,0,15
150140,2019,13,0,13
150140,2020,12,0,12
150145,2013,1,1,2
150145,2018,2,0,2
150145,2020,1,0,1
150150,2013,1,0,1
150150,2014,1,0,1
150150,2015,1,0,1
150150,2016,1,0,1
150150,2017,1,0,1
150150,2020,1,0,1
150157,2012,1,0,1
150160,2017,1,0,1
150170,2012,1,0,1
150170,2013,1,0,2
