"codmunres";"ano";"total_de_nascidos_vivos";"nascidos_vivos_asfixia1";"nascidos_vivos_asfixia2"
110013;2015;480;6;6
110013;2016;398;7;7
110013;2017;449;4;4
110013;2018;517;9;9
110013;2019;500;12;12
110013;2020;561;11;11
110013;2021;468;15;15
110014;2015;256;3;3
110014;2016;276;2;2
110014;2017;224;1;1
110014;2018;290;3;3
110014;2019;261;7;7
110014;2020;230;1;1
110014;2021;233;3;3
110015;2015;767;5;5
110015;2016;582;6;6
110015;2017;578;3;3
110015;2018;614;5;5
110015;2019;631;7;7
110015;2020;600;6;6
110015;2021;538;7;7
110018;2015;594;9;9
110018;2016;601;7;7
110018;2017;615;4;4
110018;2018;651;2;2
110018;2019;616;6;6
110018;2020;579;4;4
110018;2021;573;3;3
110020;2015;9093;49;49
110020;2016;8611;62;62
110020;2017;8800;38;38
110020;2018;8752;32;32
110020;2019;8437;46;46
110020;2020;7893;34;34
110020;2021;7703;45;45
110025;2015;262;3;3
110025;2016;276;3;3
110025;2017;289;5;5
110025;2018;294;3;3
110025;2019;304;3;3
110025;2020;259;3;3
110025;2021;254;2;2
110026;2015;36;0;0
110026;2016;35;0;0
110026;2017;49;0;0
110026;2018;46;0;0
110026;2019;50;1;1
110026;2020;48;0;0
110026;2021;48;0;0
110028;2015;936;7;7
110028;2016;855;3;3
110028;2017;963;5;5
110028;2018;900;3;3
110028;2019;927;3;3
110028;2020;877;6;6
110028;2021;816;2;2
110029;2015;109;1;1
110029;2016;114;2;2
110029;2017;112;0;0
110029;2018;103;1;1
110029;2019;99;0;0
110029;2020;99;0;0
110029;2021;78;0;0
110030;2015;1535;7;7
110030;2016;1427;6;6
110030;2017;1465;6;6
110030;2018;1557;10;10
110030;2019;1590;5;5
110030;2020;1553;6;6
110030;2021;1623;8;8
110032;2015;311;4;4
110032;2016;337;3;3
110032;2017;372;1;1
110032;2018;391;5;5
110032;2019;353;5;5
110032;2020;363;3;3
110032;2021;344;3;3
110033;2015;404;5;5
110033;2016;411;3;3
110033;2017;487;4;4
110033;2018;482;3;3
110033;2019;432;2;2
110033;2020;423;3;3
110033;2021;469;1;1
110034;2015;200;0;0
110034;2016;166;0;0
110034;2017;178;1;1
110034;2018;162;0;0
110034;2019;205;3;3
110034;2020;210;1;1
110034;2021;200;0;0
110037;2015;149;0;0
110037;2016;168;1;1
110037;2017;172;1;1
110037;2018;160;0;0
110037;2019;154;1;1
110037;2020;146;0;0
110037;2021;143;0;0
110040;2015;247;0;0
110040;2016;220;0;0
110040;2017;242;2;2
110040;2018;219;5;5
110040;2019;226;1;1
110040;2020;218;1;1
110040;2021;224;3;3
110045;2015;608;5;5
110045;2016;624;6;6
110045;2017;632;2;2
110045;2018;617;3;3
110045;2019;583;1;1
110045;2020;508;5;5
110045;2021;542;2;2
110050;2015;109;0;0
110050;2016;95;1;1
110050;2017;91;1;1
110050;2018;111;1;1
110050;2019;98;0;0
110050;2020;78;1;1
110050;2021;84;1;1
110060;2015;72;1;1
110060;2016;67;0;0
110060;2017;71;1;1
110060;2018;80;0;0
110060;2019;75;1;1
110060;2020;70;0;0
110060;2021;60;0;0
110070;2015;156;0;0
110070;2016;162;0;0
110070;2017;174;3;3
110070;2018;195;0;0
110070;2019;166;1;1
110070;2020;173;2;2
110070;2021;133;1;1
110080;2015;323;3;3
110080;2016;372;2;2
110080;2017;397;2;2
110080;2018;421;3;3
110080;2019;337;0;0
110080;2020;344;3;3
110080;2021;353;4;4
110090;2015;52;1;1
110090;2016;55;0;0
110090;2017;39;0;0
110090;2018;56;1;1
110090;2019;32;1;1
110090;2020;37;0;0
110090;2021;37;1;1
110092;2015;154;2;2
110092;2016;153;1;1
110092;2017;169;3;3
110092;2018;181;0;0
110092;2019;162;1;1
110092;2020;162;0;0
110092;2021;152;0;0
110094;2015;274;0;0
110094;2016;241;4;4
110094;2017;209;1;1
110094;2018;229;2;2
110094;2019;205;4;4
110094;2020;246;5;5
110094;2021;243;3;3
110100;2015;132;0;0
110100;2016;112;0;0
110100;2017;109;0;0
110100;2018;133;1;1
110100;2019;112;1;1
110100;2020;86;0;0
110100;2021;105;0;0
110110;2015;112;0;0
110110;2016;129;0;0
110110;2017;95;1;1
110110;2018;92;0;0
110110;2019;109;1;1
110110;2020;119;0;0
110110;2021;120;0;0
110120;2015;93;1;1
110120;2016;93;0;0
110120;2017;100;0;0
110120;2018;92;1;1
110120;2019;84;0;0
110120;2020;74;0;0
110120;2021;65;0;0
110130;2015;179;1;1
110130;2016;148;0;0
110130;2017;156;1;1
110130;2018;160;2;2
110130;2019;164;2;2
110130;2020;168;2;2
110130;2021;153;2;2
110140;2015;240;5;5
110140;2016;173;5;5
110140;2017;200;1;1
110140;2018;220;3;3
110140;2019;199;3;3
110140;2020;167;3;3
110140;2021;175;1;1
110143;2015;73;0;0
110143;2016;90;0;0
110143;2017;94;2;2
110143;2018;87;1;1
110143;2019;104;1;1
110143;2020;87;1;1
110143;2021;85;0;0
110145;2015;54;0;0
110145;2016;50;0;0
110145;2017;51;1;1
110145;2018;53;0;0
110145;2019;44;0;0
110145;2020;59;1;1
110145;2021;40;0;0
110146;2015;52;0;0
110146;2016;34;0;0
110146;2017;52;0;0
110146;2018;52;2;2
110146;2019;40;0;0
110146;2020;39;0;0
110146;2021;42;1;1
110147;2015;40;0;0
110147;2016;56;0;0
110147;2017;63;0;0
110147;2018;38;0;0
110147;2019;43;1;1
110147;2020;38;0;0
110147;2021;40;0;0
110148;2015;73;0;0
110148;2016;54;0;0
110148;2017;75;0;0
110148;2018;54;0;0
110148;2019;54;0;0
110148;2020;65;0;0
110148;2021;45;0;0
110149;2015;319;2;2
110149;2016;305;7;7
110149;2017;333;3;3
110149;2018;327;18;18
110149;2019;303;5;5
110149;2020;266;4;4
110149;2021;284;5;5
110150;2015;188;1;1
110150;2016;171;5;5
110150;2017;188;0;0
110150;2018;154;1;1
110150;2019;168;2;2
110150;2020;162;1;1
110150;2021;180;2;2
110155;2015;71;2;2
110155;2016;59;0;0
110155;2017;58;0;0
110155;2018;60;0;0
110155;2019;64;0;0
110155;2020;42;0;0
110155;2021;50;0;0
110160;2015;107;0;0
110160;2016;131;0;0
110160;2017;146;0;0
110160;2018;131;2;2
110160;2019;97;0;0
110160;2020;115;1;1
110160;2021;83;0;0
110170;2015;138;1;1
110170;2016;151;1;1
110170;2017;150;0;0
110170;2018;139;0;0
110170;2019;170;1;1
110170;2020;143;2;2
110170;2021;161;2;2
110175;2015;106;3;3
110175;2016;110;0;0
110175;2017;86;1;1
110175;2018;91;0;0
110175;2019;93;2;2
110175;2020;72;0;0
110175;2021;75;2;2
110180;2015;63;1;1
110180;2016;98;1;1
110180;2017;79;1;1
110180;2018;95;1;1
110180;2019;81;1;1
110180;2020;62;1;1
110180;2021;72;0;0
120001;2015;217;5;5
120001;2016;222;1;1
120001;2017;256;4;4
120001;2018;216;1;1
120001;2019;257;3;3
120001;2020;237;1;1
120001;2021;251;1;1
120005;2015;238;2;2
120005;2016;190;2;2
120005;2017;248;3;3
120005;2018;264;3;3
120005;2019;266;4;4
120005;2020;215;2;2
120005;2021;271;0;0
120010;2015;531;4;4
120010;2016;490;10;10
120010;2017;570;5;5
120010;2018;540;8;8
120010;2019;540;4;4
120010;2020;527;7;7
120010;2021;525;6;6
120013;2015;248;1;1
120013;2016;248;1;1
120013;2017;307;1;1
120013;2018;306;1;1
120013;2019;329;8;8
120013;2020;241;2;2
120013;2021;251;1;1
120017;2015;219;0;0
120017;2016;194;3;3
120017;2017;243;2;2
120017;2018;222;3;3
120017;2019;217;8;8
120017;2020;190;1;1
120017;2021;215;3;3
120020;2015;1839;16;16
120020;2016;1632;17;17
120020;2017;1684;12;12
120020;2018;1756;13;13
120020;2019;1809;16;16
120020;2020;1691;19;19
120020;2021;1794;11;11
120025;2015;279;1;1
120025;2016;270;2;2
120025;2017;291;2;2
120025;2018;273;6;6
120025;2019;314;5;5
120025;2020;293;0;0
120025;2021;304;0;0
120030;2015;772;6;6
120030;2016;834;6;6
120030;2017;833;8;8
120030;2018;833;9;9
120030;2019;871;4;4
120030;2020;789;9;9
120030;2021;889;7;7
120032;2015;273;2;2
120032;2016;263;1;1
120032;2017;266;3;3
120032;2018;274;2;2
120032;2019;218;0;0
120032;2020;205;0;0
120032;2021;296;3;3
120033;2015;395;0;0
120033;2016;325;1;1
120033;2017;358;0;0
120033;2018;367;2;2
120033;2019;345;5;5
120033;2020;420;3;3
120033;2021;379;0;0
120034;2015;266;2;2
120034;2016;236;2;2
120034;2017;261;3;3
120034;2018;252;2;2
120034;2019;230;4;4
120034;2020;280;2;2
120034;2021;276;4;4
120035;2015;445;2;2
120035;2016;352;3;3
120035;2017;388;0;0
120035;2018;407;1;1
120035;2019;448;5;5
