"codmunres";"ano";"total_de_nascidos_vivos";"nascidos_vivos_asfixia1";"nascidos_vivos_asfixia2"
210462;2018;129;1;1
210462;2019;97;0;0
210462;2020;101;2;2
210462;2021;123;1;1
210465;2015;167;4;4
210465;2016;143;3;3
210465;2017;135;4;4
210465;2018;146;3;3
210465;2019;166;2;2
210465;2020;153;0;0
210465;2021;124;2;2
210467;2015;553;4;4
210467;2016;445;1;1
210467;2017;448;7;7
210467;2018;492;3;3
210467;2019;466;2;2
210467;2020;432;11;11
210467;2021;494;3;3
210470;2015;64;0;0
210470;2016;58;2;2
210470;2017;52;0;0
210470;2018;84;1;1
210470;2019;89;1;1
210470;2020;69;2;2
210470;2021;49;2;2
210480;2015;1785;11;11
210480;2016;1587;15;15
210480;2017;1570;5;5
210480;2018;1577;6;6
210480;2019;1548;15;15
210480;2020;1441;9;9
210480;2021;1537;8;8
210490;2015;137;12;12
210490;2016;158;0;0
210490;2017;176;1;1
210490;2018;177;3;3
210490;2019;145;3;3
210490;2020;130;1;1
210490;2021;135;0;0
210500;2015;543;1;1
210500;2016;510;4;4
210500;2017;510;5;5
210500;2018;577;3;3
210500;2019;483;2;2
210500;2020;513;4;4
210500;2021;471;1;1
210510;2015;393;5;5
210510;2016;396;7;7
210510;2017;394;7;7
210510;2018;371;3;3
210510;2019;363;5;5
210510;2020;349;5;5
210510;2021;396;2;2
210515;2015;229;2;2
210515;2016;245;2;2
210515;2017;242;1;1
210515;2018;258;1;1
210515;2019;244;5;5
210515;2020;285;0;0
210515;2021;280;1;1
210520;2015;166;3;3
210520;2016;144;1;1
210520;2017;131;1;1
210520;2018;149;1;1
210520;2019;189;1;1
210520;2020;171;2;2
210520;2021;192;0;0
210530;2015;5248;42;42
210530;2016;4894;35;35
210530;2017;5051;44;44
210530;2018;5274;63;63
210530;2019;5192;63;63
210530;2020;4793;26;26
210530;2021;4686;30;30
210535;2015;266;4;4
210535;2016;250;3;3
210535;2017;303;4;4
210535;2018;310;1;1
210535;2019;287;7;7
210535;2020;210;2;2
210535;2021;275;0;0
210540;2015;1262;6;6
210540;2016;1140;7;7
210540;2017;1258;3;3
210540;2018;1306;7;7
210540;2019;1243;11;11
210540;2020;1175;3;3
210540;2021;1141;5;5
210542;2015;363;5;5
210542;2016;346;3;3
210542;2017;302;1;1
210542;2018;378;4;4
210542;2019;353;4;4
210542;2020;253;5;5
210542;2021;314;5;5
210545;2015;152;0;0
210545;2016;134;0;0
210545;2017;131;2;2
210545;2018;133;1;1
210545;2019;144;1;1
210545;2020;128;2;2
210545;2021;131;2;2
210547;2015;374;0;0
210547;2016;338;1;1
210547;2017;361;6;6
210547;2018;403;1;1
210547;2019;342;4;4
210547;2020;344;1;1
210547;2021;424;3;3
210550;2015;531;6;6
210550;2016;448;3;3
210550;2017;476;2;2
210550;2018;478;4;4
210550;2019;493;4;4
210550;2020;419;11;11
210550;2021;442;8;8
210560;2015;270;4;4
210560;2016;233;1;1
210560;2017;235;4;4
210560;2018;271;1;1
210560;2019;219;3;3
210560;2020;198;1;1
210560;2021;243;2;2
210565;2015;138;3;3
210565;2016;119;1;1
210565;2017;135;0;0
210565;2018;135;3;3
210565;2019;111;3;3
210565;2020;98;0;0
210565;2021;80;1;1
210570;2015;818;10;10
210570;2016;883;8;8
210570;2017;846;10;10
210570;2018;868;11;11
210570;2019;764;9;9
210570;2020;761;6;6
210570;2021;784;3;3
210580;2015;190;5;5
210580;2016;160;2;2
210580;2017;198;1;1
210580;2018;185;2;2
210580;2019;177;1;1
210580;2020;144;0;0
210580;2021;140;1;1
210590;2015;240;5;5
210590;2016;263;6;6
210590;2017;273;8;8
210590;2018;284;2;2
210590;2019;273;2;2
210590;2020;240;3;3
210590;2021;230;4;4
210592;2015;154;0;0
210592;2016;126;0;0
210592;2017;147;1;1
210592;2018;124;2;2
210592;2019;123;0;0
210592;2020;131;2;2
210592;2021;147;2;2
210594;2015;133;1;1
210594;2016;130;1;1
210594;2017;125;1;1
210594;2018;147;0;0
210594;2019;106;2;2
210594;2020;88;0;0
210594;2021;100;0;0
210596;2015;201;2;2
210596;2016;201;0;0
210596;2017;192;2;2
210596;2018;236;1;1
210596;2019;220;2;2
210596;2020;205;0;0
210596;2021;232;5;5
210598;2015;94;1;1
210598;2016;99;2;2
210598;2017;88;0;0
210598;2018;94;1;1
210598;2019;102;4;4
210598;2020;95;2;2
210598;2021;118;2;2
210600;2015;191;2;2
210600;2016;226;4;4
210600;2017;185;1;1
210600;2018;201;4;4
210600;2019;191;3;3
210600;2020;172;2;2
210600;2021;185;2;2
210610;2015;179;0;0
210610;2016;165;2;2
210610;2017;165;1;1
210610;2018;165;2;2
210610;2019;147;2;2
210610;2020;148;2;2
210610;2021;147;1;1
210620;2015;121;0;0
210620;2016;101;0;0
210620;2017;130;1;1
210620;2018;146;2;2
210620;2019;120;0;0
210620;2020;132;2;2
210620;2021;111;3;3
210630;2015;242;4;4
210630;2016;199;6;6
210630;2017;211;2;2
210630;2018;202;4;4
210630;2019;205;4;4
210630;2020;173;5;5
210630;2021;163;4;4
210632;2015;391;0;0
210632;2016;336;3;3
210632;2017;373;8;8
210632;2018;362;4;4
210632;2019;379;4;4
210632;2020;359;3;3
210632;2021;367;5;5
210635;2015;120;2;2
210635;2016;101;0;0
210635;2017;88;2;2
210635;2018;89;1;1
210635;2019;93;1;1
210635;2020;107;0;0
210635;2021;99;1;1
210637;2015;203;3;3
210637;2016;183;2;2
210637;2017;210;4;4
210637;2018;193;6;6
210637;2019;192;1;1
210637;2020;188;2;2
210637;2021;176;2;2
210640;2015;335;2;2
210640;2016;328;4;4
210640;2017;321;5;5
210640;2018;343;6;6
210640;2019;269;4;4
210640;2020;290;3;3
210640;2021;279;3;3
210650;2015;398;2;2
210650;2016;382;0;0
210650;2017;377;0;0
210650;2018;443;3;3
210650;2019;341;2;2
210650;2020;357;3;3
210650;2021;363;0;0
210660;2015;540;5;5
210660;2016;449;5;5
210660;2017;502;2;2
210660;2018;544;5;5
210660;2019;492;3;3
210660;2020;421;11;11
210660;2021;479;16;16
210663;2015;114;1;1
210663;2016;116;0;0
210663;2017;112;1;1
210663;2018;121;0;0
210663;2019;120;1;1
210663;2020;145;1;1
210663;2021;120;0;0
210667;2015;93;2;2
210667;2016;102;1;1
210667;2017;66;2;2
210667;2018;71;2;2
210667;2019;96;1;1
210667;2020;73;1;1
210667;2021;91;1;1
210670;2015;329;5;5
210670;2016;316;2;2
210670;2017;327;0;0
210670;2018;389;4;4
210670;2019;360;5;5
210670;2020;295;2;2
210670;2021;328;2;2
210675;2015;341;3;3
210675;2016;302;0;0
210675;2017;357;3;3
210675;2018;338;5;5
210675;2019;340;3;3
210675;2020;263;3;3
210675;2021;322;4;4
210680;2015;235;2;2
210680;2016;230;0;0
210680;2017;231;0;0
210680;2018;277;5;5
210680;2019;262;1;1
210680;2020;223;1;1
210680;2021;236;1;1
210690;2015;678;2;2
210690;2016;624;5;5
210690;2017;609;1;1
210690;2018;611;4;4
210690;2019;580;2;2
210690;2020;477;3;3
210690;2021;461;4;4
210700;2015;180;2;2
210700;2016;150;1;1
210700;2017;177;1;1
210700;2018;164;2;2
210700;2019;159;4;4
210700;2020;136;2;2
210700;2021;166;1;1
210710;2015;384;6;6
210710;2016;326;3;3
210710;2017;375;7;7
210710;2018;454;4;4
210710;2019;358;4;4
210710;2020;351;7;7
210710;2021;141;3;3
210720;2015;206;2;2
210720;2016;197;3;3
210720;2017;219;2;2
210720;2018;228;3;3
210720;2019;243;0;0
210720;2020;224;6;6
210720;2021;223;5;5
210725;2015;107;1;1
210725;2016;90;1;1
210725;2017;107;0;0
210725;2018;100;1;1
210725;2019;80;1;1
210725;2020;77;0;0
210725;2021;95;0;0
210730;2015;39;1;1
210730;2016;27;0;0
210730;2017;30;0;0
210730;2018;52;0;0
210730;2019;34;1;1
210730;2020;44;1;1
210730;2021;39;0;0
210735;2015;310;4;4
210735;2016;237;4;4
210735;2017;247;4;4
210735;2018;331;4;4
210735;2019;291;1;1
210735;2020;277;2;2
210735;2021;298;3;3
210740;2015;280;1;1
210740;2016;264;1;1
210740;2017;293;4;4
210740;2018;273;3;3
210740;2019;249;1;1
210740;2020;282;2;2
210740;2021;231;2;2
210745;2015;196;3;3
210745;2016;177;3;3
210745;2017;207;2;2
210745;2018;255;5;5
210745;2019;223;0;0
210745;2020;180;1;1
210745;2021;224;3;3
210750;2015;1775;21;21
210750;2016;1710;29;29
210750;2017;1722;17;17
210750;2018;1775;21;21
210750;2019;1841;23;23
210750;2020;1797;24;24
210750;2021;1658;37;37
210760;2015;309;5;5
210760;2016;311;3;3
210760;2017;316;3;3
210760;2018;306;4;4
210760;2019;310;2;2
210760;2020;245;4;4
210760;2021;291;2;2
210770;2015;344;5;5
210770;2016;341;0;0
210770;2017;327;7;7
210770;2018;333;6;6
210770;2019;314;4;4
210770;2020;276;6;6
210770;2021;303;5;5
210780;2015;486;2;2
210780;2016;484;2;2
210780;2017;518;6;6
210780;2018;481;5;5
210780;2019;432;1;1
210780;2020;447;2;2
210780;2021;446;5;5
210790;2015;354;1;1
210790;2016;341;3;3
210790;2017;368;1;1
210790;2018;381;3;3
210790;2019;303;1;1
210790;2020;299;2;2
210790;2021;314;3;3
210800;2015;305;1;1
210800;2016;318;0;0
210800;2017;324;1;1
210800;2018;353;1;1
210800;2019;302;3;3
210800;2020;277;2;2
210800;2021;286;2;2
210805;2015;298;0;0
210805;2016;312;4;4
210805;2017;346;2;2
210805;2018;355;2;2
210805;2019;380;2;2
210805;2020;331;2;2
210805;2021;342;4;4
210810;2015;383;5;5
210810;2016;377;0;0
210810;2017;306;7;7
210810;2018;384;2;2
210810;2019;366;1;1
210810;2020;369;6;6
210810;2021;321;1;1
210820;2015;618;7;7
210820;2016;564;12;12
210820;2017;534;7;7
210820;2018;573;3;3
210820;2019;591;4;4
210820;2020;523;4;4
210820;2021;515;2;2
210825;2015;237;6;6
210825;2016;210;4;4
210825;2017;339;7;7
210825;2018;383;1;1
210825;2019;415;4;4
210825;2020;360;3;3
210825;2021;397;8;8
210830;2015;703;7;7
210830;2016;682;1;1
210830;2017;711;9;9
210830;2018;669;3;3
210830;2019;641;7;7
210830;2020;634;6;6
210830;2021;680;5;5
210840;2015;141;2;2
210840;2016;131;1;1
210840;2017;123;0;0
210840;2018;98;0;0
210840;2019;133;3;3
210840;2020;133;0;0
210840;2021;118;1;1
210845;2015;369;3;3
210845;2016;369;4;4
210845;2017;379;5;5
210845;2018;379;2;2
210845;2019;339;6;6
210845;2020;334;3;3
210845;2021;343;5;5
210850;2015;544;3;3
210850;2016;568;6;6
210850;2017;533;2;2
210850;2018;490;1;1
210850;2019;530;2;2
210850;2020;462;4;4
210850;2021;508;5;5
210860;2015;1498;12;12
210860;2016;1461;13;13
210860;2017;1619;19;19
210860;2018;1637;10;10
210860;2019;1531;20;20
210860;2020;1411;15;15
210860;2021;1471;15;15
210870;2015;489;6;6
210870;2016;425;1;1
210870;2017;391;5;5
210870;2018;419;3;3
210870;2019;426;1;1
210870;2020;378;1;1
210870;2021;337;3;3
210880;2015;331;5;5
210880;2016;280;5;5
210880;2017;268;5;5
210880;2018;290;3;3
210880;2019;282;4;4
210880;2020;249;4;4
210880;2021;251;4;4
210890;2015;273;3;3
210890;2016;236;3;3
210890;2017;258;3;3
210890;2018;210;0;0
210890;2019;243;2;2
210890;2020;235;2;2
210890;2021;219;2;2
210900;2015;418;3;3
210900;2016;420;8;8
210900;2017;430;4;4
210900;2018;475;2;2
210900;2019;426;7;7
210900;2020;428;5;5
210900;2021;408;1;1
210905;2015;65;0;0
210905;2016;78;0;0
210905;2017;66;1;1
210905;2018;76;3;3
210905;2019;80;0;0
210905;2020;64;0;0
210905;2021;55;0;0
210910;2015;872;11;11
210910;2016;794;6;6
210910;2017;883;6;6
210910;2018;834;5;5
210910;2019;823;5;5
210910;2020;760;5;5
210910;2021;754;9;9
210920;2015;199;4;4
210920;2016;207;2;2
210920;2017;208;5;5
210920;2018;256;1;1
210920;2019;195;3;3
210920;2020;194;4;4
210920;2021;167;4;4
210923;2015;117;0;0
210923;2016;100;0;0
210923;2017;88;0;0
210923;2018;98;2;2
210923;2019;102;1;1
210923;2020;78;0;0
210923;2021;106;1;1
210927;2015;377;3;3
210927;2016;395;4;4
210927;2017;393;6;6
210927;2018;383;2;2
210927;2019;354;4;4
210927;2020;353;2;2
210927;2021;334;5;5
210930;2015;231;3;3
210930;2016;210;3;3
210930;2017;216;1;1
210930;2018;211;7;7
210930;2019;241;3;3
210930;2020;207;1;1
210930;2021;202;1;1
210940;2015;175;3;3
210940;2016;196;3;3
210940;2017;177;1;1
210940;2018;213;2;2
210940;2019;197;1;1
210940;2020;206;1;1
210940;2021;206;5;5
210945;2015;438;3;3
210945;2016;478;9;9
210945;2017;502;6;6
210945;2018;492;3;3
210945;2019;487;2;2
210945;2020;467;8;8
210945;2021;513;5;5
210950;2015;356;3;3
210950;2016;381;4;4
210950;2017;364;1;1
210950;2018;382;0;0
210950;2019;364;1;1
210950;2020;348;2;2
210950;2021;364;0;0
210955;2015;146;3;3
210955;2016;134;0;0
210955;2017;117;1;1
210955;2018;123;2;2
210955;2019;124;1;1
210955;2020;101;0;0
210955;2021;96;0;0
210960;2015;631;4;4
210960;2016;634;8;8
210960;2017;572;4;4
210960;2018;631;13;13
210960;2019;635;11;11
210960;2020;580;10;10
210960;2021;533;5;5
210970;2015;67;0;0
210970;2016;66;1;1
210970;2017;61;0;0
210970;2018;81;1;1
210970;2019;78;0;0
210970;2020;74;1;1
210970;2021;86;3;3
210975;2015;61;0;0
210975;2016;55;1;1
210975;2017;88;0;0
210975;2018;90;1;1
210975;2019;80;0;0
210975;2020;81;1;1
210975;2021;67;2;2
210980;2015;520;1;1
210980;2016;520;3;3
210980;2017;545;2;2
210980;2018;583;2;2
210980;2019;550;7;7
210980;2020;459;3;3
210980;2021;487;7;7
210990;2015;1587;18;18
210990;2016;1519;19;19
210990;2017;1599;11;11
210990;2018;1690;8;8
210990;2019;1590;18;18
210990;2020;1501;13;13
210990;2021;1493;22;22
211000;2015;1280;6;6
211000;2016;1156;10;10
211000;2017;1153;4;4
211000;2018;1156;5;5
211000;2019;1202;7;7
211000;2020;1084;6;6
211000;2021;1003;9;9
211003;2015;447;3;3
211003;2016;381;5;5
211003;2017;376;2;2
211003;2018;351;3;3
211003;2019;329;7;7
211003;2020;362;5;5
211003;2021;363;8;8
211010;2015;489;4;4
211010;2016;428;3;3
211010;2017;510;6;6
211010;2018;529;5;5
211010;2019;429;8;8
211010;2020;415;4;4
211010;2021;471;9;9
211020;2015;625;15;15
211020;2016;541;14;14
211020;2017;585;13;13
211020;2018;613;16;16
211020;2019;549;8;8
211020;2020;551;10;10
211020;2021;540;10;10
211023;2015;133;1;1
211023;2016;119;0;0
211023;2017;107;3;3
211023;2018;130;1;1
211023;2019;133;4;4
211023;2020;111;2;2
211023;2021;166;1;1
211027;2015;159;0;0
211027;2016;175;2;2
211027;2017;193;2;2
211027;2018;215;1;1
211027;2019;188;0;0
211027;2020;200;2;2
211027;2021;131;2;2
211030;2015;245;1;1
211030;2016;260;8;8
211030;2017;235;1;1
211030;2018;263;1;1
211030;2019;258;3;3
211030;2020;241;2;2
211030;2021;258;4;4
211040;2015;387;2;2
211040;2016;345;1;1
211040;2017;373;3;3
211040;2018;361;0;0
211040;2019;378;5;5
211040;2020;379;3;3
211040;2021;382;5;5
211050;2015;516;3;3
211050;2016;473;2;2
211050;2017;565;7;7
211050;2018;560;4;4
211050;2019;505;7;7
211050;2020;474;3;3
211050;2021;456;3;3
211060;2015;465;3;3
211060;2016;428;4;4
211060;2017;445;0;0
211060;2018;437;5;5
211060;2019;424;5;5
211060;2020;384;4;4
211060;2021;404;5;5
211065;2015;133;1;1
211065;2016;129;0;0
211065;2017;134;1;1
211065;2018;113;2;2
211065;2019;77;1;1
211065;2020;67;0;0
211065;2021;95;1;1
211070;2015;609;8;8
211070;2016;583;3;3
211070;2017;641;6;6
211070;2018;570;0;0
211070;2019;649;4;4
211070;2020;592;4;4
211070;2021;621;2;2
211080;2015;48;1;1
211080;2016;39;0;0
211080;2017;44;1;1
211080;2018;69;0;0
211080;2019;52;0;0
211080;2020;66;0;0
211080;2021;64;1;1
211085;2015;139;0;0
211085;2016;152;0;0
211085;2017;137;2;2
211085;2018;114;5;5
211085;2019;99;0;0
211085;2020;105;0;0
211085;2021;108;0;0
211090;2015;152;3;3
211090;2016;147;9;9
211090;2017;165;3;3
211090;2018;150;0;0
211090;2019;160;1;1
211090;2020;133;3;3
211090;2021;131;1;1
211100;2015;269;36;36
211100;2016;267;2;2
211100;2017;241;3;3
211100;2018;271;6;6
211100;2019;267;4;4
211100;2020;229;6;6
211100;2021;255;2;2
211102;2015;222;12;12
211102;2016;228;4;4
211102;2017;245;30;30
211102;2018;263;14;14
211102;2019;247;4;4
211102;2020;247;0;0
211102;2021;245;2;2
211105;2015;160;1;1
211105;2016;161;3;3
211105;2017;149;0;0
211105;2018;145;1;1
211105;2019;161;3;3
211105;2020;147;1;1
211105;2021;154;1;1
211107;2015;282;1;1
211107;2016;294;1;1
211107;2017;252;1;1
211107;2018;308;1;1
211107;2019;273;1;1
211107;2020;223;1;1
211107;2021;267;1;1
211110;2015;418;12;12
211110;2016;390;4;4
211110;2017;413;6;6
211110;2018;396;4;4
211110;2019;371;1;1
211110;2020;372;6;6
211110;2021;377;6;6
211120;2015;3298;39;39
211120;2016;3229;45;45
211120;2017;3236;43;43
211120;2018;3791;38;38
211120;2019;3753;58;58
211120;2020;3556;60;60
211120;2021;3440;68;68
211125;2015;82;0;0
211125;2016;93;3;3
211125;2017;90;0;0
211125;2018;98;2;2
211125;2019;104;0;0
211125;2020;97;0;0
211125;2021;100;2;2
211130;2015;16998;224;224
211130;2016;15930;295;295
211130;2017;15549;230;230
211130;2018;15959;169;170
211130;2019;15685;202;202
211130;2020;14287;196;196
211130;2021;15164;228;228
211140;2015;334;5;5
211140;2016;301;4;4
211140;2017;322;1;1
211140;2018;305;2;2
211140;2019;290;4;4
211140;2020;292;6;6
211140;2021;268;6;6
211150;2015;680;7;7
211150;2016;673;7;7
211150;2017;691;8;8
211150;2018;692;6;6
211150;2019;633;3;3
211150;2020;587;6;6
211150;2021;587;9;9
211153;2015;172;3;3
211153;2016;168;2;2
211153;2017;143;1;1
211153;2018;189;2;2
211153;2019;164;3;3
211153;2020;142;1;1
211153;2021;132;1;1
211157;2015;72;0;0
211157;2016;88;0;0
211157;2017;84;0;0
211157;2018;93;0;0
211157;2019;78;0;0
211157;2020;117;0;0
211157;2021;98;2;2
211160;2015;319;0;0
211160;2016;337;0;0
211160;2017;320;1;1
211160;2018;320;1;1
211160;2019;312;4;4
211160;2020;324;3;3
211160;2021;292;4;4
211163;2015;78;1;1
211163;2016;76;0;0
211163;2017;63;0;0
211163;2018;96;1;1
211163;2019;88;0;0
211163;2020;91;2;2
211163;2021;74;0;0
211167;2015;88;1;1
211167;2016;57;0;0
211167;2017;77;1;1
211167;2018;75;0;0
211167;2019;90;2;2
211167;2020;88;3;3
211167;2021;70;0;0
211170;2015;319;16;16
211170;2016;252;0;0
211170;2017;277;2;2
211170;2018;299;0;0
211170;2019;268;2;2
211170;2020;255;1;1
211170;2021;284;1;1
211172;2015;109;1;1
211172;2016;115;0;0
211172;2017;104;1;1
211172;2018;96;2;2
211172;2019;79;1;1
211172;2020;77;0;0
211172;2021;135;1;1
211174;2015;186;0;0
211174;2016;177;0;0
211174;2017;206;2;2
211174;2018;179;6;6
211174;2019;170;2;2
211174;2020;153;1;1
211174;2021;180;4;4
211176;2015;315;3;3
211176;2016;287;4;4
211176;2017;264;1;1
211176;2018;280;4;4
211176;2019;272;7;7
211176;2020;255;1;1
211176;2021;257;0;0
211178;2015;177;0;0
211178;2016;140;0;0
211178;2017;178;3;3
211178;2018;161;7;7
211178;2019;171;3;3
211178;2020;158;0;0
211178;2021;159;0;0
211180;2015;290;2;2
211180;2016;273;3;3
211180;2017;303;1;1
211180;2018;296;4;4
211180;2019;345;2;2
211180;2020;240;1;1
211180;2021;285;3;3
211190;2015;167;5;5
211190;2016;154;1;1
211190;2017;124;1;1
211190;2018;175;1;1
211190;2019;202;0;0
211190;2020;195;0;0
211190;2021;179;0;0
211195;2015;84;0;0
211195;2016;71;0;0
211195;2017;72;3;3
211195;2018;74;2;2
211195;2019;47;1;1
211195;2020;25;0;0
211195;2021;39;1;1
211200;2015;152;2;2
211200;2016;136;2;2
211200;2017;127;0;0
211200;2018;150;1;1
211200;2019;150;2;2
211200;2020;154;3;3
211200;2021;132;3;3
211210;2015;581;4;4
211210;2016;494;7;7
211210;2017;532;4;4
211210;2018;537;3;3
211210;2019;524;7;7
211210;2020;474;2;2
211210;2021;495;2;2
211220;2015;2796;23;23
211220;2016;2805;22;22
211220;2017;2810;21;21
211220;2018;3086;25;26
211220;2019;3196;22;22
211220;2020;2888;18;19
211220;2021;2960;25;25
211223;2015;358;2;2
211223;2016;313;3;3
211223;2017;371;2;2
211223;2018;361;2;2
211223;2019;299;5;5
211223;2020;320;3;3
211223;2021;344;3;3
211227;2015;107;2;2
211227;2016;109;1;1
211227;2017;114;0;0
211227;2018;82;0;0
211227;2019;101;2;2
211227;2020;82;1;1
211227;2021;77;0;0
211230;2015;592;8;8
211230;2016;493;9;9
211230;2017;534;10;10
211230;2018;542;9;9
211230;2019;540;4;4
211230;2020;487;1;1
211230;2021;497;5;5
211240;2015;657;1;1
211240;2016;708;1;1
211240;2017;712;0;0
211240;2018;694;1;1
211240;2019;713;0;0
211240;2020;670;1;1
211240;2021;646;1;1
211245;2015;398;2;2
211245;2016;344;1;1
211245;2017;351;1;1
211245;2018;380;4;4
211245;2019;330;3;3
211245;2020;334;4;4
211245;2021;340;1;1
211250;2015;1046;11;11
211250;2016;907;13;13
211250;2017;958;11;11
211250;2018;1008;8;8
211250;2019;1068;12;12
211250;2020;1012;8;8
211250;2021;1027;12;12
211260;2015;684;1;1
211260;2016;621;2;2
211260;2017;656;2;2
211260;2018;629;1;1
211260;2019;665;2;2
211260;2020;602;1;1
211260;2021;651;3;3
211270;2015;932;23;23
211270;2016;860;16;16
211270;2017;903;13;13
211270;2018;933;17;17
211270;2019;795;7;7
211270;2020;818;11;11
211270;2021;838;11;11
211280;2015;1071;24;24
211280;2016;1018;8;8
211280;2017;1013;18;18
211280;2018;1046;9;9
211280;2019;948;7;7
211280;2020;924;9;9
211280;2021;1000;11;11
211285;2015;167;2;2
211285;2016;161;1;1
211285;2017;172;0;0
211285;2018;183;2;2
211285;2019;171;2;2
211285;2020;160;1;1
211285;2021;164;3;3
211290;2015;570;1;1
211290;2016;522;3;3
211290;2017;493;0;0
211290;2018;502;3;3
211290;2019;510;8;8
211290;2020;459;14;14
211290;2021;525;4;4
211300;2015;521;3;3
211300;2016;461;2;2
211300;2017;503;3;3
211300;2018;490;2;2
211300;2019;515;3;3
211300;2020;431;3;3
211300;2021;471;2;2
211400;2015;777;9;9
211400;2016;803;10;10
211400;2017;716;14;14
211400;2018;804;19;19
211400;2019;731;7;7
211400;2020;754;12;12
211400;2021;771;9;9
220005;2015;87;1;1
220005;2016;85;1;1
220005;2017;105;0;0
220005;2018;95;0;0
220005;2019;89;2;2
220005;2020;84;1;1
220005;2021;86;0;0
220010;2015;84;2;2
220010;2016;73;1;1
220010;2017;81;0;0
220010;2018;76;1;1
220010;2019;74;0;0
220010;2020;60;0;0
220010;2021;68;0;0
220020;2015;294;1;1
220020;2016;278;0;0
220020;2017;308;5;5
220020;2018;298;4;4
220020;2019;329;4;4
220020;2020;255;1;1
220020;2021;249;3;3
220025;2015;85;2;2
220025;2016;85;3;3
220025;2017;85;2;2
220025;2018;85;1;1
220025;2019;91;0;0
220025;2020;92;0;0
220025;2021;77;0;0
220027;2015;71;2;2
220027;2016;54;0;0
220027;2017;77;1;1
220027;2018;54;1;1
220027;2019;48;0;0
220027;2020;56;0;0
220027;2021;61;1;1
220030;2015;129;3;3
220030;2016;126;1;1
220030;2017;146;1;1
220030;2018;159;0;0
220030;2019;112;2;2
220030;2020;125;3;3
220030;2021;119;2;2
220040;2015;626;4;4
220040;2016;604;5;5
220040;2017;643;7;7
220040;2018;679;6;6
220040;2019;672;7;7
220040;2020;595;5;5
220040;2021;634;3;3
220045;2015;84;3;3
220045;2016;80;2;2
220045;2017;91;0;0
220045;2018;79;0;0
220045;2019;73;0;0
220045;2020;68;0;0
220045;2021;79;0;0
220050;2015;309;3;3
220050;2016;304;5;5
220050;2017;274;8;8
220050;2018;299;9;9
220050;2019;306;2;2
220050;2020;267;3;3
220050;2021;261;6;6
220060;2015;90;1;1
220060;2016;115;3;3
220060;2017;85;1;1
220060;2018;87;1;1
220060;2019;93;1;1
220060;2020;81;0;0
220060;2021;88;0;0
220070;2015;144;0;0
220070;2016;142;1;1
220070;2017;124;0;0
220070;2018;123;0;0
220070;2019;135;2;2
220070;2020;140;1;1
220070;2021;155;2;2
220080;2015;35;0;0
220080;2016;45;0;0
220080;2017;41;0;0
220080;2018;40;0;0
220080;2019;57;1;1
220080;2020;41;1;1
220080;2021;61;1;1
220090;2015;75;0;0
220090;2016;86;1;1
220090;2017;63;0;0
220090;2018;70;1;1
220090;2019;65;1;1
220090;2020;65;0;0
220090;2021;42;1;1
220095;2015;42;1;1
220095;2016;19;0;0
220095;2017;20;1;1
220095;2018;33;0;0
220095;2019;35;1;1
220095;2020;23;0;0
220095;2021;33;0;0
220100;2015;54;3;3
220100;2016;46;1;1
220100;2017;60;1;1
220100;2018;69;0;0
220100;2019;60;0;0
220100;2020;47;1;1
220100;2021;67;0;0
220105;2015;151;0;0
220105;2016;116;2;2
220105;2017;111;0;0
220105;2018;124;0;0
220105;2019;117;2;2
220105;2020;126;2;2
220105;2021;126;3;3
220110;2015;159;0;0
220110;2016;170;1;1
220110;2017;190;0;0
220110;2018;176;0;0
220110;2019;212;1;1
220110;2020;169;0;0
220110;2021;182;0;0
220115;2015;283;3;3
220115;2016;208;1;1
220115;2017;250;2;2
220115;2018;265;2;2
220115;2019;284;1;1
220115;2020;265;4;4
220115;2021;320;1;1
220117;2015;44;0;0
220117;2016;58;1;1
220117;2017;44;1;1
220117;2018;52;0;0
220117;2019;36;1;1
220117;2020;46;1;1
220117;2021;41;1;1
220120;2015;780;36;36
220120;2016;731;12;12
220120;2017;738;19;19
220120;2018;797;15;15
220120;2019;678;8;8
220120;2020;682;12;12
220120;2021;726;8;8
220130;2015;34;0;0
220130;2016;35;0;0
220130;2017;39;0;0
220130;2018;51;0;0
220130;2019;43;0;0
220130;2020;52;0;0
220130;2021;50;1;1
220140;2015;92;1;1
220140;2016;94;0;0
220140;2017;81;2;2
220140;2018;97;1;1
220140;2019;73;3;3
220140;2020;82;1;1
220140;2021;94;1;1
220150;2015;378;7;7
220150;2016;365;6;6
220150;2017;352;8;8
220150;2018;383;6;6
220150;2019;344;2;2
220150;2020;325;2;2
220150;2021;344;2;2
220155;2015;50;0;0
220155;2016;51;0;0
220155;2017;39;1;1
220155;2018;51;1;1
220155;2019;61;5;5
220155;2020;60;0;0
220155;2021;63;1;1
220157;2015;36;0;0
220157;2016;36;0;0
220157;2017;39;1;1
220157;2018;23;0;0
220157;2019;34;0;0
220157;2020;40;0;0
220157;2021;34;0;0
220160;2015;143;1;1
220160;2016;127;1;1
220160;2017;121;3;3
220160;2018;124;1;1
220160;2019;113;0;0
220160;2020;118;2;2
220160;2021;125;1;1
220170;2015;83;6;6
220170;2016;75;2;2
220170;2017;69;0;0
220170;2018;88;1;1
220170;2019;73;2;2
220170;2020;70;3;3
220170;2021;66;1;1
220173;2015;117;1;1
220173;2016;118;0;0
220173;2017;104;2;2
