"ano","cod_uf","local","outra_uf","dentro_macrorregiao_saude","dentro_regiao_saude","fora_macrorregiao_saude","km_partos_fora_macrorregiao","km_partos_na_macrorregiao","km_partos_na_regiao","km_partos_fora_uf","km_partos_fora_macrorregiao_alta_complexidade","km_partos_na_macrorregiao_alta_complexidade","km_partos_na_regiao_alta_complexidade","km_partos_fora_uf_alta_complexidade","km_partos_fora_macrorregiao_baixa_complexidade","km_partos_na_macrorregiao_baixa_complexidade","km_partos_na_regiao_baixa_complexidade","km_partos_fora_uf_baixa_complexidade","nao_local","km_partos_fora_municipio","km_partos_fora_municipio_alta_complexidade","km_partos_fora_municipio_baixa_complexidade","destino_total","uf"
2022,24,19312,118,7907,12254,446,180.6092,80.7871,36.9739,148.5689,180.6092,84.1609,23.5189,239.4912,331.4964,71.0527,43.1811,46.0314,20725,50.2394,60.5388,46.0767,40037,"Rio Grande do Norte"
2022,25,25947,821,8107,14804,1213,70.801,63.0561,30.6168,83.0353,69.7499,62.3266,30.6498,112.988,90.7069,68.2646,30.0945,74.283,24945,43.2581,44.8741,36.7573,50892,"Paraíba"
2022,26,49888,2975,11696,44268,8610,151.9801,78.6054,24.3422,57.9111,174.4222,83.3585,24.3422,87.5727,86.6515,66.5752,24.3422,31.2058,67549,38.7487,50.3408,31.8749,117437,"Pernambuco"
2022,27,24823,397,5016,14448,1058,62.1859,77.4886,28.0202,40.0071,62.1859,77.4886,29.1076,57.8174,56.2496,77.6507,28.0202,38.0953,20919,36.0689,34.7364,37.1441,45742,"Alagoas"
2022,28,11168,256,9370,7730,0,0,62.0958,27.3176,47.0894,0,51.5027,20.8793,95.9641,0,68.507,31.4895,30.9014,17356,41.5842,30.5966,50.86,28524,"Sergipe"
2022,29,116152,4574,10039,36434,6625,135.9732,89.7043,50.1456,84.8575,157.5368,71.0151,50.1456,64.2364,129.4371,100.8179,50.6885,92.7576,57672,61.1665,58.8071,61.6975,173824,"Bahia"
2022,31,144087,2116,24295,59421,5144,102.6577,41.3045,33.3064,79.1889,97.1807,47.3821,33.3603,68.6631,128.7399,35.5481,33.3064,79.1889,90976,36.1481,36.9213,33.9859,235063,"Minas Gerais"
2022,32,29639,513,0,18563,3014,125.0036,0,33.2539,40.1017,130.4635,0,37.5453,57.7161,52.2626,0,27.5568,31.5872,22090,37.5453,44.6139,29.8763,51729,"Espírito Santo"
2022,33,134481,517,3813,38837,2721,81.281,34.2078,20.8512,64.0067,108.6464,36.3278,20.8512,64.0067,45.7365,24.4013,15.3482,428.2558,45888,21.1811,22.8379,20.8512,180369,"Rio de Janeiro"
2022,35,379709,598,10662,87183,34368,28.684,57.2577,20.5188,218.4582,28.1097,58.8481,19.77,211.2408,28.684,40.1564,22.5902,235.7159,132811,23.151,23.151,23.5153,512520,"São Paulo"
