CODMUNRES,ANO,subregistro_SINASC,subregistro_SIM
110180,2018,0.0038,7.7386
110180,2019,0.0038,0.029
120001,2015,0.7011,3.7764
120001,2016,1.5652,2.1808
120001,2017,0.4815,0.3309
120001,2018,0.5204,1.6793
120001,2019,0.4534,0.1061
120005,2015,5.9851,6.5626
120005,2016,6.1392,2.3604
120005,2017,2.7841,12.3413
120005,2018,6.7121,2.6384
120005,2019,7.0974,4.756
120010,2015,1.8296,3.0106
120010,2016,0.6004,0.1815
120010,2017,0.2422,6.146
120010,2018,0.6355,0.1145
120010,2019,0.4539,2.0539
120013,2015,2.3172,5.2491
120013,2016,0.6226,0.1525
120013,2017,0.445,9.9674
120013,2018,0.768,0.2096
120013,2019,0.4256,6.7736
120017,2015,1.6936,3.9567
120017,2016,0.7219,2.8081
120017,2017,2.1811,3.239
120017,2018,0.0774,1.8564
120017,2019,1.5522,6.1053
120020,2015,1.9957,5.9363
120020,2016,0.8185,0.6479
120020,2017,0.9342,0.8425
120020,2018,2.2144,1.6309
120020,2019,1.983,0.9684
120025,2015,1.5771,6.189
120025,2016,1.958,1.4495
120025,2017,1.0425,4.3768
120025,2018,0.7491,2.5557
120025,2019,2.4308,2.3218
120030,2015,1.7599,1.1355
120030,2016,1.3995,3.2262
120030,2017,1.384,2.4087
120030,2018,1.9315,0.8793
120030,2019,1.9479,0.7576
120032,2015,6.9034,0.4545
120032,2016,4.2387,0.1499
120032,2017,8.3028,14.5684
120032,2018,7.0659,0.248
120032,2019,5.2239,23.1952
120033,2015,1.5422,3.2369
120033,2016,1.4422,2.7522
120033,2017,0.889,0.1974
120033,2018,2.883,5.5152
120033,2019,1.9532,4.785
120034,2015,5.8416,8.7687
120034,2016,8.4888,2.7605
120034,2017,1.6922,7.6706
120034,2018,4.9295,14.8168
120034,2019,10.0104,3.8785
120035,2015,3.0615,15.6349
120035,2016,4.6317,0.2905
120035,2017,4.6147,6.6614
120035,2018,3.9477,0.2234
120035,2019,7.8707,5.0097
120038,2015,3.8342,3.0546
120038,2016,2.5556,2.6874
120038,2017,3.3971,5.5307
120038,2018,2.6113,3.1781
120038,2019,1.38,0.1091
120039,2015,6.3297,5.2452
120039,2016,2.6109,4.546
120039,2017,2.3514,0.4581
120039,2018,5.1554,0.2049
120039,2019,3.2667,0.1305
120040,2015,0.9683,2.1535
120040,2016,1.1103,1.5037
120040,2017,0.8825,4.1513
120040,2018,0.7333,1.8505
120040,2019,0.3422,1.1825
120042,2015,5.4685,0.4455
120042,2016,2.3712,2.6315
120042,2017,1.9755,6.6581
120042,2018,1.8337,4.8816
120042,2019,2.3892,6.2017
120043,2015,23.6356,7.6531
120043,2016,45.9075,0.3023
120043,2017,4.942,0.4054
120043,2018,2.2719,9.7448
120043,2019,21.0356,11.2747
120045,2015,0.7174,1.2138
120045,2016,0.4165,0.2031
120045,2017,0.3221,10.2213
120045,2018,0.2716,0.118
120045,2019,0.3137,0.7842
120050,2015,1.6973,3.267
120050,2016,0.3439,2.7396
120050,2017,0.3551,3.5867
120050,2018,0.0856,1.5072
120050,2019,0.6185,0.5867
120060,2015,1.2671,21.9595
120060,2016,1.9202,14.4585
120060,2017,0.7406,6.7739
120060,2018,1.2352,2.8905
120060,2019,0.6254,1.5749
120070,2015,3.4429,4.6509
120070,2016,0.4964,3.4985
120070,2017,6.0169,13.9396
120070,2018,0.0738,0.1034
120070,2019,1.1273,1.9859
120080,2015,2.2647,3.4514
120080,2016,2.2208,1.4288
120080,2017,0.8422,1.5533
120080,2018,0.3523,1.4708
120080,2019,0.7212,1.3342
130002,2015,42.6407,35.2326
130002,2016,48.6241,35.7167
130002,2017,13.4844,20.4295
130002,2018,5.0014,0.6886
130002,2019,5.1116,0.5049
130006,2015,29.1735,16.3141
130006,2016,9.5572,27.6911
130006,2017,5.0902,3.0085
130006,2018,4.4274,12.0891
130006,2019,7.9533,0.6157
130008,2015,13.2571,7.9978
130008,2016,4.4657,11.994
130008,2017,3.2196,9.64
130008,2018,1.825,12.3334
130008,2019,1.0495,2.9166
130010,2015,3.7668,4.6102
130010,2016,4.5601,3.4169
130010,2017,2.2488,4.0768
130010,2018,1.9539,0.5058
130010,2019,1.8701,2.5346
130014,2015,1.9406,3.1471
130014,2016,2.122,2.2296
130014,2017,2.6931,0.3691
130014,2018,1.8594,0.3962
130014,2019,3.0107,1.8815
130020,2015,11.2539,18.6331
130020,2016,9.0975,1.2627
130020,2017,4.8843,6.7598
130020,2018,7.583,3.4861
130020,2019,8.386,2.4456
130030,2015,11.154,9.6263
130030,2016,7.5821,6.4214
130030,2017,5.9158,5.6939
130030,2018,3.4231,4.4838
130030,2019,2.1202,3.7807
130040,2015,9.747,5.1489
130040,2016,4.6151,2.3293
130040,2017,4.5293,1.6337
130040,2018,9.1343,2.8544
130040,2019,11.7909,5.5742
130050,2015,8.9739,4.8773
130050,2016,5.1665,6.7756
130050,2017,3.9661,4.6856
130050,2018,2.4536,2.6502
130050,2019,3.1351,7.3824
130060,2015,13.0159,15.2832
130060,2016,4.115,11.7521
130060,2017,2.7462,2.9105
130060,2018,3.437,7.6088
130060,2019,3.241,1.0968
130063,2015,4.9077,4.2439
130063,2016,6.8611,7.9347
130063,2017,3.4337,4.2173
130063,2018,2.7973,4.4445
130063,2019,1.9433,0.5473
130068,2015,4.4463,7.7502
130068,2016,28.441,5.7557
130068,2017,12.126,0.5469
130068,2018,10.5508,2.2434
130068,2019,2.4678,3.5621
130070,2015,6.504,17.6783
130070,2016,6.0405,23.8726
130070,2017,1.5581,1.291
130070,2018,1.6678,1.2216
130070,2019,1.4841,2.6506
130080,2015,4.414,5.8532
130080,2016,1.9883,4.651
130080,2017,2.9872,1.5307
130080,2018,1.2649,0.519
130080,2019,2.3944,0.4991
130083,2015,5.7979,1.5767
130083,2016,4.0421,1.0365
130083,2017,2.5862,11.2043
130083,2018,1.7519,3.5209
130083,2019,3.641,6.9166
130090,2015,1.7977,6.6331
130090,2016,2.7463,1.0898
130090,2017,2.238,0.7219
130090,2018,4.1577,0.5318
130090,2019,5.018,6.4951
130100,2015,5.4195,3.7448
130100,2016,7.1009,7.7186
130100,2017,4.0705,4.125
130100,2018,3.0611,3.8148
130100,2019,1.7011,2.0761
130110,2015,3.0983,4.0846
130110,2016,3.0391,3.9499
130110,2017,1.4486,3.4683
130110,2018,1.7749,3.0589
130110,2019,3.6407,2.1463
130115,2015,7.669,9.5532
130115,2016,4.9797,4.2929
130115,2017,3.8498,6.816
130115,2018,2.2425,2.2061
130115,2019,2.2488,1.9896
130120,2015,3.6535,3.4942
130120,2016,2.5826,3.597
130120,2017,1.3461,1.2738
130120,2018,1.4755,1.2757
130120,2019,1.051,1.2668
130130,2015,8.0363,16.9093
130130,2016,8.0784,9.6954
130130,2017,1.8695,7.3454
130130,2018,4.6399,2.6671
130130,2019,2.684,2.642
130140,2015,10.8283,12.4124
130140,2016,5.139,5.4625
130140,2017,4.0459,2.0876
130140,2018,2.3903,7.372
130140,2019,1.8529,4.7255
130150,2015,4.972,7.7265
130150,2016,3.683,6.8733
130150,2017,1.5528,5.5016
130150,2018,3.4047,1.7826
130150,2019,1.5348,8.9398
130160,2015,8.2212,16.4161
130160,2016,2.6132,6.3197
130160,2017,4.8706,10.1224
130160,2018,1.7508,5.1005
130160,2019,1.2107,2.5255
130165,2015,2.5503,3.547
130165,2016,1.3646,4.147
130165,2017,0.934,2.857
130165,2018,3.0543,3.8922
130165,2019,1.9217,0.4653
130170,2015,23.6783,4.7364
130170,2016,3.105,5.6214
130170,2017,3.3709,0.3506
130170,2018,1.9706,1.4327
130170,2019,3.7582,6.8394
130180,2015,6.2709,7.2214
130180,2016,3.4926,2.5668
130180,2017,5.1132,3.7112
130180,2018,4.1144,8.0296
130180,2019,5.7558,3.5882
130185,2015,2.9272,3.3963
130185,2016,1.8032,2.8317
130185,2017,0.8425,1.6967
130185,2018,1.3791,0.3258
130185,2019,1.2665,6.4042
130190,2015,4.1173,6.8713
130190,2016,3.209,3.5583
130190,2017,3.3091,2.9053
130190,2018,1.3242,5.1665
