ano,cod_uf,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total,uf
2021,42,56386,1027,2369,34685,2032,63.0873,45.3871,21.2528,41.304,65.4927,52.0876,21.5336,44.5417,58.6831,33.012,21.1575,33.5961,40113,25.2267,26.1473,23.4138,96499,Santa Catarina
2021,43,83661,216,10072,28338,2159,87.6993,36.9379,25.5552,98.0452,112.8626,36.2582,25.5552,98.0452,43.4444,48.8176,29.9431,61.0949,40785,30.422,30.422,32.4501,124446,Rio Grande do Sul
2021,50,35362,471,0,5915,425,277.7478,0,73.8508,127.8785,332.6854,0,80.8617,132.8518,208.4444,0,73.8508,84.9581,6811,79.0352,94.7829,73.8508,42173,Mato Grosso do Sul
2021,51,42346,426,1959,11958,1152,258.1802,165.1659,65.1743,442.4358,258.1802,202.9043,61.3866,628.1541,215.8316,156.9436,67.925,346.7254,15495,85.2099,84.4461,85.2099,57841,Mato Grosso
2021,52,53536,13643,2513,10734,10535,21.2427,108.9162,36.8664,47.5387,67.2545,159.8029,48.4442,47.5387,18.5967,102.2075,35.3093,106.9115,37425,45.5177,47.5387,35.6343,90961,Goiás
2021,53,37488,547,0,0,0,0,0,0,77.9702,0,0,0,203.8421,0,0,0,59.4445,547,77.9702,203.8421,59.4445,38035,Distrito Federal
2022,11,18363,328,1324,4464,422,480.0495,179.7404,58.2922,510.8572,483.308,223.1,87.1502,510.8572,313.5066,142.0344,48.6625,510.8572,6538,66.3497,114.4831,59.5028,24901,Rondônia
2022,12,10605,29,456,3393,0,0,230.9522,60.4966,2062.3543,0,230.9522,60.4966,3219.6442,0,226.9878,71.7264,990.3902,3878,72.9459,82.2347,72.9459,14483,Acre
2022,13,67795,606,437,3062,619,267.9083,130.5185,50.4066,205.3184,366.7471,157.3514,80.6207,223.1406,89.8638,101.5978,38.3099,21.8444,4724,89.8638,119.1932,70.4762,72519,Amazonas
2022,14,9913,44,592,2542,0,0,296.6059,124.1228,864.1031,0,0,169.1685,864.1031,0,296.6059,124.1228,864.1031,3178,138.9928,864.1031,127.2469,13091,Roraima
2022,15,94869,2185,3096,20991,6859,128.9269,145.1726,36.1085,243.5271,125.4156,159.75,23.9948,243.5271,131.1177,124.9035,51.7905,207.6456,33131,65.8064,65.9178,61.4385,128000,Pará
2022,16,10835,22,1502,1256,0,0,21.3422,115.9282,457.7207,0,21.3422,115.9282,721.8363,0,21.3422,27.0658,266.7105,2780,34.7156,101.9617,27.0658,13615,Amapá
2022,17,11735,798,3527,6084,405,220.6696,140.2139,72.8192,70.802,220.6696,140.2139,63.6165,100.2746,216.3477,142.6447,78.1428,56.2643,10814,94.0026,95.855,89.8094,22549,Tocantins
2022,21,66621,2766,6271,20682,1624,101.0432,114.2579,39.7408,58.1723,304.7252,157.4044,54.2048,57.5574,75.7975,100.5815,34.8489,72.3221,31343,55.065,69.9723,46.9863,97964,Maranhão
2022,22,22974,314,2453,14182,2324,208.5504,152.6524,63.7764,95.13,216.2819,165.1556,68.9649,96.597,199.6271,92.0907,54.273,95.13,19273,78.8553,94.3201,63.7764,42247,Piauí
2022,23,71124,435,13866,23846,3037,171.2857,52.7402,38.2732,78.4262,183.5003,60.4565,41.9954,89.2446,133.9239,35.0362,34.8796,55.7117,41184,45.3292,49.9684,37.0771,112308,Ceará
2022,24,19312,118,7907,12254,446,180.6092,80.7871,36.9739,148.5689,180.6092,84.1609,23.5189,239.4912,331.4964,71.0527,43.1811,46.0314,20725,50.2394,60.5388,46.0767,40037,Rio Grande do Norte
2022,25,25947,821,8107,14804,1213,70.801,63.0561,30.6168,83.0353,69.7499,62.3266,30.6498,112.988,90.7069,68.2646,30.0945,74.283,24945,43.2581,44.8741,36.7573,50892,Paraíba
2022,26,49888,2975,11696,44268,8610,151.9801,78.6054,24.3422,57.9111,174.4222,83.3585,24.3422,87.5727,86.6515,66.5752,24.3422,31.2058,67549,38.7487,50.3408,31.8749,117437,Pernambuco
