"codmunres";"ano";"anomalia";"grupo_de_anomalias_congenitas";"descricao";"nascidos_vivos_anomalia"
110004;2021;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110004;2021;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110004;2021;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2021;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2021;"Q248";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110004;2021;"Q541";"Defeitos de órgãos genitais";"Hipospadia";1
110004;2021;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2022;"Q369";"Fendas orais";"Fenda labial";1
110004;2022;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110004;2022;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2022;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110004;2022;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2022;"Q541";"Defeitos de órgãos genitais";"Hipospadia";1
110004;2022;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110004;2022;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2023;"Q909";"Síndrome de Down";"Síndrome de Down";1
110004;2023;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110004;2023;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110004;2023;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2023;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110004;2023;"Q220";"Cardiopatias congênitas";"Malformações congênitas das valvas pulmonar e tricúspide";1
110004;2023;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2023;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110004;2023;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110004;2023;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110004;2023;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
