"","codmunres","ano","obitos_fetais_mais_22sem","fetal_peso_menos_1500","fetal_peso_1500_1999","fetal_peso_2000_2499","fetal_peso_mais_2500","fetal_antes","fetal_durante","fetal_depois","fetal_antes_peso_menos_1500","fetal_antes_peso_1500_1999","fetal_antes_peso_2000_2499","fetal_antes_peso_mais_2500","fetal_durante_peso_menos_1500","fetal_durante_peso_1500_1999","fetal_durante_peso_2000_2499","fetal_durante_peso_mais_2500","fetal_depois_peso_menos_1500","fetal_depois_peso_1500_1999","fetal_depois_peso_2000_2499","fetal_depois_peso_mais_2500"
"73",110009,2012,6,4,0,0,2,6,0,0,4,0,0,2,0,0,0,0,0,0,0,0
"74",110009,2013,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"75",110009,2014,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"76",110009,2015,5,2,1,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"77",110009,2016,4,2,2,0,0,3,1,0,2,1,0,0,0,1,0,0,0,0,0,0
"78",110009,2017,5,3,0,1,1,5,0,0,3,0,1,1,0,0,0,0,0,0,0,0
"79",110009,2018,6,4,1,1,0,6,0,0,4,1,1,0,0,0,0,0,0,0,0,0
"80",110009,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",110009,2020,4,1,1,0,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"82",110010,2012,12,5,3,2,2,11,0,0,5,3,2,1,0,0,0,0,0,0,0,0
"83",110010,2013,12,2,2,2,6,12,0,0,2,2,2,6,0,0,0,0,0,0,0,0
"84",110010,2014,10,3,1,0,4,9,0,0,3,1,0,4,0,0,0,0,0,0,0,0
"85",110010,2015,4,2,1,0,1,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"86",110010,2016,5,3,0,0,2,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0
"87",110010,2017,7,1,0,2,4,6,1,0,1,0,2,3,0,0,0,1,0,0,0,0
"88",110010,2018,8,3,1,2,2,8,0,0,3,1,2,2,0,0,0,0,0,0,0,0
"89",110010,2019,6,2,2,1,1,6,0,0,2,2,1,1,0,0,0,0,0,0,0,0
"90",110010,2020,10,2,1,1,6,10,0,0,2,1,1,6,0,0,0,0,0,0,0,0
"91",110011,2012,5,3,1,0,1,5,0,0,3,1,0,1,0,0,0,0,0,0,0,0
"92",110011,2013,9,5,1,1,1,9,0,0,5,1,1,1,0,0,0,0,0,0,0,0
"93",110011,2014,13,7,1,2,2,12,1,0,6,1,2,2,1,0,0,0,0,0,0,0
"94",110011,2015,8,0,1,2,5,7,1,0,0,1,2,4,0,0,0,1,0,0,0,0
"95",110011,2016,9,2,1,2,3,9,0,0,2,1,2,3,0,0,0,0,0,0,0,0
"96",110011,2017,6,3,1,2,0,6,0,0,3,1,2,0,0,0,0,0,0,0,0,0
"97",110011,2018,11,4,2,2,3,11,0,0,4,2,2,3,0,0,0,0,0,0,0,0
"98",110011,2019,5,2,0,0,2,5,0,0,2,0,0,2,0,0,0,0,0,0,0,0
"99",110011,2020,12,6,0,2,4,12,0,0,6,0,2,4,0,0,0,0,0,0,0,0
"100",110012,2012,16,10,0,3,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"101",110012,2013,10,8,1,0,1,8,0,0,6,1,0,1,0,0,0,0,0,0,0,0
"102",110012,2014,16,6,1,4,3,16,0,0,6,1,4,3,0,0,0,0,0,0,0,0
"103",110012,2015,14,4,2,2,5,12,1,0,4,1,1,5,0,1,0,0,0,0,0,0
"104",110012,2016,18,8,2,0,6,17,0,0,7,2,0,6,0,0,0,0,0,0,0,0
"105",110012,2017,13,2,2,4,4,13,0,0,2,2,4,4,0,0,0,0,0,0,0,0
"106",110012,2018,18,12,1,2,2,16,1,0,10,1,2,2,1,0,0,0,0,0,0,0
"107",110012,2019,17,6,3,2,4,17,0,0,6,3,2,4,0,0,0,0,0,0,0,0
"108",110012,2020,14,1,6,1,3,14,0,0,1,6,1,3,0,0,0,0,0,0,0,0
"109",110013,2012,4,0,1,0,2,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"110",110013,2013,6,1,0,0,3,4,2,0,0,0,0,2,1,0,0,1,0,0,0,0
