CODMUNRES,ANO,Obito_MIF_investigado_com_Ficha_Sintese,Obito_MIF_investigado_sem_Ficha_Sintese,TOTAL_OBITOS_MULHER_IDADE_FERTIL
110037,2019,2,0,2
110037,2020,7,0,7
110040,2012,4,0,4
110040,2013,4,0,4
110040,2014,3,0,3
110040,2015,10,0,11
110040,2016,3,0,3
110040,2017,4,0,4
110040,2018,8,0,9
110040,2019,2,0,2
110040,2020,4,0,4
110045,2012,9,0,10
110045,2013,3,1,6
110045,2014,16,0,16
110045,2015,15,0,15
110045,2016,10,0,10
110045,2017,7,0,7
110045,2018,7,0,7
110045,2019,7,0,7
110045,2020,11,0,11
110050,2012,2,0,2
110050,2013,2,0,3
110050,2015,2,0,3
110050,2016,2,0,4
110050,2017,3,0,3
110050,2018,1,0,1
110050,2019,2,0,2
110060,2012,2,0,2
110060,2013,2,0,2
110060,2015,3,0,3
110060,2017,0,1,1
110060,2018,1,0,1
110060,2019,2,0,2
110070,2012,2,0,3
110070,2013,0,0,1
110070,2014,1,0,3
110070,2015,1,0,1
110070,2016,2,0,4
110070,2017,2,0,2
110070,2018,4,0,4
110070,2019,2,0,2
110070,2020,2,0,2
110080,2012,3,0,10
110080,2013,6,0,11
110080,2014,6,0,7
110080,2015,6,0,8
110080,2016,5,1,9
110080,2017,4,0,9
110080,2018,3,0,7
110080,2019,9,0,9
110080,2020,6,0,11
110090,2015,1,0,1
110090,2017,1,0,1
110090,2019,1,0,1
110092,2012,2,0,2
110092,2013,2,0,4
110092,2014,1,0,2
110092,2015,2,1,4
110092,2016,1,0,2
110092,2017,1,2,3
110092,2018,0,0,4
110092,2019,0,1,3
110092,2020,4,0,4
110094,2012,1,0,1
110094,2013,1,0,2
110094,2014,0,0,1
110094,2015,5,0,7
110094,2016,2,0,2
110094,2017,1,0,3
110094,2018,3,0,3
110094,2019,1,0,1
110094,2020,3,0,3
110100,2012,0,1,4
110100,2013,1,0,1
110100,2014,7,0,7
110100,2017,1,0,1
110100,2018,0,0,2
110100,2019,2,0,6
110100,2020,0,0,5
110110,2013,12,0,12
110110,2014,1,0,1
110110,2015,0,0,2
110110,2016,0,0,1
110110,2017,0,0,4
110110,2018,0,0,3
110110,2019,0,0,3
110110,2020,0,0,3
110120,2012,3,0,3
110120,2013,4,0,5
110120,2014,3,0,3
110120,2015,4,0,4
110120,2016,1,0,2
110120,2017,3,0,3
110120,2018,2,0,2
110120,2019,4,0,5
110120,2020,1,0,2
110130,2012,2,0,4
110130,2013,3,0,4
110130,2014,0,0,2
110130,2015,0,1,1
110130,2016,1,0,1
110130,2017,7,0,7
110130,2018,1,0,1
110130,2020,2,0,3
110140,2012,2,0,2
110140,2013,3,0,3
110140,2014,4,0,4
110140,2015,5,0,5
110140,2016,1,0,1
