"codmunres","ano","faixa_de_peso","evitaveis_neonatal_outros","evitaveis_neonatal_recem_nascido","evitaveis_neonatal_mulher_gestacao","evitaveis_neonatal_parto","evitaveis_neonatal_mal_definidas","evitaveis_neonatal_saude","evitaveis_neonatal_tratamento","evitaveis_neonatal_imunoprevencao","obitos_neonatais_totais"
"110012",2015,"outros",1,2,2,0,0,0,0,0,5
"110012",2016,"outros",1,0,4,1,0,0,0,0,6
"110012",2016,"> 1500 g",4,0,0,0,0,0,0,0,4
"110012",2016,"> 1000 g",0,1,0,0,0,0,0,0,1
"110012",2017,"> 1500 g",4,2,1,0,0,0,0,0,7
"110012",2017,"outros",0,1,5,1,0,0,1,0,8
"110012",2017,"> 1000 g",0,1,0,0,0,0,0,0,1
"110012",2018,"> 1000 g",0,2,3,0,0,0,0,0,5
"110012",2018,"> 1500 g",4,3,1,1,0,0,0,0,9
"110012",2018,"outros",2,4,3,1,0,1,0,0,11
"110012",2019,"> 1000 g",1,2,2,1,0,0,0,0,6
"110012",2019,"> 1500 g",1,4,2,3,0,0,0,0,10
"110012",2019,"outros",0,0,2,0,0,0,0,0,2
"110012",2020,"> 1000 g",0,1,1,0,0,0,0,0,2
"110012",2020,"> 1500 g",3,1,2,2,0,0,0,0,8
"110012",2020,"outros",0,4,4,1,0,0,0,0,9
"110012",2021,"> 1500 g",1,0,1,0,0,0,0,0,2
"110012",2021,"outros",0,1,3,0,0,0,0,0,4
"110012",2022,"> 1500 g",1,1,1,1,0,1,0,0,5
"110012",2022,"outros",1,0,5,0,0,0,0,0,6
"110012",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"110013",2012,"outros",1,1,0,0,0,0,0,0,2
"110013",2012,"> 1000 g",0,0,0,1,0,0,0,0,1
"110013",2012,"> 1500 g",0,1,0,0,0,0,0,0,1
"110013",2013,"> 1000 g",1,0,1,0,0,0,0,0,2
"110013",2013,"outros",0,1,1,0,0,0,0,0,2
"110013",2013,"> 1500 g",0,0,0,1,0,0,0,0,1
"110013",2014,"> 1000 g",0,0,2,0,0,0,0,0,2
"110013",2014,"> 1500 g",0,0,0,0,0,1,0,0,1
"110013",2015,"> 1500 g",0,2,2,2,0,1,0,0,7
"110013",2015,"outros",0,0,0,1,0,0,0,0,1
"110013",2016,"outros",2,0,1,0,0,0,0,0,3
"110013",2016,"> 1500 g",2,0,0,1,0,0,0,0,3
"110013",2017,"outros",0,0,1,0,0,0,0,0,1
"110013",2018,"> 1500 g",0,0,0,1,0,0,0,0,1
"110013",2018,"outros",0,1,0,0,0,0,0,0,1
"110013",2019,"> 1500 g",0,2,1,1,0,0,0,0,4
"110013",2019,"outros",1,1,1,0,0,0,0,0,3
"110013",2019,"> 1000 g",1,1,0,0,0,0,0,0,2
"110013",2020,"outros",0,0,1,1,0,0,0,0,2
"110013",2021,"> 1500 g",1,1,1,0,0,0,0,0,3
"110013",2021,"outros",0,0,1,0,0,0,0,0,1
"110013",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"110013",2022,"> 1500 g",2,1,1,1,0,0,0,0,5
"110013",2022,"outros",0,2,2,0,0,0,0,0,4
"110014",2012,"> 1500 g",0,0,0,0,1,0,0,0,1
"110014",2013,"> 1000 g",0,0,1,0,0,0,0,0,1
"110014",2013,"outros",0,0,1,0,0,0,0,0,1
"110014",2013,"> 1500 g",0,0,0,1,0,0,0,0,1
"110014",2014,"> 1500 g",1,0,0,0,0,0,0,0,1
"110014",2014,"outros",1,0,0,0,0,0,0,0,1
"110014",2015,"outros",0,0,1,0,0,0,0,0,1
"110014",2015,"> 1000 g",1,0,0,0,0,0,0,0,1
"110014",2016,"outros",0,0,0,0,1,0,0,0,1
"110014",2018,"> 1500 g",1,0,0,0,0,0,0,0,1
"110014",2019,"outros",0,0,2,1,0,0,0,0,3
"110014",2019,"> 1500 g",0,2,0,0,0,0,0,0,2
"110014",2020,"outros",0,1,0,0,0,0,0,0,1
"110014",2021,"outros",0,0,1,0,0,0,0,0,1
"110014",2022,"outros",0,1,1,0,0,0,0,0,2
"110014",2017,"não se aplica",0,0,0,0,0,0,0,0,0
"110015",2012,"> 1500 g",3,0,1,0,0,0,0,0,4
"110015",2012,"outros",0,1,0,0,0,0,0,0,1
"110015",2013,"> 1500 g",2,0,0,1,0,0,0,0,3
"110015",2013,"outros",1,0,0,0,0,0,0,0,1
"110015",2014,"> 1000 g",0,0,1,0,0,0,0,0,1
"110015",2014,"> 1500 g",1,0,1,0,0,0,0,0,2
"110015",2015,"> 1000 g",0,1,1,0,0,0,0,0,2
"110015",2015,"outros",0,1,0,0,0,0,0,0,1
"110015",2016,"> 1000 g",1,0,0,0,0,0,0,0,1
"110015",2016,"> 1500 g",2,1,0,0,0,1,0,0,4
"110015",2016,"outros",1,0,0,0,0,0,0,0,1
"110015",2017,"> 1500 g",1,1,0,0,0,0,0,0,2
"110015",2018,"> 1500 g",2,1,1,0,0,0,0,0,4
"110015",2018,"> 1000 g",1,0,0,0,0,0,0,0,1
"110015",2018,"outros",0,1,0,0,0,0,0,0,1
"110015",2019,"> 1000 g",1,0,0,0,0,0,0,0,1
"110015",2019,"> 1500 g",0,1,0,0,0,0,0,0,1
"110015",2019,"outros",0,2,0,0,0,0,0,0,2
"110015",2021,"> 1500 g",3,1,0,0,0,0,0,0,4
"110015",2021,"outros",0,1,0,0,0,0,0,0,1
"110015",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"110015",2020,"não se aplica",0,0,0,0,0,0,0,0,0
"110018",2012,"> 1500 g",0,1,2,0,0,0,0,0,3
"110018",2012,"outros",1,0,1,1,0,0,0,0,3
"110018",2013,"> 1500 g",4,1,0,2,0,0,0,0,7
"110018",2013,"outros",0,0,0,1,0,0,0,0,1
"110018",2014,"> 1500 g",3,3,1,1,0,0,0,0,8
"110018",2014,"outros",0,0,1,0,0,0,0,0,1
"110018",2015,"> 1500 g",3,1,1,0,0,0,0,0,5
"110018",2015,"outros",0,2,1,1,0,0,0,0,4
"110018",2016,"> 1000 g",0,0,1,0,0,0,0,0,1
"110018",2016,"> 1500 g",2,1,1,0,0,0,0,0,4
"110018",2016,"outros",1,0,0,0,0,0,0,0,1
"110018",2017,"> 1500 g",0,0,1,0,0,0,0,0,1
"110018",2017,"outros",0,1,2,1,0,0,0,0,4
"110018",2017,"> 1000 g",0,1,0,0,0,0,0,0,1
"110018",2018,"> 1500 g",3,1,1,0,0,0,0,0,5
"110018",2018,"> 1000 g",0,0,0,1,0,0,0,0,1
"110018",2019,"outros",0,1,1,0,0,0,0,0,2
"110018",2019,"> 1500 g",1,0,0,1,0,0,0,0,2
"110018",2020,"> 1500 g",2,1,1,0,0,0,0,0,4
"110018",2020,"outros",0,0,0,1,0,0,0,0,1
"110018",2021,"outros",1,2,1,1,0,0,0,0,5
"110018",2021,"> 1000 g",1,0,0,0,0,0,0,0,1
"110018",2021,"> 1500 g",2,1,0,0,0,0,0,0,3
"110018",2022,"> 1500 g",1,1,1,0,1,0,0,0,4
"110018",2022,"outros",0,2,2,0,0,0,0,0,4
"110020",2012,"> 1000 g",4,3,6,2,0,0,0,0,15
"110020",2012,"> 1500 g",10,7,2,6,0,0,0,0,25
"110020",2012,"outros",3,11,11,10,0,0,0,0,35
"110020",2013,"> 1000 g",2,3,4,1,0,1,0,0,11
"110020",2013,"> 1500 g",15,14,3,6,0,1,1,0,40
"110020",2013,"outros",3,9,13,1,0,0,0,0,26
"110020",2014,"> 1000 g",3,8,5,0,0,2,0,0,18
"110020",2014,"> 1500 g",9,4,1,6,0,2,2,0,24
"110020",2014,"outros",1,9,14,7,0,0,0,0,31
"110020",2015,"outros",1,7,12,3,1,0,0,0,24
"110020",2015,"> 1000 g",2,10,6,1,0,0,0,0,19
"110020",2015,"> 1500 g",16,20,3,10,0,0,0,0,49
"110020",2016,"> 1000 g",2,7,6,1,0,0,0,0,16
"110020",2016,"> 1500 g",21,9,7,4,0,0,0,0,41
"110020",2016,"outros",1,10,17,6,0,0,0,0,34
"110020",2017,"> 1000 g",3,6,2,0,0,0,0,0,11
"110020",2017,"> 1500 g",21,9,5,6,0,1,0,0,42
"110020",2017,"outros",1,7,9,2,0,0,0,0,19
"110020",2018,"outros",2,5,9,2,1,0,0,0,19
"110020",2018,"> 1000 g",5,2,4,2,0,0,0,0,13
"110020",2018,"> 1500 g",13,10,3,5,0,1,0,0,32
"110020",2019,"> 1000 g",1,0,6,1,0,0,0,0,8
"110020",2019,"> 1500 g",11,7,7,1,0,0,1,0,27
"110020",2019,"outros",2,4,26,1,0,0,0,0,33
"110020",2020,"> 1000 g",5,2,9,3,0,0,0,0,19
"110020",2020,"> 1500 g",15,2,18,4,0,1,1,0,41
"110020",2020,"outros",2,2,21,3,0,0,0,0,28
"110020",2021,"> 1500 g",16,5,8,3,1,0,2,0,35
"110020",2021,"> 1000 g",1,1,6,1,0,0,0,0,9
"110020",2021,"outros",3,4,26,2,0,0,0,0,35
"110020",2022,"> 1000 g",1,1,7,1,0,0,0,0,10
"110020",2022,"> 1500 g",9,5,6,0,0,1,1,0,22
"110020",2022,"outros",1,4,23,3,0,0,0,0,31
"110025",2012,"> 1500 g",0,1,0,0,0,0,0,0,1
"110025",2013,"> 1500 g",2,1,1,0,0,0,0,0,4
"110025",2013,"> 1000 g",0,0,0,1,0,0,0,0,1
"110025",2014,"outros",0,0,1,0,0,0,0,0,1
"110025",2015,"> 1500 g",0,1,0,0,1,0,0,0,2
"110025",2015,"> 1000 g",0,1,0,0,0,0,0,0,1
"110025",2016,"> 1500 g",0,4,1,0,0,0,0,0,5
"110025",2017,"> 1500 g",4,1,0,0,0,2,0,0,7
"110025",2017,"outros",0,1,0,1,0,0,0,0,2
"110025",2018,"outros",0,0,1,0,0,0,0,0,1
"110025",2019,"outros",0,0,1,0,0,0,0,0,1
