"codmunres","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
110110,2019,1,0,0,0,1
110120,2012,1,0,1,0,0
110120,2014,1,0,0,0,1
110120,2015,1,0,0,0,1
110120,2016,1,0,0,0,1
110120,2018,2,0,1,0,1
110120,2019,2,0,0,0,1
110120,2020,2,0,1,1,0
110130,2012,5,2,1,1,1
110130,2013,3,2,0,1,0
110130,2014,2,0,1,0,1
110130,2017,3,0,0,2,1
110130,2019,1,0,1,0,0
110140,2012,3,2,0,0,1
110140,2013,2,0,0,0,2
110140,2017,2,0,1,0,1
110140,2018,2,0,1,0,1
110140,2019,2,1,0,0,1
110140,2020,1,1,0,0,0
110143,2013,1,1,0,0,0
110143,2016,1,1,0,0,0
110143,2020,1,1,0,0,0
110145,2014,1,0,0,0,1
110145,2016,1,0,0,0,1
110145,2019,1,0,0,0,0
110146,2013,2,2,0,0,0
110146,2015,1,0,0,0,1
110146,2017,1,0,0,0,1
110147,2020,2,0,0,2,0
110148,2018,1,0,0,1,0
110148,2019,2,1,1,0,0
110149,2012,4,0,1,1,2
110149,2013,4,0,1,1,2
110149,2014,2,1,0,0,0
110149,2016,1,0,1,0,0
110149,2017,2,0,1,0,1
110149,2018,3,2,0,0,0
110149,2019,3,3,0,0,0
110149,2020,2,0,1,0,1
110150,2012,1,0,0,1,0
110150,2013,1,1,0,0,0
110150,2014,1,0,0,0,1
110150,2015,1,0,0,1,0
110150,2019,1,0,1,0,0
110155,2012,1,0,0,0,1
110160,2013,1,0,0,1,0
110160,2014,2,0,1,0,0
110160,2015,2,0,0,1,1
110160,2016,2,1,1,0,0
110160,2017,1,1,0,0,0
110160,2018,2,0,0,0,2
110160,2019,3,1,0,0,2
110160,2020,3,0,2,1,0
110170,2012,1,0,0,0,1
110170,2015,3,0,2,0,1
110170,2017,1,1,0,0,0
110170,2019,3,0,0,2,1
110175,2013,1,0,0,0,1
110175,2014,1,0,1,0,0
110175,2017,1,0,0,0,1
110175,2018,1,0,0,1,0
110175,2019,2,0,0,1,1
110180,2012,1,0,1,0,0
110180,2013,2,1,0,0,1
110180,2016,1,0,0,0,1
110180,2017,1,1,0,0,0
110180,2019,1,0,0,0,1
110180,2020,1,0,0,1,0
120001,2012,5,0,0,2,1
120001,2013,1,0,0,0,0
120001,2014,4,0,1,0,3
120001,2018,2,1,0,0,1
120001,2019,3,0,0,1,2
120005,2013,3,2,1,0,0
120005,2014,2,1,0,1,0
120005,2015,2,0,0,0,1
120005,2016,4,1,1,0,2
120005,2017,1,0,0,0,1
120005,2018,3,0,0,0,3
120005,2019,4,0,0,0,4
120005,2020,3,0,0,1,2
120010,2012,5,2,0,1,2
120010,2013,6,2,1,0,3
120010,2014,7,0,2,0,0
120010,2015,6,1,0,1,3
120010,2016,5,1,3,0,0
120010,2017,3,1,0,1,1
120010,2018,4,0,1,2,1
120010,2019,7,0,1,4,2
120010,2020,3,0,2,0,1
120013,2014,3,1,1,0,1
120013,2015,4,2,0,2,0
120013,2016,3,0,1,0,2
120013,2018,1,0,0,0,1
120013,2019,2,1,0,0,1
120013,2020,1,0,0,1,0
120017,2013,3,1,1,0,1
120017,2015,2,0,0,1,1
120017,2016,4,1,2,0,1
120017,2017,5,0,4,0,1
120017,2018,4,1,1,0,1
120017,2019,2,0,0,1,1
120017,2020,2,0,0,0,2
120020,2012,20,1,4,7,8
120020,2013,17,4,2,2,7
120020,2014,13,4,3,1,5
120020,2015,11,3,1,2,5
120020,2016,11,1,2,2,5
120020,2017,11,3,4,1,2
120020,2018,15,1,4,6,3
120020,2019,9,4,0,4,1
120020,2020,17,4,2,5,6
120025,2014,2,1,0,0,1
120025,2015,3,0,1,1,1
120025,2016,2,0,0,1,0
120025,2017,2,1,0,0,1
120025,2018,4,0,1,1,2
120025,2019,1,1,0,0,0
120025,2020,7,3,0,1,3
120030,2012,8,1,1,1,5
120030,2013,5,1,1,1,1
120030,2014,9,3,0,2,4
120030,2015,14,3,1,4,5
120030,2016,10,2,1,1,5
120030,2017,10,2,3,1,4
120030,2018,14,5,0,5,4
120030,2019,11,4,1,1,5
120030,2020,12,1,2,3,5
120032,2012,1,0,0,0,1
120032,2013,2,1,1,0,0
120032,2014,6,0,1,2,3
120032,2015,2,0,1,0,0
120032,2016,2,0,0,0,2
120032,2017,5,0,1,0,4
120032,2018,6,0,1,1,3
120032,2019,3,1,0,0,2
120032,2020,1,0,0,0,1
120033,2012,3,0,1,1,1
120033,2013,1,0,0,1,0
120033,2014,2,1,1,0,0
120033,2015,6,0,3,1,2
120033,2016,1,0,1,0,0
120033,2017,4,0,0,1,3
120033,2018,2,0,0,0,2
120033,2019,6,1,2,1,2
120033,2020,4,2,0,2,0
120034,2013,3,0,0,0,3
120034,2014,2,0,1,0,0
120034,2015,1,0,0,1,0
120034,2016,2,0,1,0,1
120034,2017,6,1,0,1,4
120034,2018,1,1,0,0,0
120034,2019,2,0,1,0,1
120034,2020,2,0,0,0,2
120035,2012,4,2,2,0,0
120035,2013,3,1,0,0,2
120035,2014,7,1,1,2,3
120035,2015,3,0,1,1,1
120035,2016,2,0,0,1,1
120035,2017,6,2,0,1,3
120035,2018,4,0,1,1,2
120035,2019,2,0,1,0,1
120035,2020,3,0,0,0,3
120038,2012,2,0,1,0,1
120038,2013,5,0,1,1,3
120038,2014,2,0,0,1,1
120038,2015,4,1,1,0,1
120038,2016,2,2,0,0,0
120038,2017,1,0,0,0,1
120038,2018,2,0,0,2,0
120038,2019,1,0,0,0,1
120038,2020,2,2,0,0,0
120039,2012,5,0,0,0,5
120039,2013,3,0,0,1,1
120039,2014,3,0,0,0,3
120039,2015,4,0,0,0,4
120039,2016,2,2,0,0,0
120039,2017,7,3,1,0,3
120039,2018,2,1,0,0,1
120039,2019,4,1,0,1,2
120039,2020,5,0,0,1,4
120040,2012,35,7,7,5,13
120040,2013,59,13,8,20,15
120040,2014,47,15,3,10,18
120040,2015,48,11,7,6,22
120040,2016,44,16,4,9,14
120040,2017,37,9,7,5,16
120040,2018,46,13,10,13,10
120040,2019,51,11,10,8,20
120040,2020,50,21,7,9,13
120042,2012,2,0,0,0,2
120042,2013,4,0,0,0,3
120042,2014,4,2,1,0,1
120042,2015,1,0,0,0,1
120042,2016,1,0,0,0,1
120042,2017,2,0,0,0,2
120042,2018,4,2,0,1,1
120042,2019,4,1,1,1,1
120042,2020,4,1,2,0,1
120043,2013,1,0,0,0,1
120043,2014,1,0,0,0,1
120043,2016,3,0,0,1,2
120043,2017,1,0,0,0,1
120043,2018,1,0,0,1,0
120043,2020,5,0,1,0,4
120045,2012,3,0,0,2,1
120045,2014,4,0,2,0,1
120045,2015,6,2,1,1,2
120045,2016,8,1,1,0,6
120045,2017,2,0,0,1,1
120045,2018,7,1,1,2,3
120045,2019,3,0,1,2,0
120045,2020,5,4,1,0,0
120050,2012,6,0,2,1,2
120050,2013,13,3,1,1,8
120050,2014,5,3,0,0,2
120050,2015,8,1,0,0,7
120050,2016,10,3,1,2,4
120050,2017,8,3,1,0,4
120050,2018,3,2,0,1,0
120050,2019,5,2,1,0,2
120050,2020,5,0,0,0,5
120060,2012,8,1,2,3,2
120060,2013,8,1,4,1,2
120060,2014,15,3,4,2,5
120060,2015,11,2,1,0,8
120060,2016,18,7,5,1,5
120060,2017,13,3,2,1,6
120060,2018,14,3,2,2,6
120060,2019,10,1,3,2,4
120060,2020,13,2,3,2,5
120070,2012,1,0,0,0,1
120070,2013,4,1,2,1,0
120070,2014,6,3,0,0,2
120070,2015,3,1,0,0,2
120070,2016,1,1,0,0,0
120070,2017,2,0,0,1,1
120070,2018,4,0,1,1,2
120070,2019,2,0,1,1,0
120070,2020,3,1,0,0,2
120080,2012,2,0,0,1,1
120080,2013,5,0,1,0,3
120080,2014,1,0,0,0,1
120080,2015,7,2,1,3,1
120080,2016,3,1,1,0,1
120080,2017,2,1,0,0,0
120080,2018,2,0,1,0,1
120080,2019,3,1,0,0,2
120080,2020,2,0,0,1,1
130002,2013,3,0,0,0,3
130002,2015,4,0,1,0,3
130002,2016,4,1,1,0,2
130002,2017,3,1,1,0,1
130002,2018,4,0,1,0,3
130002,2019,2,0,0,1,1
130002,2020,3,0,0,1,2
130006,2012,4,0,1,1,2
130006,2013,1,0,1,0,0
130006,2014,2,0,1,1,0
130006,2015,4,0,1,1,2
130006,2017,5,1,1,2,1
130006,2019,5,1,0,3,1
130006,2020,5,0,1,1,3
130008,2013,2,0,0,1,1
130008,2014,1,0,0,0,1
130008,2015,4,0,2,0,2
130008,2016,2,1,0,0,1
130008,2017,4,0,2,0,2
130008,2018,2,1,1,0,0
130010,2012,2,0,1,0,1
130010,2013,1,0,0,0,1
130010,2014,3,0,1,0,2
130010,2015,3,0,0,1,2
130010,2016,3,1,0,0,2
130010,2017,3,1,0,1,1
130010,2018,3,0,0,1,2
130010,2020,2,0,1,0,1
130014,2012,1,0,0,1,0
130014,2013,3,0,1,1,1
130014,2014,2,0,0,0,2
130014,2015,2,1,0,0,1
130014,2016,2,1,0,0,1
130014,2017,4,0,0,1,3
130014,2018,1,1,0,0,0
130014,2019,2,0,0,0,2
130014,2020,4,0,1,0,3
130020,2012,5,0,2,0,3
130020,2013,5,0,0,0,5
130020,2014,7,0,1,0,4
130020,2015,4,2,0,0,2
130020,2016,6,0,0,0,4
130020,2017,2,0,0,0,1
130020,2018,7,3,1,0,3
130020,2019,5,0,0,1,3
130020,2020,8,2,2,0,4
130030,2012,8,2,2,1,3
130030,2013,10,3,0,3,4
130030,2014,2,1,0,1,0
130030,2015,10,0,1,2,5
130030,2016,6,1,2,0,3
130030,2017,14,2,3,4,4
