"","CODMUNRES","ANO","INCOMPLETUDE","TOTAIS","UF"
"7786","312080",2022,0,179,"MG"
"7787","312080",2023,0,152,"MG"
"7788","312083",2022,0,56,"MG"
"7789","312083",2023,0,57,"MG"
"7790","312090",2021,0,957,"MG"
"7791","312090",2023,0,936,"MG"
"7792","312110",2021,0,84,"MG"
"7793","312110",2022,0,89,"MG"
"7794","312110",2023,0,80,"MG"
"7795","312120",2021,0,98,"MG"
"7796","312120",2022,0,84,"MG"
"7797","312120",2023,0,86,"MG"
"7798","312125",2021,0,141,"MG"
"7799","312125",2022,0,115,"MG"
"7800","312125",2023,0,120,"MG"
"7801","312130",2023,0,44,"MG"
"7802","312140",2021,0,74,"MG"
"7803","312150",2021,0,25,"MG"
"7804","312150",2022,0,31,"MG"
"7805","312170",2021,0,38,"MG"
"7806","312170",2023,0,36,"MG"
"7807","312180",2021,0,40,"MG"
"7808","312190",2022,0,42,"MG"
"7809","312200",2021,0,268,"MG"
"7810","312200",2022,0,292,"MG"
"7811","312200",2023,0,303,"MG"
"7812","312230",2021,0,2601,"MG"
"7813","312235",2021,0,64,"MG"
"7814","312250",2021,0,60,"MG"
"7815","312250",2023,0,50,"MG"
"7816","312270",2023,0,42,"MG"
"7817","312280",2021,0,25,"MG"
"7818","312280",2022,0,27,"MG"
"7819","312280",2023,0,23,"MG"
"7820","312290",2023,0,70,"MG"
"7821","312300",2021,0,107,"MG"
"7822","312300",2022,0,91,"MG"
"7823","312310",2022,0,58,"MG"
"7824","312310",2023,0,50,"MG"
"7825","312320",2021,0,108,"MG"
"7826","312320",2023,0,95,"MG"
"7827","312330",2021,0,37,"MG"
"7828","312330",2022,0,45,"MG"
"7829","312330",2023,0,55,"MG"
"7830","312340",2021,0,12,"MG"
"7831","312340",2022,0,15,"MG"
"7832","312340",2023,0,16,"MG"
"7833","312350",2021,0,14,"MG"
"7834","312350",2022,0,18,"MG"
"7835","312350",2023,0,15,"MG"
"7836","312352",2021,0,150,"MG"
"7837","312352",2022,0,132,"MG"
"7838","312352",2023,0,122,"MG"
"7839","312360",2021,0,319,"MG"
"7840","312360",2023,0,324,"MG"
"7841","312370",2021,0,128,"MG"
"7842","312370",2022,0,111,"MG"
"7843","312380",2023,0,59,"MG"
"7844","312385",2021,0,76,"MG"
"7845","312390",2021,0,183,"MG"
"7846","312400",2022,0,228,"MG"
"7847","312400",2023,0,219,"MG"
"7848","312420",2021,0,328,"MG"
"7849","312420",2022,0,328,"MG"
"7850","312460",2021,0,21,"MG"
"7851","312460",2022,0,20,"MG"
"7852","312460",2023,0,32,"MG"
"7853","312470",2021,0,18,"MG"
"7854","312470",2022,0,24,"MG"
"7855","312470",2023,0,14,"MG"
"7856","312480",2021,0,83,"MG"
"7857","312480",2022,0,62,"MG"
"7858","312480",2023,0,64,"MG"
"7859","312490",2021,0,97,"MG"
"7860","312490",2022,0,110,"MG"
"7861","312500",2021,0,57,"MG"
"7862","312500",2022,0,65,"MG"
"7863","312500",2023,0,35,"MG"
"7864","312520",2021,0,19,"MG"
"7865","312520",2022,0,19,"MG"
"7866","312520",2023,0,23,"MG"
"7867","312530",2021,0,33,"MG"
"7868","312530",2022,0,38,"MG"
"7869","312530",2023,0,32,"MG"
"7870","312560",2021,0,81,"MG"
"7871","312570",2021,0,132,"MG"
"7872","312570",2022,0,122,"MG"
"7873","312570",2023,0,123,"MG"
"7874","312580",2022,0,29,"MG"
"7875","312580",2023,0,23,"MG"
"7876","312590",2022,0,78,"MG"
"7877","312595",2021,0,137,"MG"
"7878","312595",2022,0,151,"MG"
"7879","312595",2023,0,144,"MG"
"7880","312600",2021,0,73,"MG"
"7881","312600",2022,0,60,"MG"
"7882","312600",2023,0,84,"MG"
"7883","312620",2022,0,82,"MG"
"7884","312620",2023,0,89,"MG"
"7885","312630",2021,0,31,"MG"
"7886","312630",2022,0,23,"MG"
"7887","312630",2023,0,29,"MG"
"7888","312640",2021,0,45,"MG"
"7889","312640",2022,0,37,"MG"
"7890","312640",2023,0,38,"MG"
"7891","312650",2023,0,60,"MG"
"7892","312670",2021,0,239,"MG"
"7893","312670",2022,0,211,"MG"
"7894","312670",2023,0,217,"MG"
"7895","312690",2021,0,103,"MG"
"7896","312690",2023,0,84,"MG"
"7897","312695",2022,0,50,"MG"
"7898","312707",2021,0,54,"MG"
"7899","312707",2022,0,55,"MG"
"7900","312707",2023,0,55,"MG"
"7901","312710",2021,0,689,"MG"
"7902","312710",2022,0,688,"MG"
"7903","312710",2023,0,683,"MG"
"7904","312720",2021,0,43,"MG"
"7905","312720",2022,0,52,"MG"
"7906","312720",2023,0,38,"MG"
"7907","312730",2021,0,83,"MG"
"7908","312730",2023,0,80,"MG"
"7909","312733",2021,0,54,"MG"
"7910","312733",2022,0,52,"MG"
