"MUNIC_RES","ano","sih_30_a_39","sih_40_a_49","sih_menor_30","sih_total"
110009,"2021",2,0,7,9
110009,"2022",3,1,12,16
110009,"2023",2,1,7,10
110010,"2015",29,4,56,89
110010,"2016",35,4,57,96
110010,"2017",42,6,60,108
110010,"2018",16,7,55,78
110010,"2019",31,8,62,101
110010,"2020",30,7,42,79
110010,"2021",35,12,51,98
110010,"2022",24,8,57,89
110010,"2023",20,6,30,56
110011,"2015",15,6,28,49
110011,"2016",18,6,39,63
110011,"2017",13,4,32,49
110011,"2018",23,6,38,67
110011,"2019",16,6,49,71
110011,"2020",19,8,40,67
110011,"2021",11,5,21,37
110011,"2022",6,1,11,18
110011,"2023",4,0,2,6
110012,"2015",26,9,73,108
110012,"2016",29,7,65,101
110012,"2017",28,3,65,96
110012,"2018",23,4,56,83
110012,"2019",31,2,66,99
110012,"2020",22,3,43,68
110012,"2021",19,2,27,48
110012,"2022",21,9,49,79
110012,"2023",15,1,21,37
110013,"2015",1,0,11,12
110013,"2016",3,0,7,10
110013,"2017",3,0,7,10
110013,"2018",6,4,16,26
110013,"2019",13,1,17,31
110013,"2020",3,3,15,21
110013,"2021",7,1,19,27
110013,"2022",10,0,12,22
110013,"2023",7,2,14,23
110014,"2015",1,0,0,1
110014,"2016",0,0,1,1
110014,"2017",2,0,2,4
110014,"2018",1,0,1,2
110014,"2019",0,0,2,2
110014,"2020",4,0,6,10
110014,"2021",3,0,2,5
110014,"2022",1,0,2,3
110014,"2023",0,0,1,1
110015,"2015",8,1,17,26
110015,"2016",7,0,16,23
110015,"2017",10,1,17,28
110015,"2018",5,2,4,11
110015,"2019",3,0,10,13
110015,"2020",1,0,5,6
110015,"2021",0,0,7,7
110015,"2022",5,2,8,15
110015,"2023",3,0,4,7
110018,"2015",5,5,21,31
110018,"2016",3,0,9,12
110018,"2017",3,2,18,23
110018,"2018",8,1,25,34
110018,"2019",1,2,10,13
110018,"2020",2,1,16,19
110018,"2021",6,2,13,21
110018,"2022",4,0,12,16
110018,"2023",4,2,14,20
110020,"2015",193,39,447,679
110020,"2016",179,39,377,595
110020,"2017",149,24,370,543
110020,"2018",155,18,330,503
110020,"2019",174,30,292,496
110020,"2020",127,30,239,396
110020,"2021",124,27,260,411
110020,"2022",120,23,219,362
110020,"2023",102,32,205,339
110025,"2015",4,0,6,10
110025,"2016",5,0,3,8
110025,"2017",3,3,9,15
110025,"2018",5,3,4,12
110025,"2019",6,2,6,14
110025,"2020",3,0,6,9
110025,"2021",0,0,1,1
110025,"2022",0,1,0,1
110025,"2023",1,0,2,3
110026,"2016",1,0,0,1
110026,"2017",0,1,0,1
110026,"2018",0,0,1,1
110026,"2019",0,0,1,1
110026,"2020",0,0,2,2
110026,"2021",1,0,1,2
110026,"2023",1,0,0,1
110028,"2015",1,1,4,6
110028,"2016",1,0,4,5
110028,"2017",1,0,4,5
110028,"2018",3,0,4,7
110028,"2019",1,0,3,4
110028,"2020",1,0,3,4
110028,"2021",0,0,3,3
110028,"2022",2,3,4,9
110028,"2023",6,2,13,21
110029,"2015",0,1,1,2
110029,"2017",1,0,0,1
110029,"2018",0,0,1,1
110029,"2019",0,0,1,1
110029,"2020",0,0,2,2
110029,"2022",1,0,1,2
110029,"2023",0,0,2,2
110030,"2015",32,10,84,126
110030,"2016",36,5,70,111
110030,"2017",33,5,57,95
110030,"2018",33,5,68,106
110030,"2019",42,6,71,119
110030,"2020",33,9,55,97
110030,"2021",40,9,64,113
110030,"2022",27,6,39,72
110030,"2023",32,4,44,80
110032,"2015",3,0,7,10
110032,"2016",5,1,12,18
110032,"2017",5,1,17,23
110032,"2018",6,1,14,21
110032,"2019",9,2,22,33
110032,"2020",10,2,13,25
110032,"2021",10,2,17,29
110032,"2022",8,2,10,20
110032,"2023",6,3,9,18
110033,"2015",6,0,32,38
110033,"2016",4,1,12,17
110033,"2017",11,2,18,31
110033,"2018",9,1,9,19
110033,"2019",7,3,20,30
110033,"2020",7,2,16,25
110033,"2021",7,0,14,21
110033,"2022",6,1,24,31
110033,"2023",9,2,11,22
110034,"2015",4,0,5,9
110034,"2016",1,0,3,4
110034,"2017",2,0,4,6
110034,"2018",0,0,5,5
110034,"2019",2,0,2,4
110034,"2020",0,1,6,7
110034,"2021",2,0,3,5
110034,"2022",4,0,3,7
110034,"2023",1,0,2,3
110037,"2015",1,0,0,1
110037,"2018",0,0,2,2
110037,"2022",1,0,0,1
110037,"2023",1,0,1,2
110040,"2015",2,0,2,4
110040,"2016",0,0,2,2
110040,"2017",2,0,1,3
110040,"2018",1,0,5,6
110040,"2019",3,1,7,11
110040,"2020",8,0,3,11
110040,"2021",4,0,4,8
110040,"2022",1,0,0,1
110045,"2015",4,0,8,12
110045,"2016",1,0,8,9
110045,"2017",2,0,7,9
110045,"2018",1,0,2,3
110045,"2019",5,0,6,11
110045,"2020",4,1,7,12
110045,"2021",2,1,6,9
110045,"2022",0,0,2,2
110045,"2023",0,0,4,4
110050,"2015",0,0,1,1
110050,"2016",0,0,1,1
110050,"2018",1,0,0,1
110050,"2021",0,0,1,1
110050,"2022",0,0,1,1
110060,"2015",0,0,1,1
110060,"2016",2,0,1,3
110060,"2017",1,1,1,3
110060,"2018",1,0,2,3
110060,"2019",0,0,1,1
110060,"2020",0,0,2,2
110060,"2021",1,0,0,1
110060,"2022",1,0,1,2
110070,"2015",0,1,0,1
110070,"2016",2,0,2,4
110070,"2017",1,0,1,2
110070,"2019",2,0,1,3
110070,"2022",0,0,4,4
110070,"2023",0,0,2,2
110080,"2015",5,0,4,9
110080,"2016",3,0,7,10
110080,"2017",8,2,5,15
110080,"2018",7,1,1,9
110080,"2019",3,0,8,11
110080,"2020",2,1,7,10
110080,"2021",1,0,2,3
110080,"2022",1,0,2,3
110080,"2023",1,1,2,4
110090,"2016",1,0,1,2
110090,"2021",0,0,1,1
110090,"2022",0,0,1,1
110092,"2015",2,0,3,5
110092,"2016",1,0,2,3
110092,"2017",2,0,5,7
110092,"2018",3,1,2,6
110092,"2019",4,0,3,7
110092,"2020",1,0,4,5
110092,"2021",1,2,4,7
110092,"2022",4,0,4,8
110092,"2023",1,1,4,6
110094,"2015",1,0,3,4
110094,"2016",1,0,5,6
110094,"2017",0,0,11,11
110094,"2018",2,3,7,12
110094,"2019",3,1,2,6
110094,"2020",1,0,10,11
110094,"2021",4,0,8,12
110094,"2022",1,0,5,6
110094,"2023",1,0,4,5
110100,"2015",1,0,6,7
110100,"2016",1,0,4,5
110100,"2017",1,0,5,6
110100,"2018",3,0,3,6
110100,"2020",2,0,3,5
110100,"2021",1,0,1,2
110100,"2023",0,0,1,1
110110,"2015",1,0,3,4
110110,"2016",0,0,3,3
110110,"2017",0,0,2,2
110110,"2019",1,0,1,2
110110,"2020",0,2,2,4
110110,"2021",1,0,0,1
110110,"2022",0,0,1,1
110110,"2023",0,0,3,3
110120,"2015",1,0,3,4
