"CD_MUNICIPIO_BENEFICIARIO","ano","ans_30_a_39","ans_40_a_49","ans_menor_30","ans_total"
110050,2019,0,1,0,1
110080,2019,1,0,1,2
110080,2022,1,0,1,2
110092,2020,1,1,0,2
110092,2022,1,0,0,1
110094,2017,1,0,0,1
110110,2016,1,0,0,1
110110,2019,1,0,0,1
110110,2021,1,0,0,1
110120,2019,0,0,1,1
110130,2019,0,0,1,1
110140,2015,0,0,1,1
110140,2019,0,0,1,1
110143,2021,1,0,0,1
110145,2017,0,0,1,1
110145,2020,0,0,1,1
110148,2017,1,0,0,1
110148,2022,1,0,0,1
110149,2021,1,0,0,1
110149,2022,0,0,1,1
110150,2018,1,0,0,1
110155,2019,1,0,0,1
110170,2022,1,1,0,2
110180,2015,0,0,1,1
110180,2020,1,0,0,1
120001,2019,1,0,0,1
120001,2020,1,0,1,2
120001,2022,0,0,2,2
120010,2019,1,0,0,1
120010,2020,1,0,0,1
120013,2020,0,0,1,1
120013,2021,0,0,1,1
120020,2017,0,0,1,1
120025,2017,1,0,0,1
120030,2022,1,0,0,1
120038,2017,2,0,0,2
120038,2020,1,0,0,1
120040,2015,8,4,8,20
120040,2016,6,1,4,11
120040,2017,12,2,11,25
120040,2018,19,8,9,36
120040,2019,23,2,8,33
120040,2020,25,6,6,37
120040,2021,29,5,2,36
120040,2022,5,4,6,15
120045,2017,0,1,0,1
120045,2019,1,0,0,1
120070,2015,0,0,2,2
130000,2015,1,0,0,1
130000,2017,0,1,0,1
130002,2022,1,0,1,2
130010,2018,1,0,0,1
130014,2018,1,0,0,1
130070,2022,1,0,0,1
130100,2020,0,0,1,1
130110,2018,1,0,0,1
130140,2022,1,0,0,1
130170,2019,0,0,1,1
130185,2018,1,0,0,1
130185,2022,0,1,0,1
130190,2016,0,0,1,1
130190,2017,0,0,1,1
130190,2018,0,0,1,1
130190,2019,1,0,0,1
130190,2020,2,0,0,2
130190,2022,1,0,0,1
130240,2019,1,0,0,1
130250,2015,1,0,0,1
130250,2020,0,2,0,2
130260,2015,79,16,67,162
130260,2016,156,34,124,314
130260,2017,83,13,36,132
130260,2018,65,14,26,105
130260,2019,109,26,71,206
130260,2020,125,26,75,226
130260,2021,69,15,22,106
130260,2022,53,23,25,101
130290,2019,0,0,1,1
130290,2020,1,0,0,1
130353,2015,1,1,0,2
130353,2022,0,1,0,1
130356,2016,1,0,0,1
130390,2017,1,0,0,1
130406,2018,0,0,1,1
130426,2017,0,0,1,1
140010,2015,11,1,8,20
140010,2016,7,1,0,8
140010,2017,10,2,6,18
140010,2018,9,3,4,16
140010,2019,8,0,2,10
140010,2020,4,0,3,7
140010,2021,8,1,0,9
140010,2022,5,1,1,7
140020,2017,1,0,0,1
140023,2018,0,1,0,1
140047,2019,1,0,0,1
140060,2019,1,0,0,1
150000,2018,0,0,1,1
150000,2020,3,0,0,3
150000,2021,1,1,0,2
150010,2015,1,0,0,1
150010,2016,3,0,1,4
150010,2017,1,0,2,3
150010,2019,0,0,2,2
150010,2020,2,1,1,4
150010,2021,4,0,2,6
150010,2022,1,3,2,6
150020,2020,0,0,1,1
150034,2020,0,1,0,1
150040,2020,1,0,0,1
150050,2017,1,0,0,1
150050,2019,3,0,1,4
150050,2020,1,0,0,1
150050,2022,0,1,0,1
150060,2015,1,0,1,2
150060,2016,0,0,4,4
150060,2017,1,1,1,3
150060,2018,2,0,4,6
150060,2019,0,1,5,6
150060,2020,1,0,1,2
150060,2021,0,2,2,4
150060,2022,4,2,2,8
150080,2015,16,3,15,34
150080,2016,13,4,11,28
150080,2017,17,6,10,33
150080,2018,27,8,9,44
150080,2019,22,6,10,38
150080,2020,36,9,15,60
150080,2021,36,9,18,63
150080,2022,27,13,19,59
150090,2018,0,0,2,2
150090,2020,1,0,0,1
150120,2020,0,1,0,1
150130,2015,4,1,2,7
150130,2016,7,0,5,12
150130,2017,5,1,2,8
150130,2018,12,0,1,13
150130,2019,2,0,2,4
150130,2020,5,1,2,8
150130,2021,2,0,5,7
150130,2022,2,1,3,6
150140,2015,64,5,46,115
150140,2016,58,11,45,114
150140,2017,70,15,35,120
150140,2018,85,24,38,147
150140,2019,94,13,55,162
150140,2020,142,36,61,239
150140,2021,148,35,59,242
150140,2022,131,45,61,237
150145,2018,1,0,0,1
150145,2022,1,0,0,1
150150,2016,1,0,0,1
150150,2017,2,0,1,3
150150,2020,1,0,2,3
150150,2021,0,0,1,1
150150,2022,0,0,1,1
150157,2017,0,1,0,1
150157,2018,2,0,0,2
150157,2020,1,0,0,1
150160,2017,1,0,0,1
150160,2019,0,0,2,2
150170,2015,1,0,0,1
150170,2017,1,0,0,1
150170,2018,1,0,0,1
150170,2019,1,0,0,1
150170,2021,2,0,0,2
150172,2019,1,0,1,2
150175,2015,0,0,1,1
150175,2018,1,0,0,1
150178,2015,2,0,0,2
150178,2016,2,0,0,2
150178,2018,1,0,0,1
150178,2022,1,0,0,1
150210,2015,0,0,1,1
150210,2022,1,0,0,1
150215,2015,11,1,17,29
150215,2016,6,1,17,24
150215,2017,4,1,17,22
150215,2018,4,1,13,18
150215,2019,10,0,9,19
150215,2020,13,1,6,20
150215,2021,9,2,7,18
150215,2022,7,0,8,15
150220,2016,0,1,0,1
150220,2017,1,0,0,1
150220,2018,0,0,1,1
150220,2019,0,0,1,1
150220,2020,0,1,1,2
150220,2021,2,0,0,2
150220,2022,1,0,0,1
150230,2019,2,0,0,2
150230,2020,1,0,0,1
150240,2015,7,0,2,9
150240,2016,0,0,2,2
150240,2017,4,0,2,6
150240,2018,4,0,3,7
150240,2019,7,0,2,9
150240,2020,4,3,2,9
150240,2021,3,0,2,5
150240,2022,1,1,4,6
150270,2020,1,0,0,1
150270,2021,1,0,0,1
150275,2015,0,0,1,1
150277,2015,2,0,2,4
150277,2016,2,0,1,3
150277,2017,0,0,1,1
150277,2018,0,0,1,1
150277,2019,1,0,1,2
150277,2020,0,0,1,1
150277,2021,2,0,2,4
150277,2022,0,0,3,3
150293,2018,1,0,0,1
150293,2020,1,0,0,1
150293,2021,3,0,1,4
150304,2020,1,0,0,1
150304,2022,1,0,0,1
150320,2015,1,0,0,1
150320,2016,1,0,0,1
150350,2019,0,0,1,1
150360,2015,2,1,0,3
150360,2016,1,0,1,2
150360,2017,0,1,0,1
150360,2018,2,0,1,3
150360,2019,2,0,1,3
150360,2021,4,0,1,5
150360,2022,3,0,0,3
150370,2017,0,0,1,1
150380,2019,1,0,0,1
150380,2020,1,0,0,1
150390,2015,0,0,1,1
150390,2017,1,1,1,3
150390,2019,1,0,3,4
150390,2020,1,0,0,1
150390,2021,0,0,2,2
150405,2016,2,0,0,2
150405,2017,0,1,0,1
150420,2015,34,7,21,62
150420,2016,16,1,13,30
150420,2017,24,3,22,49
150420,2018,9,0,11,20
150420,2019,4,5,8,17
150420,2020,3,2,4,9
150420,2021,7,2,10,19
150420,2022,8,2,3,13
150442,2015,1,0,2,3
150442,2018,2,0,0,2
150442,2020,0,0,1,1
150442,2021,0,1,1,2
150442,2022,1,0,2,3
150460,2022,1,0,0,1
150470,2017,1,0,0,1
150470,2019,0,1,0,1
150475,2015,0,0,1,1
150480,2016,1,0,0,1
150490,2018,1,0,0,1
150503,2021,1,0,0,1
150503,2022,1,0,0,1
150506,2015,0,0,1,1
150510,2022,1,0,0,1
150530,2015,1,1,0,2
150530,2016,1,0,0,1
150530,2017,0,0,1,1
150530,2021,1,0,0,1
150543,2015,4,0,2,6
150543,2016,0,0,5,5
150543,2017,2,0,1,3
150543,2018,0,0,3,3
150543,2019,0,0,1,1
150543,2020,0,0,2,2
150543,2021,1,1,0,2
150543,2022,1,0,1,2
150548,2022,1,0,0,1
150550,2015,3,0,8,11
150550,2016,5,0,10,15
150550,2017,2,0,5,7
150550,2018,2,1,0,3
150550,2019,1,0,2,3
150550,2020,5,0,2,7
150550,2021,5,0,1,6
150550,2022,3,0,1,4
150553,2015,26,4,35,65
150553,2016,31,8,41,80
150553,2017,29,1,39,69
150553,2018,16,1,21,38
150553,2019,36,6,32,74
150553,2020,24,5,18,47
150553,2021,19,5,18,42
150553,2022,19,5,11,35
