UF,ANO,NOME,local,não_local,dentro_regiao_saude,dentro_macrorregiao_saude,fora_macrorregiao_saude,outra_uf,destino_total,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,km_partos_na_região,km_partos_na_região_alta_complexidade,km_partos_na_região_baixa_complexidade,km_partos_na_macrorregião,km_partos_na_macrorregião_alta_complexidade,km_partos_na_macrorregião_baixa_complexidade,km_partos_fora_macrorregião,km_partos_fora_macrorregião_alta_complexidade,km_partos_fora_macrorregião_baixa_complexidade,km_partos_fora_UF,km_partos_fora_UF_alta_complexidade,km_partos_fora_UF_baixa_complexidade
17.0,2019, Tocantins,12514.0,11935.0,6291.0,4186.0,375.0,1083.0,24449.0,96.059,108.1577,82.0407,73.7345,73.7345,77.0292486462702,141.8099,139.6622,160.1714,220.6696,220.6696,190.4246,65.3903,100.2746,54.3185
17.0,2020, Tocantins,12107.0,11622.0,6349.0,4056.0,403.0,814.0,23729.0,89.8094,108.1577,78.1428,70.6539,73.7345,61.3869,133.8055,128.0988,148.7202,220.6696,220.6696,190.4246,65.3903,100.2746,56.2643
21.0,2012, Maranhão,87365.0,28674.0,19640.0,5021.0,1019.0,2994.0,116039.0,40.2618,51.6264,40.2618,31.3567,32.4988,29.7253,102.879,148.31553634116,100.5815,86.7044,286.61285,84.6172652466059,57.557389151173,72.3221,40.3010911441744
21.0,2013, Maranhão,85825.0,29175.0,19761.0,5223.0,1138.0,3053.0,115000.0,40.9426520857181,68.1559,40.2618,31.0688,30.7115,31.2381,104.7935,124.010862847293,100.5815,86.7044,248.7883,80.7614,57.557389151173,72.3221,26.5736
21.0,2014, Maranhão,86262.0,30809.0,20936.0,5717.0,1199.0,2957.0,117071.0,41.8863,59.2806,41.8863,31.0688,30.7115,31.3567,106.1066,117.4942,104.7935,100.9076,320.7834,86.7044,57.557389151173,14.4927633901957,67.4169
21.0,2015, Maranhão,85014.0,32550.0,22139.0,6392.0,1215.0,2804.0,117564.0,42.2747,67.7616,41.8863,30.7691,30.7115,30.9122,105.0217,130.9438,104.7935,116.57225,277.5295,106.049,57.557389151173,72.3221,57.557389151173
21.0,2016, Maranhão,76898.0,33595.0,21966.0,7196.0,1298.0,3135.0,110493.0,45.2786864393056,59.2806,44.6498875836786,30.9122,30.7115,31.2381,109.0741,156.9019,105.0217,106.0845,319.083,106.049,57.557389151173,57.557389151173,49.4906
21.0,2017, Maranhão,78577.0,34408.0,22364.0,7248.0,1701.0,3095.0,112985.0,46.3658,67.7616,46.1409,31.0688,30.7115,33.6276,111.2616,175.4585,100.5709,106.049,304.7252,90.232,57.557389151173,57.557389151173,61.7813238090208
21.0,2018, Maranhão,81251.0,35905.0,23685.0,7409.0,1598.0,3213.0,117156.0,46.1409,74.362279875882,43.336,31.0688,30.7115,32.4988,114.2579,178.3107,100.5815,116.7552,297.8567,86.7044,57.557389151173,14.4927633901957,72.3221
21.0,2019, Maranhão,77577.0,35740.0,24253.0,6927.0,1518.0,3042.0,113317.0,46.1622,85.9903,43.32365,32.4988,30.7115,44.5343308167103,114.2579,178.3107,100.5709,116.7552,336.085,84.6172652466059,67.4169,57.557389151173,72.3221
