"codmunres","ano","municipio","uf","regiao","nascidos","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal"
110011,2020,"Jaru","RO","Norte",892,2,2,0,0,1,0
110012,2012,"Ji-Paraná","RO","Norte",2075,0,0,0,0,0,0
110012,2013,"Ji-Paraná","RO","Norte",1971,0,0,0,0,0,0
110012,2014,"Ji-Paraná","RO","Norte",1956,2,2,0,1,0,1
110012,2015,"Ji-Paraná","RO","Norte",2094,0,0,0,0,0,0
110012,2016,"Ji-Paraná","RO","Norte",1976,0,0,0,0,0,0
110012,2017,"Ji-Paraná","RO","Norte",2050,3,2,0,0,0,0
110012,2018,"Ji-Paraná","RO","Norte",2278,1,1,0,1,0,0
110012,2019,"Ji-Paraná","RO","Norte",2182,2,2,0,0,2,0
110012,2020,"Ji-Paraná","RO","Norte",2133,0,0,0,0,0,0
110013,2012,"Machadinho D'Oeste","RO","Norte",542,0,0,0,0,0,0
110013,2013,"Machadinho D'Oeste","RO","Norte",514,1,1,0,1,0,0
110013,2014,"Machadinho D'Oeste","RO","Norte",507,0,0,0,0,0,0
110013,2015,"Machadinho D'Oeste","RO","Norte",480,0,0,0,0,0,0
110013,2016,"Machadinho D'Oeste","RO","Norte",398,0,0,0,0,0,0
110013,2017,"Machadinho D'Oeste","RO","Norte",449,0,0,0,0,0,0
110013,2018,"Machadinho D'Oeste","RO","Norte",517,0,0,0,0,0,0
110013,2019,"Machadinho D'Oeste","RO","Norte",500,0,0,0,0,0,0
110013,2020,"Machadinho D'Oeste","RO","Norte",561,0,0,0,0,0,0
110014,2012,"Nova Brasilândia D'Oeste","RO","Norte",271,0,0,0,0,0,0
110014,2013,"Nova Brasilândia D'Oeste","RO","Norte",278,0,0,0,0,0,0
110014,2014,"Nova Brasilândia D'Oeste","RO","Norte",254,0,0,0,0,0,0
110014,2015,"Nova Brasilândia D'Oeste","RO","Norte",256,0,0,0,0,0,0
110014,2016,"Nova Brasilândia D'Oeste","RO","Norte",276,0,0,0,0,0,0
110014,2017,"Nova Brasilândia D'Oeste","RO","Norte",224,0,0,0,0,0,0
110014,2018,"Nova Brasilândia D'Oeste","RO","Norte",290,0,0,0,0,0,0
110014,2019,"Nova Brasilândia D'Oeste","RO","Norte",261,0,0,0,0,0,0
110014,2020,"Nova Brasilândia D'Oeste","RO","Norte",230,0,0,0,0,0,0
110015,2012,"Ouro Preto do Oeste","RO","Norte",647,0,0,0,0,0,0
110015,2013,"Ouro Preto do Oeste","RO","Norte",639,0,0,0,0,0,0
110015,2014,"Ouro Preto do Oeste","RO","Norte",674,1,1,0,0,0,0
110015,2015,"Ouro Preto do Oeste","RO","Norte",767,0,0,0,0,0,0
110015,2016,"Ouro Preto do Oeste","RO","Norte",582,0,0,0,0,0,0
110015,2017,"Ouro Preto do Oeste","RO","Norte",578,2,1,0,1,0,0
110015,2018,"Ouro Preto do Oeste","RO","Norte",614,0,0,0,0,0,0
110015,2019,"Ouro Preto do Oeste","RO","Norte",631,0,0,0,0,0,0
110015,2020,"Ouro Preto do Oeste","RO","Norte",600,0,0,0,0,0,0
110018,2012,"Pimenta Bueno","RO","Norte",553,0,0,0,0,0,0
110018,2013,"Pimenta Bueno","RO","Norte",581,1,1,0,1,0,0
110018,2014,"Pimenta Bueno","RO","Norte",597,0,0,0,0,0,0
110018,2015,"Pimenta Bueno","RO","Norte",594,0,0,0,0,0,0
110018,2016,"Pimenta Bueno","RO","Norte",601,0,0,0,0,0,0
110018,2017,"Pimenta Bueno","RO","Norte",615,0,0,0,0,0,0
110018,2018,"Pimenta Bueno","RO","Norte",651,0,0,0,0,0,0
110018,2019,"Pimenta Bueno","RO","Norte",616,0,0,0,0,0,0
110018,2020,"Pimenta Bueno","RO","Norte",579,0,0,0,0,0,0
110020,2012,"Porto Velho","RO","Norte",8941,8,6,0,2,1,0
110020,2013,"Porto Velho","RO","Norte",8927,7,4,1,2,0,0
110020,2014,"Porto Velho","RO","Norte",9130,8,5,1,3,0,0
110020,2015,"Porto Velho","RO","Norte",9093,5,4,0,0,1,1
110020,2016,"Porto Velho","RO","Norte",8611,8,6,1,0,1,1
110020,2017,"Porto Velho","RO","Norte",8800,5,4,0,2,0,0
110020,2018,"Porto Velho","RO","Norte",8752,4,2,0,1,0,0
110020,2019,"Porto Velho","RO","Norte",8437,6,4,0,1,1,0
110020,2020,"Porto Velho","RO","Norte",7893,5,1,0,0,0,0
110025,2012,"Presidente Médici","RO","Norte",243,0,0,0,0,0,0
110025,2013,"Presidente Médici","RO","Norte",258,0,0,0,0,0,0
110025,2014,"Presidente Médici","RO","Norte",289,1,0,0,0,0,0
110025,2015,"Presidente Médici","RO","Norte",262,0,0,0,0,0,0
110025,2016,"Presidente Médici","RO","Norte",276,0,0,0,0,0,0
110025,2017,"Presidente Médici","RO","Norte",289,0,0,0,0,0,0
110025,2018,"Presidente Médici","RO","Norte",294,0,0,0,0,0,0
110025,2019,"Presidente Médici","RO","Norte",304,0,0,0,0,0,0
110025,2020,"Presidente Médici","RO","Norte",259,0,0,0,0,0,0
110026,2012,"Rio Crespo","RO","Norte",41,0,0,0,0,0,0
