"codmunres","municipio","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","uf","idhm"
"69",120043,"Santa Rosa do Purus","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.517"
"70",120045,"Senador Guiomard","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.64"
"71",120050,"Sena Madureira","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.603"
"72",120060,"Tarauacá","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC","Acre","0.539"
"73",120070,"Xapuri","Norte",12001,"Alto Acre",1201,"MACro Unica - AC","Acre","0.599"
"74",120080,"Porto Acre","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.576"
"75",130002,"Alvarães","Norte",13008,"Triângulo",1302,"Oeste","Amazonas","0.527"
"76",130006,"Amaturá","Norte",13009,"Alto Solimões",1302,"Oeste","Amazonas","0.56"
"77",130008,"Anamã","Norte",13002,"Rio Negro e Solimões",1304,"Central","Amazonas","0.594"
"78",130010,"Anori","Norte",13002,"Rio Negro e Solimões",1304,"Central","Amazonas","0.561"
"79",130014,"Apuí","Norte",13003,"Rio Madeira",1303,"Leste","Amazonas","0.637"
"80",130020,"Atalaia do Norte","Norte",13009,"Alto Solimões",1302,"Oeste","Amazonas","0.45"
"81",130030,"Autazes","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.577"
"82",130040,"Barcelos","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.5"
"83",130050,"Barreirinha","Norte",13005,"Baixo Amazonas",1303,"Leste","Amazonas","0.574"
"84",130060,"Benjamin Constant","Norte",13009,"Alto Solimões",1302,"Oeste","Amazonas","0.574"
"85",130063,"Beruri","Norte",13002,"Rio Negro e Solimões",1304,"Central","Amazonas","0.506"
"86",130068,"Boa Vista do Ramos","Norte",13005,"Baixo Amazonas",1303,"Leste","Amazonas","0.565"
"87",130070,"Boca do Acre","Norte",13006,"Regional Purus",1304,"Central","Amazonas","0.588"
"88",130080,"Borba","Norte",13003,"Rio Madeira",1303,"Leste","Amazonas","0.56"
"89",130083,"Caapiranga","Norte",13002,"Rio Negro e Solimões",1304,"Central","Amazonas","0.569"
"90",130090,"Canutama","Norte",13006,"Regional Purus",1304,"Central","Amazonas","0.53"
"91",130100,"Carauari","Norte",13007,"Regional Juruá",1302,"Oeste","Amazonas","0.549"
"92",130110,"Careiro","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.557"
"93",130115,"Careiro da Várzea","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.568"
"94",130120,"Coari","Norte",13002,"Rio Negro e Solimões",1304,"Central","Amazonas","0.586"
"95",130130,"Codajás","Norte",13002,"Rio Negro e Solimões",1304,"Central","Amazonas","0.563"
"96",130140,"Eirunepé","Norte",13007,"Regional Juruá",1302,"Oeste","Amazonas","0.563"
"97",130150,"Envira","Norte",13007,"Regional Juruá",1302,"Oeste","Amazonas","0.509"
"98",130160,"Fonte Boa","Norte",13009,"Alto Solimões",1302,"Oeste","Amazonas","0.53"
"99",130165,"Guajará","Norte",13007,"Regional Juruá",1302,"Oeste","Amazonas","0.532"
"100",130170,"Humaitá","Norte",13003,"Rio Madeira",1303,"Leste","Amazonas","0.605"
"101",130180,"Ipixuna","Norte",13007,"Regional Juruá",1302,"Oeste","Amazonas","0.481"
"102",130185,"Iranduba","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.613"
"103",130190,"Itacoatiara","Norte",13004,"Médio Amazonas",1303,"Leste","Amazonas","0.644"
"104",130195,"Itamarati","Norte",13007,"Regional Juruá",1302,"Oeste","Amazonas","0.477"
"105",130200,"Itapiranga","Norte",13004,"Médio Amazonas",1303,"Leste","Amazonas","0.654"
"106",130210,"Japurá","Norte",13008,"Triângulo",1302,"Oeste","Amazonas","0.522"
"107",130220,"Juruá","Norte",13008,"Triângulo",1302,"Oeste","Amazonas","0.522"
"108",130230,"Jutaí","Norte",13009,"Alto Solimões",1302,"Oeste","Amazonas","0.516"
"109",130240,"Lábrea","Norte",13006,"Regional Purus",1304,"Central","Amazonas","0.531"
"110",130250,"Manacapuru","Norte",13002,"Rio Negro e Solimões",1304,"Central","Amazonas","0.614"
"111",130255,"Manaquiri","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.596"
"112",130260,"Manaus","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.737"
"113",130270,"Manicoré","Norte",13003,"Rio Madeira",1303,"Leste","Amazonas","0.582"
"114",130280,"Maraã","Norte",13008,"Triângulo",1302,"Oeste","Amazonas","0.498"
"115",130290,"Maués","Norte",13005,"Baixo Amazonas",1303,"Leste","Amazonas","0.588"
"116",130300,"Nhamundá","Norte",13005,"Baixo Amazonas",1303,"Leste","Amazonas","0.586"
"117",130310,"Nova Olinda do Norte","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.558"
"118",130320,"Novo Airão","Norte",13002,"Rio Negro e Solimões",1304,"Central","Amazonas","0.57"
"119",130330,"Novo Aripuanã","Norte",13003,"Rio Madeira",1303,"Leste","Amazonas","0.554"
"120",130340,"Parintins","Norte",13005,"Baixo Amazonas",1303,"Leste","Amazonas","0.658"
"121",130350,"Pauini","Norte",13006,"Regional Purus",1304,"Central","Amazonas","0.496"
