CODMUNRES;ANO;total_internacoes;casos_MMG;casos_MMG_hipertensao;casos_MMG_Hemorragia;casos_MMG_infeccoes;casos_MMG_UTI;casos_MMG_TMP;casos_MMG_Transfusao;casos_MMG_cirurgia
110013;2016;222;23;8;6;0;0;6;4;6
110013;2017;372;22;9;5;0;0;3;4;6
110013;2018;498;19;10;3;1;0;3;2;4
110013;2019;434;18;5;10;0;0;5;3;2
110013;2020;502;38;24;10;0;0;3;4;1
110014;2012;172;2;1;0;0;0;2;0;0
110014;2013;164;6;1;2;0;1;4;1;0
110014;2014;156;4;2;0;0;0;2;0;1
110014;2015;40;2;1;0;0;1;0;0;0
110014;2016;188;6;3;3;0;0;0;1;0
110014;2017;222;9;1;4;0;0;4;3;0
110014;2018;274;1;0;0;0;0;0;0;1
110014;2019;349;5;2;1;0;0;2;1;1
110014;2020;194;2;1;1;0;1;1;1;1
110015;2012;445;10;6;2;1;0;1;0;1
110015;2013;510;15;6;6;3;0;2;1;2
110015;2014;465;19;9;4;2;0;6;0;1
110015;2015;526;39;17;11;1;0;10;2;1
110015;2016;495;19;6;6;0;0;3;2;1
110015;2017;463;21;9;5;0;1;7;4;0
110015;2018;486;18;8;1;3;0;4;1;1
110015;2019;456;20;10;5;2;0;2;4;4
110015;2020;390;10;2;2;0;0;6;0;0
110018;2012;367;12;10;0;0;0;2;0;0
110018;2013;410;15;9;5;0;0;1;4;0
110018;2014;464;29;11;12;3;0;3;9;1
110018;2015;468;28;17;3;4;0;3;2;2
110018;2016;609;35;19;6;1;1;8;1;0
110018;2017;755;29;9;12;1;1;6;7;1
110018;2018;656;21;7;9;3;0;1;3;3
110018;2019;673;25;12;10;1;1;4;6;2
110018;2020;583;24;14;8;0;0;2;7;2
110020;2012;6972;355;199;57;8;8;98;16;32
110020;2013;8655;718;363;99;13;13;267;47;39
110020;2014;8894;754;370;146;23;12;213;76;73
110020;2015;8650;796;386;165;14;11;234;60;101
110020;2016;8459;934;473;202;11;10;229;87;143
110020;2017;8831;995;565;167;10;14;221;57;152
110020;2018;8951;1096;514;175;14;10;193;63;328
110020;2019;8329;1151;562;191;11;10;187;62;371
110020;2020;7652;1065;497;195;12;8;157;50;375
110025;2012;182;10;3;3;1;0;4;0;1
110025;2013;168;16;5;2;0;0;7;1;2
110025;2014;136;5;2;3;0;0;0;0;0
110025;2015;186;12;7;5;0;0;1;3;0
110025;2016;166;10;3;2;0;0;6;2;0
110025;2017;269;20;12;2;2;1;4;0;1
110025;2018;276;12;5;4;0;0;3;2;0
110025;2019;313;23;14;3;1;0;5;0;1
110025;2020;251;13;4;6;0;1;1;2;3
110026;2012;24;2;1;1;0;0;0;1;0
110026;2013;24;0;0;0;0;0;0;0;0
110026;2014;24;5;3;1;0;0;3;1;0
110026;2015;25;0;0;0;0;0;0;0;0
110026;2016;27;7;5;0;0;0;1;0;1
110026;2017;20;1;0;0;0;0;1;0;0
110026;2018;33;6;1;2;1;0;1;2;2
110026;2019;26;0;0;0;0;0;0;0;0
110026;2020;33;1;0;1;0;0;1;1;0
110028;2012;622;12;7;4;1;0;0;2;0
110028;2013;423;32;13;6;0;2;12;1;4
110028;2014;686;26;12;4;0;0;10;3;1
110028;2015;874;38;17;10;0;0;9;4;3
110028;2016;712;26;11;11;0;2;6;3;1
110028;2017;1335;43;17;21;0;1;4;15;6
110028;2018;1416;42;21;11;1;0;7;6;3
110028;2019;1311;52;26;11;0;0;7;8;10
110028;2020;1132;52;28;13;0;1;7;5;5
110029;2012;62;1;1;0;0;0;0;0;0
110029;2013;65;5;1;2;0;0;3;1;0
110029;2014;47;1;0;0;0;0;1;0;0
110029;2015;66;8;5;0;0;0;3;0;0
110029;2016;72;2;0;1;0;0;1;0;0
110029;2017;95;2;0;0;0;0;2;0;0
110029;2018;109;3;2;1;0;0;0;0;0
110029;2019;98;5;1;3;0;0;1;2;0
110029;2020;79;1;0;0;1;0;0;0;0
110030;2012;642;9;0;5;0;3;2;0;6
110030;2013;799;15;3;7;0;2;4;1;6
110030;2014;1446;39;12;16;0;7;9;7;5
110030;2015;1657;29;6;11;1;2;11;10;0
110030;2016;1793;56;16;18;0;5;16;14;12
110030;2017;1853;66;11;31;0;8;19;23;13
110030;2018;2086;68;24;26;1;8;14;20;8
110030;2019;2263;82;16;36;0;16;22;33;4
110030;2020;1969;54;14;22;0;5;10;15;8
110032;2012;190;5;3;2;0;0;1;2;0
110032;2013;305;7;5;0;0;0;1;0;1
110032;2014;373;11;5;2;0;1;5;2;2
110032;2015;346;13;5;4;1;0;5;3;1
110032;2016;367;9;5;2;0;0;4;2;0
110032;2017;430;6;4;0;0;0;0;0;0
110032;2018;455;20;11;8;0;0;0;4;2
110032;2019;338;11;6;3;0;0;1;1;4
110032;2020;415;7;1;2;1;0;2;0;2
110033;2012;434;32;18;8;1;0;3;1;5
110033;2013;459;14;6;2;0;0;4;0;2
110033;2014;407;15;7;5;1;0;1;0;4
110033;2015;336;23;9;4;1;1;10;2;2
110033;2016;289;15;2;6;2;2;6;2;3
110033;2017;457;35;21;6;1;1;7;1;2
110033;2018;439;41;24;7;0;0;11;2;6
110033;2019;379;30;12;3;2;0;8;0;8
110033;2020;341;19;10;3;1;0;1;0;6
110034;2012;127;7;5;2;0;0;0;2;0
110034;2013;120;2;2;0;0;0;0;0;0
110034;2014;82;2;1;0;0;0;1;0;0
110034;2015;154;7;5;2;0;0;1;2;0
110034;2016;112;2;2;0;0;0;0;0;0
110034;2017;156;11;6;2;0;0;3;0;0
110034;2018;127;8;2;3;0;0;3;1;0
110034;2019;129;8;5;2;1;0;1;1;0
110034;2020;72;3;0;3;0;0;1;0;1
110037;2012;88;1;0;0;0;0;1;0;0
110037;2013;76;5;2;0;0;0;3;0;0
110037;2014;111;10;7;0;0;0;2;0;1
110037;2015;91;6;4;2;0;0;0;2;0
110037;2016;76;5;2;2;0;0;1;0;0
110037;2017;134;1;0;1;0;0;0;1;1
110037;2018;154;3;1;2;0;0;0;1;1
110037;2019;161;12;6;4;0;0;1;4;2
110037;2020;146;11;3;7;0;0;1;5;1
110040;2012;112;2;0;1;0;0;1;1;0
110040;2013;111;16;6;3;2;1;7;3;0
110040;2014;91;7;2;0;1;0;5;0;0
110040;2015;109;7;3;3;0;0;1;1;1
110040;2016;102;7;3;1;0;0;2;0;2
110040;2017;122;13;5;4;0;0;3;2;1
110040;2018;129;13;5;3;1;2;3;1;0
110040;2019;138;14;8;3;0;0;3;1;1
110040;2020;126;7;4;2;0;0;1;1;0
110045;2012;45;4;2;1;0;0;2;0;0
110045;2013;77;16;4;6;2;0;5;4;2
110045;2014;116;19;8;4;0;0;7;3;0
110045;2015;166;11;7;2;0;1;2;2;1
110045;2016;218;15;6;0;0;1;8;0;2
110045;2017;161;14;2;3;0;0;4;2;4
110045;2018;202;13;5;3;0;0;6;3;0
110045;2019;246;16;4;5;0;0;3;3;6
110045;2020;210;17;6;1;1;0;5;1;4
110050;2012;67;1;1;0;0;0;0;0;0
110050;2013;43;0;0;0;0;0;0;0;0
110050;2014;53;5;2;2;0;0;1;0;0
110050;2015;59;3;0;2;0;0;2;1;0
110050;2016;40;1;0;1;0;0;0;1;0
110050;2017;88;11;1;9;0;0;1;6;1
110050;2018;93;6;2;3;0;1;0;1;2
110050;2019;99;2;1;1;0;0;0;1;0
110050;2020;83;6;2;1;0;0;1;1;3
110060;2012;34;4;1;1;0;0;2;1;0
110060;2013;30;3;1;1;0;0;2;0;0
